seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.57,0.66,8.25,0.000
2,1000,0,0.00,12.57,0.66,8.30,0.000
3,1002,0,0.00,12.57,0.65,8.17,0.000
4,1002,0,0.00,12.57,0.66,8.34,0.000
5,1004,0,0.00,12.57,0.66,8.24,0.000
6,1004,0,0.00,12.57,0.66,8.28,0.000
7,1006,0,0.00,12.57,0.66,8.25,0.000
8,1006,0,0.00,12.57,0.66,8.24,0.000
9,1008,0,0.00,12.57,0.66,8.32,0.000
10,1008,0,0.00,12.57,0.66,8.26,0.000
11,1010,0,0.00,12.57,0.66,8.26,0.000
12,1010,0,0.00,12.58,0.66,8.29,0.000
13,1012,0,0.00,12.57,0.66,8.35,0.000
14,1012,0,0.00,12.57,0.66,8.24,0.000
15,1014,0,0.00,12.57,0.68,8.50,0.000
16,1014,0,0.00,12.57,0.68,8.52,0.000
17,1016,0,0.00,12.57,0.69,8.64,0.000
18,1016,0,0.00,12.57,0.71,8.95,0.000
19,1018,0,0.00,12.56,0.80,10.04,0.000
20,1018,0,0.00,12.56,0.83,10.47,0.000
21,1020,0,0.77,12.57,0.84,10.51,0.073
22,1020,0,1.00,12.57,0.84,10.52,0.095
23,1022,0,0.99,12.56,0.84,10.56,0.094
24,1022,0,0.96,12.56,0.81,10.24,0.094
25,1024,0,0.87,12.56,0.81,10.22,0.085
26,1024,0,0.90,12.56,0.80,10.04,0.090
27,1026,0,0.97,12.56,0.79,9.92,0.098
28,1026,0,1.01,12.57,0.80,10.01,0.101
29,1028,0,1.16,12.56,0.79,9.91,0.117
30,1028,0,1.47,12.56,0.78,9.79,0.150
31,1030,0,1.31,12.56,0.78,9.80,0.134
32,1030,0,1.62,12.56,0.78,9.77,0.166
33,1032,0,1.75,12.57,0.76,9.60,0.182
34,1032,0,1.24,12.57,0.77,9.64,0.128
35,1034,0,1.61,12.57,0.76,9.58,0.168
36,1034,0,1.99,12.56,0.76,9.53,0.208
37,1036,0,1.83,12.57,0.75,9.42,0.194
38,1036,0,2.06,12.57,0.75,9.44,0.218
39,1038,0,2.04,12.57,0.76,9.53,0.214
40,1038,0,2.53,12.57,0.76,9.50,0.266
41,1040,0,2.65,12.57,0.76,9.52,0.278
42,1040,0,3.52,12.57,0.74,9.26,0.380
43,1042,0,3.98,12.57,0.75,9.41,0.423
44,1042,0,3.84,12.57,0.74,9.35,0.411
45,1044,0,4.67,12.57,0.75,9.47,0.493
46,1044,0,4.94,12.56,0.76,9.51,0.519
47,1046,0,5.27,12.57,0.75,9.43,0.559
48,1046,0,5.21,12.57,0.75,9.38,0.556
49,1048,0,5.12,12.56,0.76,9.53,0.537
50,1048,0,5.29,12.57,0.76,9.49,0.557
51,1050,0,5.17,12.57,0.75,9.43,0.548
52,1050,0,5.54,12.57,0.76,9.51,0.582
53,1052,0,5.47,12.57,0.74,9.28,0.589
54,1052,0,5.28,12.56,0.75,9.46,0.558
55,1054,0,5.35,12.56,0.74,9.29,0.576
56,1054,0,5.56,12.57,0.75,9.39,0.591
57,1056,0,5.63,12.56,0.75,9.41,0.598
58,1056,0,5.71,12.57,0.74,9.37,0.610
59,1058,0,5.81,12.57,0.74,9.31,0.624
60,1058,0,6.06,12.57,0.76,9.56,0.635
61,1060,0,5.96,12.56,0.76,9.55,0.624
