seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.574,0.655
2,1000,0,0.00,12.576,0.663
3,1002,0,0.00,12.576,0.654
4,1002,0,0.00,12.573,0.672
5,1004,0,0.00,12.574,0.651
6,1004,0,0.00,12.574,0.653
7,1006,0,0.00,12.574,0.662
8,1006,0,0.00,12.573,0.647
9,1008,0,0.00,12.572,0.667
10,1008,0,0.00,12.573,0.661
11,1010,0,0.00,12.579,0.654
12,1010,0,0.00,12.578,0.662
13,1012,0,0.00,12.575,0.665
14,1012,0,0.00,12.573,0.649
15,1014,0,0.00,12.576,0.670
16,1014,0,0.00,12.576,0.675
17,1016,0,0.00,12.578,0.690
18,1016,0,0.00,12.566,0.709
19,1018,0,0.00,12.567,0.802
20,1018,0,0.00,12.560,0.840
21,1020,0,0.00,12.569,0.836
22,1020,0,0.00,12.567,0.841
23,1022,0,0.00,12.565,0.843
24,1022,0,0.00,12.565,0.813
25,1024,0,0.00,12.564,0.809
26,1024,0,0.00,12.563,0.798
27,1026,0,0.00,12.561,0.802
28,1026,0,0.00,12.570,0.789
29,1028,0,0.00,12.568,0.782
30,1028,0,0.00,12.566,0.774
31,1030,0,0.00,12.567,0.779
32,1030,0,0.00,12.564,0.777
33,1032,0,0.00,12.572,0.772
34,1032,0,0.00,12.564,0.758
35,1034,0,0.00,12.571,0.759
36,1034,0,0.00,12.563,0.757
37,1036,0,0.00,12.568,0.757
38,1036,0,0.00,12.574,0.740
39,1038,0,0.00,12.568,0.760
40,1038,0,0.00,12.571,0.756
41,1040,0,0.00,12.568,0.749
42,1040,0,1.54,12.567,0.733
43,1042,0,1.50,12.570,0.758
44,1042,0,1.94,12.569,0.755
45,1044,0,2.09,12.572,0.756
46,1044,0,2.51,12.563,0.757
47,1046,0,2.13,12.571,0.752
48,1046,0,2.53,12.566,0.761
49,1048,0,2.32,12.562,0.760
50,1048,0,2.66,12.568,0.748
51,1050,0,2.49,12.573,0.753
52,1050,0,2.73,12.568,0.766
53,1052,0,2.81,12.571,0.734
54,1052,0,2.53,12.567,0.756
55,1054,0,2.51,12.565,0.742
56,1054,0,2.48,12.571,0.744
57,1056,0,2.65,12.567,0.743
58,1056,0,2.70,12.572,0.746
59,1058,0,2.75,12.568,0.742
60,1058,0,2.94,12.568,0.758
61,1060,0,2.90,12.567,0.759
62,1060,0,2.95,12.572,0.752
63,1062,0,3.38,12.570,0.752
64,1062,0,3.72,12.576,0.758
65,1064,0,3.55,12.567,0.759
66,1064,0,3.46,12.572,0.749
67,1066,0,3.45,12.567,0.756
68,1066,0,3.59,12.570,0.771
69,1068,0,3.64,12.567,0.762
70,1068,0,3.53,12.568,0.766
71,1070,0,3.70,12.571,0.759
72,1070,0,3.30,12.569,0.778
73,1072,0,3.36,12.565,0.763
