seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.71,0.66,11.08,0.000
2,1000,0,0.00,16.71,0.67,11.18,0.000
3,1002,0,0.00,16.72,0.67,11.12,0.000
4,1002,0,0.00,16.71,0.67,11.12,0.000
5,1004,0,0.00,16.72,0.67,11.23,0.000
6,1004,0,0.00,16.72,0.67,11.16,0.000
7,1006,0,0.00,16.71,0.67,11.12,0.000
8,1006,0,0.00,16.71,0.66,11.01,0.000
9,1008,0,0.00,16.71,0.67,11.15,0.000
10,1008,0,0.00,16.72,0.67,11.26,0.000
11,1010,0,0.00,16.71,0.67,11.16,0.000
12,1010,0,0.00,16.72,0.68,11.33,0.000
13,1012,0,0.00,16.71,0.67,11.14,0.000
14,1012,0,0.00,16.72,0.66,11.10,0.000
15,1014,0,0.00,16.71,0.69,11.51,0.000
16,1014,0,0.00,16.71,0.69,11.57,0.000
17,1016,0,0.00,16.71,0.70,11.63,0.000
18,1016,0,0.00,16.70,0.72,12.08,0.000
19,1018,0,0.00,16.69,0.84,14.06,0.000
20,1018,0,0.00,16.70,0.89,14.84,0.000
21,1020,0,0.00,16.70,0.90,14.95,0.000
22,1020,0,0.00,16.70,0.89,14.89,0.000
23,1022,0,0.00,16.70,0.84,14.08,0.000
24,1022,0,0.00,16.71,0.83,13.83,0.000
25,1024,0,0.00,16.70,0.81,13.57,0.000
26,1024,0,0.00,16.70,0.80,13.36,0.000
27,1026,0,0.00,16.71,0.80,13.37,0.000
28,1026,0,0.00,16.71,0.80,13.32,0.000
29,1028,0,0.00,16.70,0.79,13.24,0.000
30,1028,0,0.00,16.70,0.78,13.05,0.000
31,1030,0,0.78,16.70,0.77,12.91,0.060
32,1030,0,0.99,16.70,0.77,12.80,0.077
33,1032,0,1.04,16.70,0.76,12.73,0.082
34,1032,0,1.72,16.71,0.77,12.85,0.134
35,1034,0,1.66,16.70,0.76,12.64,0.131
36,1034,0,1.81,16.71,0.76,12.77,0.142
37,1036,0,1.60,16.71,0.77,12.86,0.124
38,1036,0,1.95,16.70,0.76,12.68,0.153
39,1038,0,2.18,16.70,0.77,12.88,0.169
40,1038,0,2.04,16.71,0.76,12.71,0.160
41,1040,0,2.41,16.71,0.76,12.75,0.189
42,1040,0,2.62,16.71,0.77,12.85,0.204
43,1042,3720,2.67,16.71,0.76,12.67,0.211
44,1042,3754,2.63,16.70,0.77,12.78,0.206
45,1044,3788,2.88,16.71,0.77,12.83,0.224
46,1044,3822,3.41,16.70,0.76,12.70,0.269
47,1046,3857,3.56,16.71,0.76,12.71,0.281
48,1046,3882,4.03,16.70,0.76,12.70,0.317
49,1048,3908,4.34,16.70,0.78,12.97,0.335
50,1048,3942,4.24,16.70,0.76,12.72,0.333
51,1050,3968,4.53,16.70,0.76,12.76,0.355
52,1050,3994,4.65,16.71,0.77,12.86,0.362
53,1052,4028,4.79,16.70,0.76,12.75,0.376
54,1052,4054,5.25,16.70,0.77,12.86,0.408
55,1054,4088,5.14,16.71,0.77,12.94,0.397
56,1054,4114,5.38,16.70,0.77,12.91,0.417
57,1056,4140,5.57,16.70,0.77,12.91,0.431
58,1056,4174,5.75,16.70,0.78,13.08,0.440
59,1058,4200,5.96,16.71,0.77,12.81,0.465
60,1058,4225,6.11,16.70,0.78,13.01,0.470
61,1060,4251,6.03,16.70,0.78,13.10,0.460
62,1060,4285,6.21,16.70,0.80,13.30,0.467
63,1062,4311,6.51,16.70,0.77,12.92,0.504
64,1062,4345,6.59,16.70,0.79,13.15,0.501
65,1064,4380,6.41,16.71,0.79,13.24,0.484
66,1064,4414,7.40,16.71,0.79,13.16,0.563
67,1066,4448,7.67,16.70,0.80,13.29,0.577
68,1066,4482,7.61,16.70,0.80,13.35,0.570
69,1068,4517,7.59,16.71,0.79,13.18,0.576
70,1068,4560,7.21,16.70,0.80,13.30,0.542
71,1070,4602,7.57,16.70,0.79,13.24,0.572
72,1070,4637,8.00,16.71,0.80,13.39,0.597
73,1072,4671,7.86,16.70,0.79,13.26,0.593
74,1072,4705,8.02,16.70,0.81,13.45,0.596
75,1074,4740,8.07,16.70,0.81,13.58,0.595
76,1074,4774,8.50,16.70,0.81,13.60,0.625
77,1076,4808,8.67,16.70,0.81,13.47,0.644
78,1076,4834,8.76,16.71,0.81,13.55,0.646
79,1078,4860,8.95,16.70,0.81,13.44,0.665
80,1078,4902,9.84,16.70,0.81,13.47,0.730
81,1080,4928,10.29,16.70,0.80,13.40,0.767
82,1080,4962,10.66,16.70,0.81,13.56,0.786
83,1082,4988,11.21,16.70,0.81,13.55,0.828
84,1082,5022,11.37,16.70,0.81,13.44,0.845
85,1084,5057,11.62,16.70,0.82,13.68,0.850
86,1084,5082,11.84,16.70,0.83,13.82,0.856
87,1086,5108,11.77,16.70,0.82,13.65,0.862
88,1086,5134,11.81,16.70,0.83,13.79,0.856
89,1088,5160,11.85,16.70,0.81,13.55,0.874
90,1088,5185,12.01,16.70,0.83,13.92,0.863
91,1090,5202,12.42,16.70,0.82,13.75,0.903
92,1090,5228,12.36,16.70,0.83,13.83,0.894
93,1092,5262,12.34,16.70,0.84,14.10,0.875
94,1092,5288,12.55,16.71,0.84,13.97,0.898
95,1094,5314,12.63,16.70,0.83,13.81,0.915
96,1094,5348,12.95,16.70,0.84,13.97,0.927
97,1096,5374,13.12,16.70,0.84,13.96,0.940
98,1096,5400,13.02,16.70,0.84,13.95,0.933
99,1098,5425,13.45,16.70,0.84,14.10,0.954
100,1098,5451,13.54,16.70,0.84,13.96,0.970
101,1100,5477,13.41,16.70,0.83,13.85,0.968
102,1100,5502,13.27,16.70,0.84,14.07,0.943
103,1102,5528,13.68,16.70,0.84,14.08,0.971
104,1102,5562,13.73,16.70,0.84,14.04,0.978
105,1104,5580,13.79,16.70,0.84,14.11,0.977
106,1104,5605,13.87,16.70,0.84,14.11,0.983
107,1106,5631,14.03,16.70,0.85,14.18,0.990
108,1106,5657,13.96,16.70,0.86,14.31,0.976
109,1108,5682,14.23,16.69,0.85,14.19,1.003
110,1108,5708,14.32,16.70,0.85,14.19,1.009
111,1110,5742,14.42,16.70,0.85,14.20,1.015
112,1110,5760,14.57,16.70,0.85,14.20,1.025
113,1112,5785,14.76,16.70,0.87,14.45,1.021
114,1112,5802,14.62,16.70,0.85,14.25,1.026
115,1114,5828,14.71,16.70,0.86,14.36,1.024
116,1114,5854,14.96,16.70,0.86,14.35,1.043
117,1116,5880,15.12,16.70,0.86,14.33,1.055
118,1116,5914,15.32,16.70,0.86,14.33,1.069
119,1118,5940,15.30,16.70,0.86,14.37,1.065
120,1118,5965,15.09,16.70,0.87,14.58,1.035
121,1120,5991,15.28,16.70,0.87,14.57,1.049
122,1120,6017,15.62,16.69,0.87,14.57,1.072
123,1122,6034,15.79,16.69,0.86,14.43,1.094
124,1122,6060,16.27,16.70,0.88,14.73,1.105
125,1124,6085,16.69,16.70,0.87,14.58,1.145
126,1124,6111,16.45,16.69,0.88,14.74,1.116
127,1126,6137,16.44,16.69,0.88,14.66,1.121
128,1126,6162,16.66,16.70,0.89,14.86,1.121
129,1128,6188,16.54,16.70,0.89,14.80,1.117
130,1128,6214,16.76,16.70,0.89,14.83,1.130
131,1130,6240,17.12,16.69,0.89,14.77,1.159
132,1130,6265,17.39,16.69,0.88,14.73,1.181
133,1132,6291,17.48,16.69,0.89,14.87,1.175
134,1132,6308,17.80,16.69,0.89,14.90,1.195
135,1134,6334,18.10,16.70,0.90,14.96,1.210
136,1134,6360,18.26,16.70,0.90,14.94,1.222
137,1136,6394,18.99,16.70,0.89,14.86,1.278
138,1136,6420,19.41,16.70,0.89,14.85,1.307
139,1138,6445,19.95,16.70,0.90,14.96,1.334
140,1138,6462,20.48,16.69,0.90,14.97,1.368
141,1140,6488,20.66,16.70,0.91,15.21,1.358
