seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.668,0.667
2,1000,0,0.00,16.659,0.667
3,1002,0,0.00,16.664,0.668
4,1002,0,0.00,16.664,0.666
5,1004,0,0.00,16.668,0.673
6,1004,0,0.00,16.664,0.665
7,1006,0,0.00,16.666,0.665
8,1006,0,0.00,16.666,0.663
9,1008,0,0.00,16.661,0.671
10,1008,0,0.00,16.668,0.674
11,1010,0,0.00,16.662,0.671
12,1010,0,0.00,16.664,0.673
13,1012,0,0.00,16.664,0.665
14,1012,0,0.00,16.665,0.672
15,1014,0,0.00,16.663,0.687
16,1014,0,0.00,16.665,0.693
17,1016,0,0.00,16.664,0.689
18,1016,0,0.00,16.648,0.720
19,1018,0,0.00,16.646,0.819
20,1018,0,0.00,16.650,0.871
21,1020,0,0.00,16.650,0.873
22,1020,0,0.00,16.648,0.895
23,1022,0,0.00,16.654,0.826
24,1022,0,0.00,16.658,0.819
25,1024,0,0.00,16.649,0.792
26,1024,0,0.00,16.653,0.808
27,1026,0,0.00,16.653,0.803
28,1026,0,0.00,16.651,0.799
29,1028,0,0.00,16.653,0.785
30,1028,0,0.00,16.654,0.768
31,1030,0,0.00,16.652,0.761
32,1030,0,0.00,16.651,0.762
33,1032,0,0.00,16.650,0.755
34,1032,0,1.39,16.658,0.762
35,1034,0,1.22,16.651,0.753
36,1034,0,1.49,16.656,0.763
37,1036,0,1.31,16.656,0.753
38,1036,0,1.44,16.653,0.757
39,1038,0,1.59,16.658,0.773
40,1038,0,1.61,16.653,0.762
41,1040,0,1.86,16.656,0.764
42,1040,0,2.00,16.657,0.776
43,1042,0,2.32,16.657,0.765
44,1042,3737,2.13,16.657,0.758
45,1044,3771,2.52,16.658,0.776
46,1044,3797,3.17,16.653,0.762
47,1046,3831,3.30,16.660,0.770
48,1046,3857,3.81,16.655,0.767
49,1048,3882,4.02,16.652,0.769
50,1048,3917,3.80,16.654,0.764
51,1050,3942,4.07,16.648,0.760
52,1050,3968,4.13,16.657,0.765
53,1052,3994,4.46,16.654,0.764
54,1052,4028,4.79,16.657,0.780
55,1054,4054,4.60,16.656,0.774
56,1054,4080,5.18,16.649,0.766
57,1056,4105,5.01,16.658,0.772
58,1056,4131,5.29,16.654,0.788
59,1058,4165,5.70,16.664,0.764
60,1058,4200,5.79,16.654,0.783
61,1060,4217,5.62,16.653,0.779
62,1060,4251,5.42,16.650,0.791
63,1062,4277,5.61,16.647,0.766
64,1062,4311,5.91,16.657,0.791
65,1064,4345,5.54,16.655,0.801
66,1064,4380,7.06,16.656,0.788
67,1066,4422,7.44,16.647,0.792
68,1066,4457,7.28,16.652,0.793
69,1068,4491,7.38,16.658,0.798
70,1068,4525,6.93,16.655,0.802
71,1070,4560,7.22,16.656,0.797
72,1070,4594,7.83,16.657,0.804
73,1072,4628,7.13,16.653,0.793
74,1072,4662,7.46,16.652,0.804
75,1074,4697,7.87,16.645,0.811
76,1074,4731,8.02,16.655,0.812
77,1076,4757,7.81,16.660,0.804
78,1076,4791,7.94,16.654,0.810
79,1078,4825,8.08,16.651,0.806
80,1078,4860,8.72,16.645,0.800
81,1080,4894,9.13,16.651,0.796
82,1080,4920,9.56,16.650,0.806
83,1082,4954,10.25,16.655,0.812
84,1082,4988,10.76,16.652,0.801
85,1084,5014,11.21,16.649,0.824
86,1084,5040,11.28,16.649,0.822
87,1086,5065,11.17,16.652,0.817
88,1086,5100,11.33,16.643,0.831
89,1088,5117,11.34,16.648,0.810
90,1088,5142,11.54,16.652,0.832
91,1090,5168,11.94,16.654,0.815
92,1090,5194,11.95,16.656,0.825
93,1092,5228,12.08,16.650,0.846
94,1092,5254,12.36,16.651,0.837
95,1094,5280,12.08,16.652,0.833
96,1094,5305,12.40,16.646,0.845
97,1096,5340,12.67,16.654,0.838
98,1096,5365,12.93,16.652,0.827
99,1098,5391,13.30,16.652,0.839
100,1098,5417,13.19,16.654,0.840
101,1100,5451,13.19,16.651,0.818
102,1100,5468,12.91,16.658,0.841
103,1102,5502,13.48,16.648,0.841
104,1102,5528,13.60,16.653,0.838
105,1104,5545,13.37,16.652,0.844
106,1104,5571,13.73,16.648,0.849
107,1106,5597,13.93,16.645,0.852
108,1106,5622,13.87,16.650,0.865
109,1108,5648,14.14,16.646,0.844
110,1108,5674,14.00,16.647,0.855
111,1110,5700,14.14,16.643,0.852
112,1110,5725,14.24,16.647,0.858
113,1112,5751,14.44,16.651,0.872
114,1112,5768,14.52,16.648,0.856
115,1114,5794,14.55,16.657,0.866
116,1114,5811,14.49,16.648,0.866
117,1116,5837,14.97,16.646,0.853
118,1116,5871,15.17,16.649,0.867
119,1118,5888,15.10,16.648,0.874
120,1118,5914,14.84,16.654,0.875
121,1120,5957,15.04,16.643,0.875
122,1120,5982,15.58,16.639,0.869
123,1122,6008,15.26,16.639,0.870
124,1122,6025,15.82,16.645,0.871
125,1124,6060,16.47,16.647,0.878
126,1124,6077,16.46,16.646,0.888
127,1126,6102,16.39,16.652,0.880
128,1126,6128,16.61,16.648,0.893
129,1128,6154,16.47,16.649,0.896
130,1128,6180,16.35,16.644,0.873
131,1130,6205,16.79,16.646,0.878
132,1130,6222,16.89,16.648,0.873
133,1132,6240,17.16,16.643,0.880
