seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.531,0.668
2,1000,0,0.00,12.545,0.672
3,1002,0,0.00,12.541,0.653
4,1002,0,0.00,12.541,0.685
5,1004,0,0.00,12.533,0.636
6,1004,0,0.00,12.547,0.680
7,1006,0,0.00,12.538,0.645
8,1006,0,0.00,12.545,0.672
9,1008,0,0.00,12.535,0.635
10,1008,0,0.00,12.542,0.682
11,1010,0,0.00,12.540,0.652
12,1010,0,0.00,12.534,0.666
13,1012,0,0.00,12.541,0.664
14,1012,0,0.00,12.527,0.647
15,1014,0,0.00,12.544,0.689
16,1014,0,0.00,12.544,0.695
17,1016,0,0.00,12.539,0.691
18,1016,0,0.00,12.529,0.693
19,1018,0,0.00,12.523,0.790
20,1018,0,1.98,12.529,0.848
21,1020,0,2.59,12.526,0.806
22,1020,0,2.21,12.531,0.853
23,1022,0,2.00,12.525,0.850
24,1022,0,2.35,12.522,0.822
25,1024,0,3.00,12.529,0.829
26,1024,0,3.15,12.532,0.842
27,1026,0,3.35,12.518,0.796
28,1026,0,3.73,12.530,0.796
29,1028,0,3.89,12.533,0.814
30,1028,0,4.46,12.530,0.798
31,1030,0,5.15,12.529,0.789
32,1030,0,4.99,12.534,0.802
33,1032,0,5.35,12.533,0.790
34,1032,0,5.69,12.521,0.756
35,1034,0,5.26,12.535,0.773
36,1034,0,5.68,12.531,0.778
37,1036,0,5.99,12.527,0.775
38,1036,0,6.63,12.532,0.789
39,1038,0,6.98,12.526,0.777
40,1038,0,7.92,12.533,0.788
41,1040,0,8.08,12.542,0.782
42,1040,0,9.01,12.526,0.772
43,1042,0,8.85,12.534,0.776
44,1042,0,8.97,12.532,0.777
45,1044,0,9.08,12.526,0.747
46,1044,0,9.55,12.533,0.772
47,1046,0,9.69,12.531,0.773
48,1046,0,9.88,12.521,0.771
49,1048,0,10.60,12.540,0.768
50,1048,0,10.47,12.530,0.776
51,1050,0,10.73,12.527,0.754
52,1050,0,10.88,12.537,0.779
53,1052,0,10.61,12.519,0.749
54,1052,0,11.10,12.530,0.759
55,1054,0,10.88,12.532,0.779
56,1054,0,10.70,12.521,0.764
57,1056,0,11.33,12.532,0.786
58,1056,0,11.23,12.524,0.762
59,1058,0,11.50,12.528,0.769
60,1058,0,11.53,12.539,0.794
61,1060,0,11.62,12.522,0.762
62,1060,0,12.11,12.534,0.800
63,1062,0,12.10,12.529,0.797
64,1062,0,12.25,12.531,0.780
65,1064,0,12.69,12.533,0.797
66,1064,0,13.14,12.528,0.770
67,1066,0,13.11,12.539,0.786
68,1066,0,13.15,12.527,0.773
69,1068,0,13.60,12.530,0.773
70,1068,0,13.78,12.536,0.790
71,1070,0,13.89,12.518,0.768
72,1070,0,14.05,12.530,0.798
73,1072,0,14.24,12.527,0.793
74,1072,0,14.38,12.524,0.830
75,1074,0,14.27,12.529,0.800
76,1074,0,14.28,12.536,0.776
77,1076,0,14.62,12.545,0.818
78,1076,0,14.87,12.516,0.780
79,1078,0,15.18,12.530,0.821
80,1078,0,15.05,12.522,0.810
81,1080,0,15.19,12.538,0.809
82,1080,0,15.05,12.522,0.817
83,1082,0,15.73,12.525,0.801
84,1082,0,15.96,12.528,0.814
85,1084,0,15.36,12.523,0.818
86,1084,0,15.58,12.533,0.822
87,1086,0,16.18,12.530,0.823
88,1086,0,16.21,12.534,0.828
89,1088,0,16.49,12.521,0.815
90,1088,0,17.06,12.530,0.840
91,1090,0,16.93,12.523,0.802
92,1090,0,17.13,12.532,0.850
93,1092,0,17.09,12.521,0.794
94,1092,0,16.84,12.527,0.843
95,1094,0,17.34,12.523,0.815
96,1094,0,17.52,12.535,0.833
97,1096,0,17.29,12.520,0.803
98,1096,0,17.81,12.536,0.861
99,1098,0,18.22,12.528,0.818
100,1098,0,18.23,12.526,0.846
101,1100,0,18.15,12.515,0.829
102,1100,0,18.34,12.527,0.855
103,1102,0,18.60,12.522,0.814
104,1102,0,18.50,12.539,0.859
105,1104,0,19.00,12.528,0.814
106,1104,0,19.36,12.526,0.868
107,1106,0,19.62,12.527,0.832
108,1106,0,19.51,12.531,0.876
