seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.68,0.66,11.02,0.000
2,1000,0,0.00,16.67,0.68,11.25,0.000
3,1002,0,0.00,16.68,0.69,11.43,0.000
4,1002,0,0.00,16.68,0.66,11.04,0.000
5,1004,0,0.00,16.68,0.65,10.91,0.000
6,1004,0,0.00,16.68,0.67,11.12,0.000
7,1006,0,0.00,16.68,0.65,10.89,0.000
8,1006,0,0.00,16.68,0.67,11.14,0.000
9,1008,0,0.00,16.67,0.66,10.95,0.000
10,1008,0,0.00,16.68,0.67,11.13,0.000
11,1010,0,0.00,16.67,0.66,11.02,0.000
12,1010,0,0.00,16.68,0.67,11.19,0.000
13,1012,0,0.00,16.68,0.67,11.13,0.000
14,1012,0,0.00,16.68,0.67,11.16,0.000
15,1014,0,0.00,16.68,0.69,11.52,0.000
16,1014,0,0.00,16.68,0.70,11.62,0.000
17,1016,0,0.00,16.68,0.70,11.71,0.000
18,1016,0,0.00,16.66,0.72,12.00,0.000
19,1018,0,0.00,16.66,0.85,14.16,0.000
20,1018,0,0.00,16.66,0.91,15.09,0.000
21,1020,0,0.00,16.66,0.91,15.21,0.000
22,1020,0,0.00,16.66,0.92,15.34,0.000
23,1022,0,0.00,16.67,0.90,14.98,0.000
24,1022,0,1.27,16.66,0.89,14.76,0.086
25,1024,0,0.00,16.66,0.90,14.98,0.000
26,1024,0,1.26,16.66,0.88,14.61,0.086
27,1026,0,1.88,16.66,0.87,14.43,0.130
28,1026,0,1.96,16.65,0.86,14.37,0.136
29,1028,0,2.51,16.65,0.88,14.62,0.172
30,1028,0,2.88,16.66,0.86,14.31,0.201
31,1030,0,2.73,16.66,0.85,14.13,0.193
32,1030,0,3.40,16.67,0.84,14.02,0.243
33,1032,0,3.40,16.66,0.84,14.03,0.242
34,1032,0,4.47,16.66,0.83,13.91,0.321
35,1034,0,4.86,16.66,0.81,13.53,0.359
36,1034,0,5.36,16.67,0.82,13.67,0.392
37,1036,0,5.76,16.66,0.81,13.41,0.429
38,1036,0,5.64,16.67,0.82,13.65,0.413
39,1038,0,6.20,16.67,0.81,13.45,0.461
40,1038,0,6.64,16.67,0.82,13.69,0.485
41,1040,0,7.83,16.67,0.80,13.40,0.584
42,1040,0,8.09,16.67,0.83,13.85,0.584
43,1042,0,9.02,16.66,0.82,13.74,0.656
44,1042,0,9.47,16.66,0.82,13.73,0.690
45,1044,0,9.69,16.67,0.81,13.42,0.722
46,1044,0,9.88,16.66,0.82,13.62,0.726
47,1046,0,10.26,16.67,0.82,13.73,0.747
48,1046,0,10.68,16.66,0.82,13.75,0.777
49,1048,0,10.75,16.66,0.83,13.78,0.780
50,1048,0,10.84,16.66,0.83,13.88,0.781
51,1050,0,11.25,16.66,0.81,13.51,0.833
52,1050,0,11.83,16.67,0.81,13.47,0.878
53,1052,0,12.26,16.67,0.81,13.42,0.914
54,1052,0,12.25,16.67,0.82,13.73,0.892
55,1054,0,12.53,16.67,0.83,13.83,0.906
56,1054,0,12.77,16.66,0.84,13.98,0.914
57,1056,0,13.50,16.67,0.81,13.50,1.000
58,1056,0,13.77,16.67,0.82,13.69,1.006
59,1058,0,14.08,16.67,0.83,13.83,1.018
60,1058,0,14.63,16.67,0.85,14.15,1.034
61,1060,0,14.52,16.67,0.81,13.59,1.069
62,1060,0,14.60,16.67,0.84,14.05,1.039
63,1062,3702,15.61,16.66,0.84,14.01,1.114
64,1062,3720,15.90,16.66,0.83,13.78,1.154
65,1064,3745,16.29,16.66,0.85,14.09,1.156
