seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.56,0.66,8.32,0.000
2,1000,0,0.00,12.56,0.66,8.23,0.000
3,1002,0,0.00,12.56,0.67,8.41,0.000
4,1002,0,0.00,12.56,0.66,8.27,0.000
5,1004,0,0.00,12.56,0.66,8.26,0.000
6,1004,0,0.00,12.56,0.67,8.39,0.000
7,1006,0,0.00,12.56,0.67,8.38,0.000
8,1006,0,0.00,12.56,0.66,8.34,0.000
9,1008,0,0.00,12.56,0.66,8.26,0.000
10,1008,0,0.00,12.56,0.67,8.36,0.000
11,1010,0,0.00,12.56,0.66,8.26,0.000
12,1010,0,0.00,12.56,0.65,8.21,0.000
13,1012,0,0.00,12.56,0.67,8.41,0.000
14,1012,0,0.00,12.56,0.67,8.37,0.000
15,1014,0,0.00,12.56,0.68,8.50,0.000
16,1014,0,0.00,12.56,0.68,8.51,0.000
17,1016,0,0.00,12.56,0.70,8.82,0.000
18,1016,0,0.00,12.54,0.71,8.88,0.000
19,1018,0,0.00,12.55,0.79,9.90,0.000
20,1018,0,0.00,12.55,0.86,10.76,0.000
21,1020,0,0.00,12.55,0.85,10.70,0.000
22,1020,0,0.00,12.55,0.85,10.63,0.000
23,1022,0,0.00,12.55,0.83,10.40,0.000
24,1022,0,0.00,12.55,0.83,10.39,0.000
25,1024,0,0.00,12.54,0.82,10.24,0.000
26,1024,0,0.00,12.55,0.79,9.97,0.000
27,1026,0,0.00,12.54,0.78,9.82,0.000
28,1026,0,0.59,12.55,0.78,9.75,0.061
29,1028,0,0.68,12.55,0.78,9.78,0.070
30,1028,0,0.67,12.55,0.78,9.83,0.068
31,1030,0,1.35,12.56,0.78,9.73,0.139
32,1030,0,1.71,12.56,0.75,9.46,0.181
33,1032,0,1.76,12.55,0.75,9.47,0.186
34,1032,0,1.73,12.56,0.77,9.63,0.179
35,1034,0,1.73,12.55,0.76,9.54,0.182
36,1034,0,2.00,12.55,0.76,9.51,0.211
37,1036,0,2.50,12.55,0.75,9.38,0.267
38,1036,0,2.42,12.55,0.73,9.23,0.262
39,1038,0,2.75,12.55,0.73,9.21,0.299
40,1038,0,2.83,12.56,0.74,9.32,0.303
41,1040,0,3.09,12.56,0.74,9.34,0.331
42,1040,0,3.15,12.55,0.74,9.25,0.340
43,1042,0,3.02,12.55,0.74,9.26,0.326
44,1042,0,2.99,12.55,0.75,9.36,0.319
45,1044,0,3.36,12.55,0.74,9.32,0.360
46,1044,0,3.62,12.55,0.75,9.37,0.386
47,1046,0,3.79,12.55,0.75,9.43,0.402
48,1046,0,3.73,12.55,0.75,9.46,0.394
49,1048,0,3.67,12.55,0.75,9.40,0.390
50,1048,0,3.78,12.56,0.76,9.50,0.398
51,1050,0,3.98,12.55,0.75,9.43,0.422
52,1050,0,4.18,12.56,0.75,9.41,0.444
53,1052,0,3.96,12.55,0.76,9.55,0.414
54,1052,0,4.08,12.55,0.74,9.32,0.438
55,1054,0,4.05,12.55,0.74,9.33,0.434
56,1054,0,4.25,12.55,0.75,9.41,0.451
57,1056,0,4.32,12.55,0.76,9.52,0.454
58,1056,0,4.17,12.55,0.75,9.41,0.443
59,1058,0,4.17,12.55,0.75,9.47,0.440
60,1058,0,4.41,12.56,0.75,9.39,0.470
61,1060,0,4.56,12.56,0.76,9.53,0.479
62,1060,0,4.37,12.55,0.74,9.30,0.469
63,1062,0,4.54,12.55,0.75,9.41,0.482
64,1062,0,4.70,12.55,0.76,9.49,0.495
65,1064,0,4.68,12.56,0.76,9.57,0.489
66,1064,0,4.40,12.55,0.75,9.44,0.466
67,1066,0,4.44,12.55,0.77,9.65,0.460
68,1066,0,4.86,12.55,0.77,9.63,0.504
69,1068,0,5.12,12.55,0.75,9.45,0.541
70,1068,0,5.09,12.55,0.77,9.60,0.530
71,1070,0,4.99,12.55,0.75,9.44,0.528
72,1070,0,5.25,12.55,0.75,9.41,0.558
73,1072,0,5.55,12.55,0.76,9.52,0.583
74,1072,0,5.52,12.55,0.77,9.60,0.575
75,1074,0,5.44,12.55,0.77,9.66,0.563
76,1074,0,6.38,12.55,0.77,9.69,0.658
77,1076,0,6.29,12.55,0.77,9.63,0.654
78,1076,0,6.12,12.55,0.77,9.63,0.635
79,1078,0,6.49,12.56,0.77,9.61,0.675
80,1078,0,6.79,12.55,0.77,9.70,0.700
81,1080,0,6.69,12.55,0.77,9.62,0.696
82,1080,0,6.98,12.55,0.78,9.77,0.714
83,1082,0,6.74,12.55,0.77,9.63,0.700
84,1082,0,6.87,12.55,0.77,9.67,0.710
85,1084,0,6.94,12.55,0.77,9.66,0.718
86,1084,3668,6.99,12.55,0.78,9.84,0.711
87,1086,3685,7.17,12.55,0.78,9.75,0.735
88,1086,3711,6.97,12.55,0.77,9.67,0.721
89,1088,3728,6.75,12.55,0.78,9.77,0.691
90,1088,3745,6.82,12.55,0.78,9.80,0.696
91,1090,3762,7.03,12.55,0.78,9.80,0.718
92,1090,3788,7.42,12.55,0.79,9.94,0.746
93,1092,3805,7.66,12.55,0.78,9.80,0.781
94,1092,3822,7.49,12.55,0.79,9.89,0.758
95,1094,3840,7.54,12.55,0.78,9.73,0.775
96,1094,3865,7.70,12.55,0.80,10.02,0.768
97,1096,3882,7.67,12.56,0.78,9.83,0.780
98,1096,3900,7.83,12.55,0.78,9.83,0.796
99,1098,3925,8.06,12.55,0.79,9.90,0.815
100,1098,3942,8.29,12.54,0.78,9.82,0.843
101,1100,3960,8.36,12.54,0.79,9.87,0.847
102,1100,3985,8.44,12.55,0.79,9.89,0.852
103,1102,4011,8.59,12.55,0.80,10.06,0.854
104,1102,4028,8.75,12.55,0.80,10.09,0.867
105,1104,4045,8.71,12.55,0.80,10.05,0.867
106,1104,4062,8.99,12.55,0.79,9.95,0.903
107,1106,4088,9.18,12.55,0.80,9.98,0.920
108,1106,4105,9.11,12.55,0.80,10.04,0.907
109,1108,4122,9.48,12.55,0.80,10.07,0.942
110,1108,4140,10.44,12.55,0.81,10.13,1.031
111,1110,4157,10.50,12.55,0.80,10.02,1.047
112,1110,4182,10.88,12.55,0.81,10.11,1.075
113,1112,4200,10.96,12.55,0.81,10.20,1.074
114,1112,4225,11.00,12.55,0.81,10.12,1.087
115,1114,4251,11.16,12.55,0.79,9.92,1.126
116,1114,4268,11.32,12.55,0.81,10.21,1.109
117,1116,4294,11.82,12.55,0.80,10.08,1.173
118,1116,4320,11.88,12.55,0.82,10.28,1.156
119,1118,4337,12.28,12.55,0.81,10.22,1.202
120,1118,4371,12.18,12.54,0.82,10.27,1.186
121,1120,4388,12.49,12.55,0.82,10.27,1.217
122,1120,4414,12.79,12.55,0.83,10.46,1.223
123,1122,4440,13.04,12.55,0.83,10.40,1.254
