seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.562,0.656
2,1000,0,0.00,12.565,0.653
3,1002,0,0.00,12.566,0.657
4,1002,0,0.00,12.561,0.658
5,1004,0,0.00,12.559,0.648
6,1004,0,0.00,12.561,0.668
7,1006,0,0.00,12.566,0.661
8,1006,0,0.00,12.566,0.662
9,1008,0,0.00,12.555,0.651
10,1008,0,0.00,12.564,0.670
11,1010,0,0.00,12.564,0.659
12,1010,0,0.00,12.561,0.644
13,1012,0,0.00,12.560,0.675
14,1012,0,0.00,12.568,0.671
15,1014,0,0.00,12.559,0.677
16,1014,0,0.00,12.559,0.677
17,1016,0,0.00,12.559,0.711
18,1016,0,0.00,12.541,0.703
19,1018,0,0.00,12.551,0.780
20,1018,0,0.00,12.547,0.864
21,1020,0,0.00,12.552,0.856
22,1020,0,0.00,12.554,0.852
23,1022,0,0.00,12.549,0.833
24,1022,0,0.00,12.554,0.847
25,1024,0,0.00,12.546,0.814
26,1024,0,0.00,12.556,0.791
27,1026,0,0.00,12.547,0.789
28,1026,0,1.19,12.554,0.790
29,1028,0,1.36,12.550,0.782
30,1028,0,1.34,12.552,0.783
31,1030,0,1.24,12.558,0.780
32,1030,0,1.58,12.559,0.754
33,1032,0,1.64,12.552,0.758
34,1032,0,1.63,12.565,0.782
35,1034,0,1.44,12.554,0.770
36,1034,0,1.98,12.553,0.759
37,1036,0,2.67,12.554,0.751
38,1036,0,2.78,12.550,0.730
39,1038,0,2.86,12.559,0.733
40,1038,0,3.03,12.562,0.743
41,1040,0,3.19,12.555,0.738
42,1040,0,3.11,12.558,0.733
43,1042,0,2.97,12.553,0.755
44,1042,0,2.93,12.553,0.733
45,1044,0,3.37,12.550,0.751
46,1044,0,3.68,12.558,0.751
47,1046,0,3.90,12.556,0.752
48,1046,0,3.96,12.558,0.753
49,1048,0,4.08,12.543,0.745
50,1048,0,3.96,12.558,0.764
51,1050,0,3.99,12.555,0.759
52,1050,0,4.30,12.564,0.745
53,1052,0,4.35,12.551,0.764
54,1052,0,4.24,12.548,0.752
55,1054,0,4.19,12.559,0.741
56,1054,0,4.55,12.560,0.742
57,1056,0,4.47,12.559,0.769
58,1056,0,4.30,12.549,0.771
59,1058,0,4.39,12.555,0.765
60,1058,0,5.13,12.566,0.754
61,1060,0,4.96,12.561,0.771
62,1060,0,4.66,12.555,0.734
63,1062,0,4.65,12.556,0.756
64,1062,0,4.94,12.556,0.753
65,1064,0,5.13,12.563,0.753
66,1064,0,4.76,12.562,0.753
67,1066,0,4.48,12.556,0.759
68,1066,0,4.98,12.553,0.773
69,1068,0,5.44,12.554,0.753
70,1068,0,5.48,12.549,0.776
71,1070,0,5.15,12.548,0.761
72,1070,0,5.60,12.556,0.745
73,1072,0,5.90,12.553,0.768
74,1072,0,6.00,12.551,0.764
75,1074,0,5.94,12.557,0.778
76,1074,0,6.68,12.558,0.771
77,1076,0,6.69,12.552,0.777
78,1076,0,6.22,12.554,0.768
79,1078,0,6.73,12.559,0.758
80,1078,0,7.14,12.551,0.782
81,1080,0,6.72,12.549,0.768
82,1080,0,7.13,12.549,0.779
83,1082,0,7.02,12.555,0.782
84,1082,0,7.00,12.555,0.779
85,1084,0,6.93,12.556,0.766
86,1084,3668,7.26,12.554,0.773
87,1086,3685,7.67,12.555,0.783
88,1086,3702,7.27,12.560,0.760
89,1088,3720,7.09,12.557,0.786
90,1088,3737,6.97,12.552,0.777
91,1090,3762,7.29,12.551,0.785
92,1090,3780,7.58,12.555,0.799
93,1092,3797,7.57,12.548,0.790
94,1092,3814,7.38,12.556,0.777
95,1094,3840,7.78,12.555,0.786
96,1094,3857,7.82,12.548,0.806
97,1096,3874,7.87,12.558,0.783
98,1096,3900,8.04,12.548,0.780
99,1098,3917,8.26,12.554,0.797
100,1098,3934,8.54,12.546,0.787
101,1100,3960,8.83,12.544,0.778
102,1100,3977,8.56,12.551,0.786
103,1102,3994,8.79,12.556,0.814
104,1102,4011,9.24,12.552,0.812
105,1104,4037,9.33,12.544,0.810
106,1104,4054,9.49,12.555,0.804
107,1106,4080,9.75,12.550,0.797
108,1106,4097,9.78,12.555,0.801
109,1108,4114,9.89,12.560,0.802
110,1108,4131,10.96,12.550,0.813
111,1110,4157,11.19,12.554,0.798
112,1110,4174,11.30,12.547,0.816
113,1112,4191,11.43,12.551,0.808
114,1112,4217,11.60,12.549,0.800
115,1114,4234,12.00,12.553,0.799
116,1114,4251,12.30,12.551,0.808
117,1116,4285,13.05,12.560,0.796
118,1116,4302,12.69,12.553,0.804
119,1118,4328,13.09,12.556,0.807
120,1118,4354,13.24,12.548,0.802
121,1120,4380,13.43,12.556,0.816
122,1120,4405,13.70,12.558,0.833
123,1122,4431,13.81,12.559,0.829
124,1122,4457,13.75,12.549,0.823
125,1124,4482,13.83,12.552,0.819
126,1124,4508,14.05,12.550,0.828
127,1126,4534,14.29,12.552,0.834
128,1126,4551,14.47,12.553,0.847
129,1128,4585,15.14,12.553,0.832
130,1128,4602,15.06,12.550,0.850
131,1130,4637,15.40,12.550,0.836
132,1130,4662,15.08,12.550,0.834
133,1132,4680,14.95,12.545,0.847
134,1132,4705,15.13,12.553,0.828
135,1134,4731,15.45,12.562,0.844
136,1134,4748,15.72,12.552,0.851
137,1136,4774,15.70,12.548,0.837
138,1136,4791,16.43,12.540,0.824
139,1138,4808,16.30,12.553,0.822
140,1138,4834,16.56,12.545,0.856
141,1140,4860,16.89,12.553,0.826
142,1140,4877,17.31,12.548,0.851
143,1142,4902,17.00,12.555,0.858
144,1142,4920,17.06,12.545,0.853
145,1144,4937,17.32,12.550,0.850
146,1144,4954,17.60,12.546,0.843
147,1146,4980,17.66,12.547,0.860
148,1146,4997,18.16,12.555,0.864
149,1148,5014,18.61,12.549,0.850
150,1148,5022,18.43,12.549,0.863
151,1150,5057,18.12,12.550,0.860
152,1150,5074,18.45,12.543,0.859
153,1152,5082,18.27,12.559,0.846
154,1152,5108,18.36,12.545,0.872
155,1154,5125,18.50,12.550,0.861
156,1154,5142,18.64,12.545,0.851
157,1156,5168,18.41,12.543,0.861
158,1156,5185,18.18,12.547,0.864
159,1158,5202,18.40,12.552,0.858
160,1158,5228,19.06,12.543,0.867
161,1160,5245,19.19,12.548,0.895
162,1160,5262,19.28,12.542,0.860
163,1162,5280,19.25,12.545,0.883
164,1162,5297,19.12,12.550,0.871
165,1164,5314,19.17,12.548,0.878
166,1164,5340,18.97,12.554,0.877
167,1166,5357,19.58,12.546,0.877
168,1166,5374,19.52,12.553,0.884
169,1168,5391,19.39,12.545,0.901
170,1168,5417,19.52,12.550,0.879
171,1170,5434,19.94,12.553,0.876
172,1170,5451,20.13,12.550,0.885
173,1172,5460,20.25,12.541,0.893
174,1172,5477,20.67,12.549,0.908
175,1174,5494,20.48,12.543,0.897
176,1174,5511,20.38,12.545,0.905
177,1176,5537,20.66,12.558,0.887
178,1176,5562,20.83,12.538,0.892
179,1178,5588,20.92,12.545,0.884
180,1178,5605,21.03,12.551,0.908
181,1180,5631,20.93,12.549,0.902
182,1180,5648,21.45,12.542,0.907
183,1182,5665,21.68,12.544,0.897
184,1182,5682,21.79,12.543,0.923
185,1184,5700,22.00,12.544,0.931
186,1184,5725,22.12,12.539,0.905
187,1186,5742,22.00,12.545,0.916
188,1186,5768,21.63,12.548,0.903
189,1188,5785,22.23,12.548,0.932
190,1188,5802,22.57,12.543,0.909
191,1190,5820,22.81,12.542,0.899
192,1190,5837,23.13,12.544,0.910
193,1192,5862,23.19,12.545,0.911
194,1192,5880,22.85,12.547,0.936
195,1194,5905,22.99,12.547,0.917
196,1194,5922,23.97,12.545,0.925
197,1196,5940,23.93,12.540,0.929
198,1196,5957,23.81,12.541,0.945
199,1198,5982,23.82,12.549,0.924
200,1198,6000,23.67,12.549,0.928
201,1200,6008,23.69,12.544,0.939
202,1200,6034,24.18,12.544,0.939
203,1202,6051,23.98,12.551,0.927
204,1202,6060,24.27,12.546,0.920
205,1204,6077,24.52,12.544,0.919
206,1204,6094,24.46,12.544,0.932
207,1206,6120,24.62,12.548,0.938
208,1206,6128,25.11,12.541,0.926
209,1208,6154,24.76,12.543,0.938
