seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.55,0.64,8.03,0.000
2,1000,0,0.00,12.55,0.64,8.05,0.000
3,1002,0,0.00,12.56,0.63,7.96,0.000
4,1002,0,0.00,12.55,0.63,7.89,0.000
5,1004,0,0.00,12.56,0.64,7.99,0.000
6,1004,0,0.00,12.56,0.63,7.93,0.000
7,1006,0,0.00,12.55,0.62,7.84,0.000
8,1006,0,0.00,12.56,0.63,7.90,0.000
9,1008,0,0.00,12.55,0.64,7.99,0.000
10,1008,0,0.00,12.55,0.63,7.91,0.000
11,1010,0,0.00,12.56,0.65,8.10,0.000
12,1010,0,0.00,12.55,0.64,8.05,0.000
13,1012,0,0.00,12.55,0.64,7.98,0.000
14,1012,0,0.00,12.55,0.64,8.02,0.000
15,1014,0,0.00,12.56,0.66,8.22,0.000
16,1014,0,0.00,12.55,0.66,8.26,0.000
17,1016,0,0.00,12.55,0.67,8.36,0.000
18,1016,0,0.00,12.54,0.75,9.42,0.000
19,1018,0,0.00,12.53,0.95,11.96,0.000
20,1018,0,0.00,12.53,1.04,13.05,0.000
21,1020,0,0.78,12.54,1.00,12.54,0.062
22,1020,0,0.77,12.54,0.93,11.64,0.066
23,1022,0,1.26,12.55,0.88,11.01,0.114
24,1022,0,1.46,12.54,0.83,10.41,0.140
25,1024,0,2.48,12.55,0.83,10.39,0.239
26,1024,0,2.33,12.54,0.83,10.39,0.224
27,1026,0,3.41,12.55,0.79,9.87,0.346
28,1026,0,3.94,12.54,0.79,9.86,0.400
29,1028,0,4.47,12.55,0.78,9.84,0.454
30,1028,0,5.00,12.55,0.78,9.79,0.511
31,1030,0,4.98,12.55,0.77,9.65,0.516
32,1030,0,5.38,12.54,0.76,9.54,0.563
33,1032,0,5.50,12.55,0.77,9.69,0.567
34,1032,0,5.47,12.55,0.76,9.57,0.572
35,1034,0,5.28,12.54,0.77,9.62,0.548
36,1034,0,5.50,12.54,0.76,9.53,0.577
37,1036,0,6.02,12.54,0.76,9.55,0.630
38,1036,0,5.82,12.55,0.79,9.91,0.587
39,1038,0,6.37,12.55,0.79,9.85,0.646
40,1038,0,6.54,12.55,0.77,9.71,0.674
41,1040,3677,6.54,12.54,0.78,9.81,0.667
42,1040,3711,6.67,12.54,0.79,9.86,0.676
43,1042,3737,6.91,12.54,0.80,10.05,0.687
44,1042,3771,6.91,12.54,0.80,10.02,0.690
45,1044,3805,7.43,12.54,0.79,9.91,0.750
46,1044,3840,7.66,12.54,0.80,10.00,0.766
47,1046,3865,7.83,12.54,0.79,9.89,0.792
48,1046,3900,8.04,12.55,0.79,9.87,0.814
49,1048,3934,8.18,12.54,0.80,9.98,0.820
50,1048,3968,8.32,12.55,0.81,10.11,0.824
51,1050,3994,8.57,12.54,0.79,9.95,0.861
52,1050,4020,8.49,12.55,0.80,10.04,0.846
53,1052,4045,8.86,12.55,0.80,10.06,0.881
54,1052,4071,9.26,12.55,0.81,10.13,0.914
55,1054,4097,9.29,12.55,0.80,10.09,0.921
56,1054,4122,9.45,12.54,0.81,10.12,0.934
57,1056,4140,9.66,12.54,0.78,9.81,0.984
58,1056,4165,9.92,12.54,0.81,10.20,0.972
59,1058,4191,9.91,12.54,0.82,10.26,0.966
60,1058,4217,9.97,12.55,0.81,10.22,0.975
61,1060,4242,9.98,12.55,0.80,10.08,0.990
62,1060,4260,10.21,12.54,0.82,10.24,0.997
63,1062,4294,10.31,12.54,0.81,10.20,1.011
64,1062,4328,10.31,12.54,0.82,10.25,1.006
65,1064,4362,10.74,12.54,0.83,10.46,1.027
66,1064,4397,10.86,12.55,0.85,10.61,1.024
67,1066,4440,10.90,12.54,0.83,10.39,1.049
68,1066,4474,11.34,12.54,0.83,10.41,1.090
69,1068,4517,11.45,12.54,0.83,10.39,1.101
70,1068,4551,11.45,12.54,0.84,10.58,1.082
71,1070,4577,11.54,12.54,0.85,10.70,1.078
72,1070,4611,11.55,12.54,0.84,10.57,1.092
73,1072,4637,11.73,12.54,0.84,10.49,1.118
74,1072,4671,11.91,12.54,0.85,10.67,1.117
75,1074,4705,11.95,12.54,0.85,10.68,1.118
76,1074,4740,11.89,12.55,0.86,10.76,1.105
77,1076,4774,12.16,12.54,0.84,10.58,1.149
78,1076,4808,12.04,12.54,0.85,10.70,1.125
79,1078,4834,12.25,12.54,0.85,10.69,1.145
80,1078,4860,12.89,12.54,0.86,10.73,1.201
81,1080,4885,13.39,12.54,0.86,10.79,1.241
82,1080,4911,14.20,12.54,0.88,10.99,1.291
83,1082,4945,14.55,12.54,0.87,10.88,1.338
84,1082,4971,14.74,12.54,0.86,10.74,1.373
85,1084,5005,15.45,12.54,0.87,10.95,1.412
86,1084,5040,15.55,12.55,0.89,11.20,1.389
87,1086,5065,15.66,12.54,0.88,11.02,1.420
88,1086,5091,15.88,12.53,0.87,10.96,1.449
89,1088,5117,15.82,12.53,0.87,10.89,1.452
90,1088,5134,15.69,12.55,0.90,11.30,1.388
91,1090,5160,15.83,12.54,0.88,11.04,1.434
92,1090,5194,16.27,12.54,0.87,10.97,1.484
93,1092,5220,16.46,12.54,0.88,11.02,1.493
94,1092,5245,16.82,12.54,0.88,11.00,1.528
95,1094,5271,16.78,12.54,0.91,11.36,1.478
96,1094,5297,16.80,12.54,0.91,11.40,1.474
97,1096,5322,16.62,12.54,0.90,11.34,1.466
98,1096,5348,16.77,12.53,0.92,11.50,1.458
99,1098,5382,17.00,12.53,0.91,11.37,1.496
100,1098,5408,17.02,12.54,0.90,11.29,1.509
101,1100,5434,17.36,12.54,0.92,11.49,1.510
102,1100,5451,17.66,12.54,0.91,11.40,1.549
103,1102,5477,18.04,12.54,0.91,11.37,1.586
104,1102,5502,18.05,12.54,0.91,11.36,1.588
105,1104,5528,18.43,12.53,0.91,11.40,1.617
106,1104,5554,18.29,12.54,0.92,11.54,1.585
107,1106,5580,18.16,12.53,0.92,11.52,1.577
108,1106,5605,18.67,12.54,0.92,11.53,1.619
109,1108,5631,18.79,12.54,0.93,11.71,1.604
110,1108,5640,19.14,12.54,0.92,11.52,1.663
111,1110,5657,19.19,12.54,0.92,11.57,1.658
112,1110,5682,18.97,12.53,0.93,11.71,1.620
113,1112,5700,19.09,12.54,0.93,11.71,1.630
114,1112,5708,19.80,12.53,0.94,11.81,1.678
115,1114,5742,19.86,12.53,0.94,11.83,1.678
116,1114,5768,19.21,12.54,0.95,11.88,1.617
117,1116,5794,19.70,12.53,0.94,11.78,1.673
118,1116,5828,19.91,12.53,0.94,11.74,1.695
119,1118,5845,19.73,12.54,0.96,12.02,1.642
120,1118,5871,20.12,12.54,0.96,12.05,1.669
121,1120,5905,20.39,12.54,0.95,11.90,1.714
122,1120,5922,20.46,12.54,0.94,11.77,1.739
123,1122,5948,20.53,12.53,0.93,11.71,1.754
124,1122,5965,20.55,12.53,0.94,11.78,1.744
125,1124,5991,20.69,12.53,0.98,12.29,1.683
126,1124,6000,20.74,12.54,0.99,12.38,1.676
127,1126,6025,20.96,12.53,0.98,12.25,1.712
128,1126,6051,21.23,12.53,0.99,12.37,1.716
129,1128,6068,21.18,12.54,0.98,12.24,1.730
130,1128,6085,21.43,12.54,1.00,12.50,1.714
131,1130,6111,21.72,12.54,0.99,12.40,1.752
132,1130,6137,22.24,12.54,0.97,12.22,1.820
133,1132,6154,22.45,12.53,0.97,12.14,1.849
134,1132,6171,21.81,12.54,0.98,12.31,1.773
135,1134,6188,21.98,12.54,0.98,12.27,1.791
136,1134,6214,22.27,12.54,0.98,12.32,1.808
137,1136,6231,22.56,12.53,0.98,12.34,1.828
138,1136,6265,23.22,12.53,0.99,12.41,1.871
139,1138,6282,23.66,12.53,1.00,12.52,1.889
140,1138,6300,23.38,12.53,1.00,12.56,1.862
141,1140,6325,23.52,12.53,1.00,12.48,1.886
142,1140,6334,23.96,12.54,1.02,12.74,1.882
143,1142,6368,24.25,12.53,1.00,12.57,1.930
144,1142,6385,24.00,12.53,1.00,12.52,1.917
145,1144,6402,24.05,12.53,1.00,12.53,1.920
146,1144,6420,24.27,12.53,1.01,12.64,1.919
147,1146,6437,24.52,12.53,1.02,12.76,1.921
148,1146,6462,24.77,12.53,1.01,12.69,1.952
149,1148,6480,24.60,12.53,1.01,12.71,1.936
150,1148,6505,24.70,12.53,1.03,12.85,1.922
151,1150,6531,25.06,12.53,1.02,12.83,1.953
152,1150,6557,25.29,12.53,1.04,13.05,1.938
153,1152,6591,25.33,12.53,1.05,13.17,1.924
154,1152,6617,25.55,12.54,1.05,13.14,1.943
155,1154,6642,25.48,12.53,1.05,13.15,1.939
156,1154,6668,25.79,12.53,1.06,13.28,1.941
157,1156,6694,25.91,12.54,1.05,13.18,1.966
158,1156,6720,26.44,12.53,1.06,13.27,1.993
159,1158,6754,26.75,12.53,1.05,13.15,2.034
160,1158,6771,27.20,12.53,1.05,13.12,2.073
161,1160,6788,26.95,12.53,1.05,13.16,2.047
162,1160,6814,27.08,12.53,1.06,13.22,2.048
163,1162,6840,27.95,12.54,1.07,13.42,2.083
164,1162,6857,28.54,12.53,1.07,13.45,2.121
165,1164,6891,28.99,12.53,1.06,13.32,2.177
166,1164,6908,30.41,12.52,1.07,13.36,2.277
167,1166,6925,30.85,12.53,1.07,13.36,2.309
168,1166,6960,31.28,12.53,1.09,13.62,2.297
169,1168,6994,32.17,12.53,1.10,13.77,2.336
170,1168,7020,32.99,12.53,1.11,13.92,2.370
171,1170,7037,33.30,12.53,1.09,13.64,2.442
172,1170,7062,34.61,12.53,1.10,13.81,2.506
173,1172,7088,35.86,12.53,1.10,13.82,2.595
174,1172,7114,36.95,12.53,1.12,13.98,2.642
175,1174,7140,38.55,12.54,1.11,13.90,2.773
176,1174,7174,39.64,12.52,1.08,13.58,2.918
177,1176,7200,40.28,12.53,1.10,13.84,2.910
178,1176,7234,40.93,12.53,1.12,14.01,2.921
179,1178,7260,40.75,12.53,1.10,13.77,2.960
180,1178,7285,40.08,12.53,1.12,14.06,2.851
181,1180,7311,40.20,12.53,1.14,14.30,2.811
182,1180,7320,40.12,12.53,1.15,14.36,2.794
183,1182,7345,39.91,12.52,1.15,14.36,2.780
184,1182,7371,39.45,12.53,1.15,14.41,2.738
185,1184,7397,39.24,12.53,1.12,14.03,2.797
186,1184,7422,39.30,12.53,1.14,14.26,2.755
187,1186,7448,39.08,12.52,1.17,14.61,2.675
188,1186,7474,39.25,12.52,1.18,14.74,2.663
189,1188,7500,39.05,12.53,1.18,14.74,2.648
190,1188,7534,39.26,12.52,1.17,14.62,2.686
191,1190,7568,39.29,12.53,1.17,14.62,2.687
192,1190,7585,39.30,12.53,1.15,14.47,2.716
193,1192,7620,39.50,12.53,1.18,14.79,2.671
194,1192,7654,39.30,12.53,1.19,14.91,2.637
195,1194,7680,39.36,12.52,1.17,14.69,2.680
196,1194,7705,38.93,12.52,1.19,14.86,2.620
197,1196,7731,39.53,12.53,1.20,14.97,2.640
198,1196,7774,40.08,12.53,1.20,14.98,2.676
199,1198,7800,40.45,12.53,1.20,14.99,2.698
