seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.545,0.636
2,1000,0,0.00,12.545,0.640
3,1002,0,0.00,12.552,0.640
4,1002,0,0.00,12.544,0.620
5,1004,0,0.00,12.552,0.638
6,1004,0,0.00,12.560,0.633
7,1006,0,0.00,12.542,0.617
8,1006,0,0.00,12.559,0.627
9,1008,0,0.00,12.545,0.638
10,1008,0,0.00,12.550,0.625
11,1010,0,0.00,12.559,0.652
12,1010,0,0.00,12.546,0.640
13,1012,0,0.00,12.550,0.634
14,1012,0,0.00,12.542,0.644
15,1014,0,0.00,12.554,0.661
16,1014,0,0.00,12.543,0.646
17,1016,0,0.00,12.550,0.673
18,1016,0,0.00,12.532,0.778
19,1018,0,0.00,12.526,0.962
20,1018,0,0.00,12.533,1.023
21,1020,0,0.00,12.538,0.990
22,1020,0,0.00,12.530,0.940
23,1022,0,0.00,12.546,0.874
24,1022,0,0.00,12.539,0.834
25,1024,0,1.93,12.546,0.833
26,1024,0,0.00,12.543,0.840
27,1026,0,2.06,12.538,0.787
28,1026,0,2.27,12.532,0.769
29,1028,0,2.87,12.543,0.796
30,1028,0,3.16,12.544,0.786
31,1030,0,3.18,12.538,0.766
32,1030,0,3.86,12.537,0.747
33,1032,0,3.86,12.544,0.771
34,1032,0,3.81,12.550,0.770
35,1034,0,3.44,12.540,0.766
36,1034,0,3.48,12.538,0.761
37,1036,0,4.09,12.533,0.771
38,1036,0,4.22,12.545,0.789
39,1038,0,4.89,12.547,0.794
40,1038,0,5.01,12.544,0.764
41,1040,3677,5.09,12.531,0.773
42,1040,3711,5.51,12.537,0.782
43,1042,3737,5.63,12.541,0.794
44,1042,3771,5.53,12.544,0.796
45,1044,3805,6.01,12.542,0.799
46,1044,3840,6.60,12.540,0.797
47,1046,3865,6.68,12.530,0.789
48,1046,3900,6.47,12.537,0.781
49,1048,3934,7.10,12.540,0.801
50,1048,3968,7.30,12.538,0.821
51,1050,3994,7.33,12.531,0.806
52,1050,4020,7.04,12.541,0.800
53,1052,4045,7.46,12.539,0.795
