seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.529,0.645
2,1000,0,0.00,12.522,0.639
3,1002,0,0.00,12.528,0.634
4,1002,0,0.00,12.530,0.652
5,1004,0,0.00,12.527,0.628
6,1004,0,0.00,12.530,0.644
7,1006,0,0.00,12.532,0.626
8,1006,0,0.00,12.533,0.636
9,1008,0,0.00,12.532,0.630
10,1008,0,0.00,12.530,0.632
11,1010,0,0.00,12.526,0.632
12,1010,0,0.00,12.525,0.642
13,1012,0,0.00,12.521,0.629
14,1012,0,0.00,12.531,0.637
15,1014,0,0.00,12.525,0.646
16,1014,0,0.00,12.528,0.659
17,1016,0,0.00,12.528,0.658
18,1016,0,0.00,12.512,0.738
19,1018,0,0.00,12.513,0.926
20,1018,0,0.00,12.507,1.004
21,1020,0,0.00,12.511,0.967
22,1020,0,2.19,12.519,0.903
23,1022,0,3.05,12.511,0.874
24,1022,0,3.85,12.521,0.840
25,1024,0,4.31,12.524,0.828
26,1024,0,3.80,12.518,0.813
27,1026,0,4.06,12.516,0.834
28,1026,0,3.60,12.524,0.796
29,1028,0,4.86,12.520,0.806
30,1028,0,5.18,12.515,0.786
31,1030,0,6.06,12.527,0.801
32,1030,0,6.55,12.520,0.784
33,1032,0,6.48,12.516,0.771
34,1032,0,7.39,12.522,0.779
35,1034,0,7.45,12.518,0.783
36,1034,0,7.65,12.518,0.771
37,1036,0,7.66,12.518,0.768
38,1036,0,8.08,12.521,0.765
39,1038,0,8.74,12.516,0.761
40,1038,0,8.66,12.520,0.765
41,1040,0,8.69,12.517,0.772
42,1040,0,9.66,12.523,0.772
43,1042,0,10.42,12.519,0.794
44,1042,3745,10.50,12.520,0.807
45,1044,3780,10.57,12.519,0.804
46,1044,3805,11.60,12.520,0.788
47,1046,3840,11.62,12.520,0.791
48,1046,3882,11.91,12.520,0.787
49,1048,3908,12.17,12.515,0.792
50,1048,3951,12.76,12.511,0.795
51,1050,3977,12.52,12.524,0.795
52,1050,4002,12.76,12.517,0.800
53,1052,4037,13.39,12.517,0.801
54,1052,4062,13.88,12.523,0.798
55,1054,4088,14.17,12.523,0.785
56,1054,4105,14.26,12.520,0.783
57,1056,4131,13.98,12.521,0.811
58,1056,4157,14.35,12.519,0.806
59,1058,4182,14.80,12.519,0.795
60,1058,4208,15.06,12.522,0.829
