seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.595,0.638
2,1000,0,0.00,12.592,0.644
3,1002,0,0.00,12.596,0.629
4,1002,0,0.00,12.590,0.632
5,1004,0,0.00,12.590,0.625
6,1004,0,0.00,12.596,0.637
7,1006,0,0.00,12.595,0.625
8,1006,0,0.00,12.591,0.646
9,1008,0,0.00,12.593,0.632
10,1008,0,0.00,12.591,0.632
11,1010,0,0.00,12.595,0.639
12,1010,0,0.00,12.592,0.630
13,1012,0,0.00,12.597,0.631
14,1012,0,0.00,12.589,0.629
15,1014,0,0.00,12.590,0.642
16,1014,0,0.00,12.594,0.651
17,1016,0,0.00,12.590,0.655
18,1016,0,0.00,12.562,0.731
19,1018,0,0.00,12.579,0.940
20,1018,0,1.39,12.572,1.050
21,1020,0,1.21,12.565,1.134
22,1020,0,1.14,12.568,1.124
23,1022,0,1.48,12.563,1.145
24,1022,0,0.00,12.568,1.133
25,1024,0,0.00,12.569,1.116
26,1024,0,1.93,12.570,1.108
27,1026,0,3.02,12.566,1.072
28,1026,0,2.78,12.571,1.011
29,1028,0,3.95,12.577,0.958
30,1028,0,4.41,12.581,0.942
31,1030,0,4.42,12.584,0.928
32,1030,0,4.83,12.576,0.904
33,1032,0,4.47,12.577,0.882
34,1032,0,4.51,12.578,0.862
35,1034,0,5.96,12.582,0.861
36,1034,0,6.74,12.582,0.862
37,1036,0,7.07,12.587,0.847
38,1036,0,7.53,12.587,0.842
39,1038,0,7.98,12.589,0.819
40,1038,0,8.73,12.589,0.829
41,1040,0,9.47,12.584,0.839
42,1040,0,9.74,12.579,0.827
43,1042,0,10.12,12.586,0.804
44,1042,0,10.70,12.580,0.812
45,1044,0,11.10,12.584,0.825
46,1044,0,11.48,12.581,0.808
47,1046,0,11.69,12.584,0.806
48,1046,0,12.20,12.584,0.815
49,1048,0,13.20,12.576,0.819
50,1048,0,13.39,12.580,0.821
51,1050,3797,13.80,12.575,0.801
52,1050,3840,14.71,12.592,0.815
53,1052,3882,14.74,12.585,0.807
54,1052,3917,15.15,12.581,0.804
55,1054,3951,15.82,12.580,0.840
56,1054,3994,15.81,12.576,0.821
57,1056,4020,16.16,12.581,0.828
58,1056,4054,17.08,12.575,0.811
59,1058,4088,17.27,12.582,0.824
60,1058,4114,16.86,12.589,0.807
61,1060,4140,17.52,12.581,0.840
62,1060,4174,18.51,12.579,0.826
63,1062,4200,18.34,12.585,0.817
64,1062,4217,18.30,12.577,0.865
65,1064,4251,18.75,12.582,0.830
66,1064,4277,19.35,12.579,0.837
67,1066,4311,18.90,12.579,0.844
68,1066,4345,19.27,12.579,0.840
69,1068,4371,18.94,12.587,0.850
70,1068,4414,19.16,12.578,0.840
71,1070,4440,19.85,12.584,0.880
72,1070,4482,19.15,12.579,0.860
73,1072,4517,19.27,12.582,0.869
74,1072,4560,19.47,12.576,0.871
75,1074,4594,19.73,12.577,0.876
76,1074,4628,19.86,12.577,0.878
77,1076,4671,20.57,12.588,0.866
78,1076,4705,20.26,12.579,0.875
79,1078,4740,20.99,12.577,0.864
80,1078,4774,20.34,12.581,0.874
