seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.57,0.63,7.91,0.000
2,1000,0,0.00,12.58,0.63,7.92,0.000
3,1002,0,0.00,12.58,0.64,8.00,0.000
4,1002,0,0.00,12.58,0.63,7.98,0.000
5,1004,0,0.00,12.58,0.64,7.99,0.000
6,1004,0,0.00,12.58,0.64,8.04,0.000
7,1006,0,0.00,12.59,0.64,8.09,0.000
8,1006,0,0.00,12.58,0.64,8.04,0.000
9,1008,0,0.00,12.58,0.63,7.96,0.000
10,1008,0,0.00,12.58,0.64,7.99,0.000
11,1010,0,0.00,12.58,0.63,7.87,0.000
12,1010,0,0.00,12.58,0.63,7.89,0.000
13,1012,0,0.00,12.58,0.63,7.91,0.000
14,1012,0,0.00,12.58,0.63,7.92,0.000
15,1014,0,0.00,12.58,0.66,8.26,0.000
16,1014,0,0.00,12.58,0.64,8.09,0.000
17,1016,0,0.00,12.58,0.67,8.38,0.000
18,1016,0,0.00,12.57,0.75,9.41,0.000
19,1018,0,0.00,12.56,0.94,11.81,0.000
20,1018,0,0.63,12.56,1.08,13.58,0.046
21,1020,0,1.51,12.56,1.09,13.72,0.110
22,1020,0,1.45,12.56,1.09,13.71,0.106
23,1022,0,2.03,12.56,1.05,13.25,0.153
24,1022,0,2.09,12.56,1.00,12.62,0.166
25,1024,0,2.54,12.57,0.97,12.25,0.207
26,1024,0,3.36,12.57,0.92,11.58,0.291
27,1026,0,3.84,12.57,0.88,11.02,0.349
28,1026,0,4.08,12.57,0.86,10.80,0.378
29,1028,0,4.71,12.57,0.85,10.63,0.443
30,1028,0,5.44,12.57,0.84,10.56,0.515
31,1030,0,6.43,12.57,0.82,10.32,0.623
32,1030,0,7.12,12.57,0.81,10.22,0.696
33,1032,0,7.72,12.57,0.79,9.93,0.777
34,1032,0,8.18,12.58,0.79,9.91,0.825
35,1034,0,8.56,12.57,0.79,9.89,0.865
36,1034,0,8.41,12.57,0.78,9.84,0.855
37,1036,0,8.50,12.57,0.77,9.72,0.875
38,1036,0,8.88,12.57,0.80,10.02,0.887
39,1038,0,9.45,12.58,0.79,9.97,0.948
40,1038,0,10.15,12.57,0.78,9.86,1.029
41,1040,0,10.18,12.57,0.78,9.83,1.035
42,1040,0,10.52,12.57,0.78,9.82,1.070
43,1042,0,10.55,12.57,0.79,9.91,1.065
44,1042,3745,10.72,12.57,0.77,9.72,1.103
45,1044,3780,11.02,12.57,0.79,9.90,1.114
46,1044,3814,10.80,12.57,0.80,10.01,1.078
47,1046,3848,11.78,12.57,0.79,9.91,1.189
48,1046,3882,12.04,12.58,0.80,10.01,1.203
49,1048,3925,11.88,12.57,0.80,10.09,1.178
50,1048,3951,12.93,12.57,0.80,10.09,1.281
51,1050,3985,13.56,12.57,0.79,9.86,1.375
52,1050,4011,13.25,12.57,0.81,10.21,1.297
53,1052,4037,13.93,12.57,0.80,10.02,1.391
54,1052,4071,14.12,12.57,0.81,10.24,1.379
55,1054,4097,14.08,12.58,0.79,10.00,1.408
56,1054,4122,14.03,12.57,0.81,10.15,1.383
57,1056,4148,14.27,12.57,0.81,10.16,1.405
58,1056,4174,14.39,12.57,0.80,9.99,1.440
59,1058,4200,14.80,12.57,0.81,10.18,1.455
60,1058,4225,15.04,12.57,0.80,10.05,1.497
61,1060,4251,15.07,12.57,0.82,10.32,1.461
62,1060,4277,14.54,12.57,0.83,10.39,1.399
63,1062,4311,14.82,12.57,0.82,10.30,1.439
64,1062,4345,15.38,12.57,0.81,10.23,1.504
65,1064,4371,15.38,12.57,0.82,10.31,1.491
66,1064,4405,15.52,12.57,0.82,10.37,1.496
67,1066,4440,15.65,12.57,0.82,10.26,1.525
68,1066,4482,15.43,12.57,0.84,10.51,1.469
69,1068,4508,15.55,12.57,0.85,10.69,1.455
70,1068,4542,15.63,12.57,0.85,10.64,1.469
71,1070,4577,15.85,12.57,0.84,10.51,1.508
72,1070,4620,15.95,12.57,0.84,10.51,1.517
73,1072,4645,16.54,12.56,0.85,10.65,1.553
74,1072,4688,16.25,12.57,0.84,10.56,1.539
75,1074,4722,16.37,12.57,0.85,10.68,1.533
76,1074,4757,17.11,12.57,0.86,10.81,1.583
77,1076,4800,16.93,12.57,0.85,10.66,1.588
78,1076,4834,17.11,12.57,0.86,10.77,1.588
79,1078,4860,17.27,12.57,0.85,10.65,1.622
80,1078,4885,17.03,12.57,0.84,10.53,1.617
81,1080,4920,16.93,12.57,0.86,10.82,1.564
82,1080,4945,17.30,12.57,0.87,10.93,1.583
83,1082,4980,17.43,12.57,0.86,10.82,1.612
84,1082,5005,18.02,12.57,0.86,10.84,1.663
85,1084,5031,18.09,12.56,0.87,10.90,1.659
86,1084,5065,18.23,12.56,0.87,10.90,1.673
87,1086,5100,18.47,12.56,0.87,10.96,1.685
88,1086,5117,18.48,12.57,0.88,11.04,1.674
89,1088,5151,18.66,12.57,0.88,11.01,1.695
90,1088,5177,18.88,12.57,0.86,10.83,1.744
91,1090,5202,19.12,12.57,0.88,11.03,1.734
92,1090,5228,18.98,12.57,0.89,11.22,1.691
93,1092,5254,19.02,12.56,0.90,11.27,1.687
94,1092,5288,19.45,12.56,0.89,11.18,1.740
95,1094,5314,19.26,12.57,0.90,11.26,1.710
96,1094,5340,19.25,12.57,0.89,11.15,1.726
97,1096,5365,19.27,12.57,0.89,11.22,1.718
98,1096,5391,19.34,12.57,0.90,11.25,1.719
99,1098,5417,19.57,12.57,0.89,11.14,1.757
100,1098,5451,19.87,12.56,0.88,11.10,1.790
101,1100,5477,19.75,12.56,0.89,11.13,1.775
102,1100,5502,19.61,12.57,0.90,11.29,1.736
103,1102,5528,19.83,12.56,0.91,11.40,1.739
104,1102,5554,20.35,12.56,0.91,11.37,1.790
105,1104,5580,20.06,12.57,0.92,11.56,1.736
106,1104,5605,20.06,12.57,0.92,11.55,1.737
107,1106,5631,20.32,12.56,0.92,11.54,1.760
108,1106,5657,19.92,12.56,0.91,11.43,1.743
109,1108,5674,20.16,12.56,0.91,11.47,1.758
110,1108,5691,20.79,12.57,0.91,11.48,1.810
111,1110,5717,20.85,12.57,0.93,11.68,1.784
112,1110,5734,20.73,12.57,0.91,11.46,1.809
113,1112,5760,20.62,12.57,0.93,11.67,1.767
114,1112,5777,20.67,12.57,0.93,11.69,1.768
115,1114,5811,21.00,12.57,0.93,11.68,1.798
116,1114,5837,21.38,12.57,0.95,11.94,1.790
117,1116,5862,21.33,12.57,0.93,11.74,1.817
118,1116,5888,21.95,12.56,0.94,11.83,1.856
119,1118,5922,22.02,12.56,0.95,11.88,1.853
120,1118,5940,22.24,12.57,0.94,11.83,1.881
121,1120,5965,22.43,12.56,0.95,11.89,1.888
122,1120,5991,22.66,12.56,0.95,11.94,1.897
123,1122,6017,23.06,12.56,0.95,11.95,1.929
124,1122,6042,23.24,12.56,0.94,11.82,1.967
125,1124,6068,23.29,12.57,0.97,12.16,1.916
126,1124,6094,23.02,12.56,0.97,12.15,1.895
127,1126,6111,23.36,12.56,0.97,12.18,1.917
128,1126,6137,23.91,12.56,0.97,12.24,1.953
129,1128,6154,23.88,12.56,0.94,11.87,2.011
130,1128,6180,24.23,12.56,0.95,11.94,2.029
131,1130,6188,24.24,12.56,0.96,12.09,2.006
132,1130,6214,24.98,12.56,0.96,12.00,2.081
133,1132,6231,25.40,12.56,0.96,12.08,2.103
134,1132,6257,25.43,12.57,0.97,12.18,2.088
135,1134,6291,25.74,12.56,0.97,12.21,2.109
136,1134,6308,25.66,12.56,0.99,12.39,2.070
137,1136,6325,25.54,12.56,0.98,12.37,2.065
138,1136,6342,26.26,12.56,0.98,12.33,2.129
139,1138,6368,27.18,12.56,0.99,12.45,2.184
140,1138,6394,27.64,12.56,0.98,12.35,2.238
141,1140,6411,27.38,12.56,0.98,12.32,2.221
142,1140,6437,27.49,12.56,0.99,12.39,2.219
143,1142,6454,28.04,12.57,0.99,12.44,2.254
144,1142,6480,28.28,12.56,0.99,12.38,2.284
145,1144,6497,28.62,12.56,0.99,12.38,2.312
146,1144,6522,29.12,12.56,1.00,12.60,2.311
147,1146,6548,29.64,12.55,1.01,12.65,2.343
148,1146,6565,29.91,12.56,1.02,12.84,2.330
149,1148,6600,29.78,12.56,1.00,12.58,2.367
150,1148,6617,30.55,12.56,1.01,12.68,2.409
151,1150,6634,31.02,12.57,1.01,12.65,2.453
152,1150,6668,30.94,12.57,1.03,12.89,2.400
153,1152,6685,31.76,12.57,1.04,13.08,2.428
154,1152,6720,32.38,12.57,1.03,12.92,2.506
155,1154,6745,32.75,12.56,1.03,13.00,2.520
156,1154,6771,33.22,12.56,1.05,13.17,2.523
157,1156,6805,33.73,12.55,1.03,12.93,2.609
158,1156,6840,34.02,12.55,1.04,13.02,2.613
159,1158,6865,34.59,12.56,1.03,12.97,2.668
160,1158,6891,35.58,12.56,1.05,13.14,2.707
161,1160,6925,36.17,12.56,1.04,13.08,2.765
162,1160,6951,36.75,12.56,1.04,13.09,2.808
163,1162,6977,37.02,12.56,1.04,13.09,2.827
164,1162,7002,37.16,12.55,1.05,13.22,2.811
165,1164,7028,37.44,12.56,1.06,13.28,2.820
166,1164,7054,37.79,12.55,1.05,13.12,2.880
167,1166,7080,38.65,12.56,1.04,13.01,2.971
168,1166,7105,38.69,12.56,1.06,13.36,2.896
169,1168,7131,39.30,12.56,1.04,13.11,2.997
170,1168,7157,39.90,12.56,1.06,13.32,2.995
171,1170,7182,39.60,12.56,1.07,13.41,2.954
172,1170,7208,39.67,12.56,1.07,13.45,2.949
173,1172,7251,40.06,12.55,1.08,13.51,2.965
174,1172,7277,40.61,12.55,1.09,13.63,2.979
175,1174,7311,41.15,12.55,1.09,13.70,3.005
176,1174,7337,41.31,12.55,1.09,13.65,3.027
177,1176,7362,41.05,12.56,1.09,13.73,2.989
178,1176,7397,41.49,12.57,1.10,13.78,3.010
179,1178,7414,41.80,12.56,1.09,13.71,3.050
180,1178,7440,42.00,12.56,1.11,13.90,3.022
181,1180,7465,42.64,12.56,1.12,14.03,3.038
182,1180,7491,42.93,12.55,1.12,14.07,3.051
183,1182,7508,43.33,12.55,1.11,13.99,3.098
184,1182,7542,43.30,12.56,1.15,14.45,2.996
185,1184,7585,43.28,12.56,1.13,14.23,3.041
186,1184,7611,43.61,12.55,1.13,14.24,3.061
187,1186,7645,44.20,12.55,1.13,14.21,3.110
188,1186,7680,44.55,12.56,1.14,14.29,3.118
189,1188,7705,45.26,12.56,1.15,14.42,3.139
190,1188,7731,45.67,12.56,1.15,14.42,3.167
191,1190,7765,45.97,12.55,1.14,14.25,3.225
192,1190,7791,46.15,12.55,1.15,14.44,3.195
193,1192,7825,46.25,12.55,1.14,14.26,3.243
194,1192,7851,46.07,12.55,1.16,14.55,3.167
195,1194,7894,47.40,12.55,1.16,14.56,3.257
196,1194,7920,47.22,12.55,1.16,14.59,3.236
197,1196,7954,47.61,12.55,1.18,14.82,3.213
198,1196,7988,48.11,12.55,1.19,14.97,3.214
199,1198,8022,47.87,12.55,1.18,14.77,3.241
200,1198,8057,48.09,12.55,1.19,14.90,3.228
201,1200,8082,48.58,12.55,1.18,14.78,3.287
202,1200,8108,49.37,12.55,1.18,14.78,3.340
203,1202,8134,49.42,12.55,1.21,15.15,3.263
204,1202,8160,49.23,12.54,1.21,15.13,3.254
205,1204,8194,49.56,12.55,1.20,15.00,3.305
206,1204,8220,49.98,12.55,1.20,15.09,3.312
207,1206,8245,50.20,12.54,1.21,15.20,3.303
208,1206,8271,50.38,12.55,1.21,15.14,3.328
209,1208,8305,50.78,12.54,1.21,15.14,3.354
210,1208,8331,50.64,12.55,1.22,15.34,3.300
211,1210,8357,51.02,12.55,1.22,15.30,3.335
212,1210,8382,51.91,12.54,1.24,15.56,3.337
213,1212,8417,51.69,12.54,1.23,15.45,3.345
214,1212,8417,51.58,12.55,1.22,15.34,3.362
215,1214,8434,51.78,12.54,1.25,15.70,3.298
216,1214,8477,52.38,12.55,1.24,15.51,3.378
217,1216,8502,53.17,12.55,1.25,15.64,3.400
218,1216,8554,53.39,12.55,1.25,15.66,3.409
219,1218,8588,53.47,12.54,1.27,15.93,3.356
220,1218,8605,53.55,12.55,1.27,15.90,3.367
221,1220,8622,54.17,12.55,1.26,15.80,3.428
222,1220,8657,54.03,12.55,1.27,15.99,3.378
223,1222,8682,54.73,12.54,1.29,16.25,3.369
224,1222,8725,54.88,12.55,1.30,16.34,3.358
225,1224,8751,54.73,12.54,1.31,16.43,3.332
226,1224,8777,55.01,12.55,1.30,16.28,3.378
227,1226,8811,55.16,12.55,1.29,16.23,3.398
228,1226,8862,55.28,12.55,1.30,16.35,3.381
229,1228,8888,55.86,12.54,1.32,16.50,3.385
230,1228,8948,55.79,12.55,1.32,16.59,3.364
231,1230,8974,56.19,12.55,1.33,16.75,3.355
232,1230,9008,56.70,12.54,1.33,16.71,3.392
233,1232,9025,56.87,12.54,1.34,16.84,3.376
234,1232,9051,56.96,12.54,1.34,16.81,3.388
235,1234,9085,57.23,12.54,1.35,16.96,3.375
236,1234,9111,57.46,12.54,1.32,16.54,3.473
237,1236,9128,58.05,12.54,1.34,16.77,3.461
238,1236,9154,58.73,12.54,1.35,16.88,3.479
239,1238,9180,58.72,12.54,1.36,17.02,3.450
240,1238,9214,58.71,12.54,1.36,17.09,3.435
241,1240,9231,58.89,12.55,1.34,16.86,3.493
242,1240,9248,59.31,12.55,1.36,17.06,3.478
243,1242,9274,59.23,12.54,1.36,17.02,3.480
244,1242,9291,59.40,12.54,1.36,17.06,3.481
245,1244,9317,59.77,12.54,1.38,17.32,3.450
246,1244,9342,59.70,12.54,1.38,17.27,3.457
247,1246,9377,60.54,12.55,1.39,17.46,3.467
248,1246,9394,60.79,12.54,1.39,17.39,3.495
249,1248,9420,60.76,12.53,1.41,17.62,3.448
250,1248,9437,61.04,12.54,1.40,17.53,3.482
251,1250,9462,61.27,12.54,1.40,17.59,3.484
252,1250,9505,61.50,12.54,1.40,17.60,3.494
253,1252,9497,61.72,12.54,1.38,17.35,3.556
254,1252,9531,62.24,12.54,1.39,17.44,3.568
255,1254,9565,62.38,12.54,1.39,17.44,3.578
256,1254,9557,62.55,12.54,1.42,17.76,3.522
257,1256,9591,62.30,12.55,1.42,17.87,3.486
258,1256,9625,62.28,12.55,1.42,17.85,3.489
259,1258,9651,63.63,12.54,1.42,17.82,3.571
260,1258,9660,63.69,12.55,1.43,17.97,3.545
261,1260,9694,63.53,12.54,1.44,18.05,3.519
262,1260,9711,64.08,12.53,1.47,18.38,3.486
263,1262,9737,64.50,12.53,1.47,18.37,3.512
264,1262,9754,64.78,12.54,1.49,18.63,3.478
265,1264,9788,64.91,12.53,1.48,18.49,3.511
266,1264,9814,65.46,12.54,1.47,18.38,3.561
267,1266,9840,65.69,12.54,1.48,18.56,3.539
268,1266,9857,65.61,12.53,1.50,18.75,3.499
269,1268,9882,65.69,12.53,1.49,18.69,3.515
270,1268,9900,65.92,12.52,1.50,18.74,3.517
271,1270,9925,65.69,12.53,1.50,18.75,3.503
272,1270,9942,66.34,12.53,1.50,18.85,3.519
273,1272,9968,66.73,12.53,1.52,19.01,3.510
274,1272,9994,66.78,12.54,1.52,19.05,3.504
275,1274,10011,67.16,12.54,1.51,18.94,3.546
276,1274,10028,67.89,12.53,1.51,18.87,3.598
277,1276,10062,67.85,12.53,1.53,19.19,3.536
278,1276,10088,67.90,12.54,1.55,19.44,3.493
279,1278,10114,68.22,12.53,1.50,18.82,3.624
280,1278,10148,69.27,12.54,1.54,19.37,3.576
281,1280,10182,69.28,12.54,1.50,18.80,3.685
282,1280,10182,69.54,12.54,1.49,18.72,3.715
283,1282,10182,69.10,12.54,1.49,18.71,3.692
284,1282,10191,69.44,12.53,1.51,18.90,3.673
285,1284,10191,69.76,12.53,1.53,19.12,3.649
286,1284,10200,70.00,12.54,1.54,19.25,3.636
287,1286,10200,69.72,12.54,1.54,19.28,3.616
288,1286,10200,69.69,12.52,1.58,19.75,3.529
289,1288,10225,69.92,12.52,1.59,19.90,3.515
290,1288,10242,70.81,12.52,1.60,20.08,3.527
291,1290,10277,71.28,12.52,1.61,20.12,3.543
292,1290,10311,71.96,12.53,1.62,20.23,3.556
293,1292,10345,72.69,12.52,1.64,20.48,3.549
294,1292,10371,73.64,12.53,1.61,20.21,3.645
295,1294,10371,73.55,12.53,1.59,19.89,3.698
296,1294,10405,73.80,12.52,1.61,20.22,3.649
297,1296,10431,74.28,12.53,1.62,20.25,3.668
298,1296,10465,74.15,12.53,1.64,20.53,3.611
299,1298,10542,74.41,12.53,1.64,20.54,3.623
300,1298,10602,75.21,12.53,1.63,20.39,3.689
301,1300,10637,75.09,12.53,1.61,20.16,3.725
302,1300,10637,75.24,12.53,1.61,20.24,3.718
303,1302,10671,75.31,12.53,1.63,20.45,3.683
304,1302,10705,75.76,12.53,1.62,20.29,3.734
305,1304,10740,76.23,12.53,1.65,20.68,3.687
306,1304,10765,77.06,12.52,1.66,20.81,3.704
307,1306,10782,76.97,12.52,1.66,20.78,3.704
308,1306,10791,77.66,12.52,1.68,21.05,3.689
309,1308,10825,78.22,12.53,1.69,21.19,3.691
310,1308,10825,77.96,12.53,1.68,21.06,3.701
311,1310,10860,78.23,12.53,1.67,20.98,3.729
312,1310,10885,78.22,12.53,1.67,20.87,3.748
313,1312,10911,78.76,12.53,1.68,21.10,3.733
314,1312,10928,79.40,12.53,1.69,21.12,3.760
315,1314,10945,79.51,12.54,1.67,21.00,3.787
316,1314,10962,79.62,12.53,1.70,21.35,3.730
317,1316,10988,79.84,12.52,1.72,21.53,3.709
318,1316,11014,80.53,12.52,1.72,21.57,3.733
319,1318,11022,80.75,12.52,1.74,21.77,3.709
320,1318,11022,80.69,12.52,1.73,21.68,3.722
321,1320,11031,80.92,12.52,1.70,21.30,3.800
322,1320,11057,81.41,12.53,1.72,21.59,3.770
323,1322,11091,81.89,12.53,1.73,21.63,3.785
324,1322,11125,82.34,12.53,1.72,21.49,3.831
325,1324,11134,82.47,12.53,1.74,21.77,3.789
326,1324,11142,82.73,12.52,1.75,21.96,3.768
327,1326,11142,82.77,12.52,1.77,22.11,3.744
328,1326,11151,83.41,12.52,1.76,22.01,3.790
329,1328,11194,84.22,12.52,1.78,22.32,3.774
330,1328,11254,84.72,12.53,1.79,22.46,3.771
331,1330,11288,84.98,12.52,1.79,22.35,3.802
332,1330,11288,85.38,12.52,1.77,22.20,3.847
333,1332,11288,85.20,12.52,1.78,22.23,3.832
334,1332,11288,85.19,12.52,1.79,22.36,3.811
335,1334,11297,85.69,12.51,1.80,22.54,3.801
336,1334,11305,86.11,12.52,1.81,22.72,3.790
337,1336,11314,86.50,12.52,1.80,22.48,3.847
338,1336,11314,86.63,12.53,1.78,22.35,3.876
339,1338,11408,86.47,12.52,1.78,22.27,3.882
340,1338,11425,86.31,12.52,1.79,22.48,3.840
341,1340,11425,86.28,12.52,1.83,22.86,3.775
342,1340,11417,86.63,12.52,1.85,23.16,3.741
343,1342,11434,87.44,12.51,1.85,23.17,3.773
344,1342,11434,87.74,12.51,1.85,23.18,3.786
345,1344,11451,87.91,12.51,1.84,23.04,3.816
346,1344,11477,88.56,12.51,1.86,23.23,3.812
347,1346,11537,88.49,12.53,1.85,23.18,3.817
348,1346,11554,88.70,12.51,1.87,23.35,3.799
