seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.568,0.618
2,1000,0,0.00,12.571,0.623
3,1002,0,0.00,12.577,0.639
4,1002,0,0.00,12.580,0.646
5,1004,0,0.00,12.583,0.635
6,1004,0,0.00,12.580,0.642
7,1006,0,0.00,12.585,0.646
8,1006,0,0.00,12.580,0.643
9,1008,0,0.00,12.577,0.633
10,1008,0,0.00,12.574,0.633
11,1010,0,0.00,12.572,0.620
12,1010,0,0.00,12.571,0.619
13,1012,0,0.00,12.577,0.621
14,1012,0,0.00,12.575,0.632
15,1014,0,0.00,12.580,0.665
16,1014,0,0.00,12.575,0.631
17,1016,0,0.00,12.581,0.667
18,1016,0,0.00,12.563,0.778
19,1018,0,0.00,12.559,0.934
20,1018,0,1.26,12.556,1.088
21,1020,0,3.03,12.550,1.124
22,1020,0,2.90,12.554,1.131
23,1022,0,2.79,12.548,1.115
24,1022,0,2.78,12.556,1.073
25,1024,0,3.43,12.563,1.054
26,1024,0,4.02,12.566,0.996
27,1026,0,4.79,12.562,0.911
28,1026,0,4.77,12.569,0.869
29,1028,0,5.24,12.572,0.858
30,1028,0,5.96,12.565,0.862
31,1030,0,7.03,12.570,0.845
32,1030,0,7.74,12.566,0.839
33,1032,0,8.61,12.571,0.801
34,1032,0,9.57,12.566,0.796
35,1034,0,9.82,12.565,0.787
36,1034,0,9.33,12.559,0.775
37,1036,0,9.52,12.567,0.774
38,1036,0,10.02,12.564,0.792
39,1038,0,11.23,12.577,0.802
40,1038,0,11.83,12.571,0.793
41,1040,0,12.10,12.570,0.782
42,1040,0,12.81,12.565,0.791
43,1042,0,12.51,12.565,0.795
44,1042,3728,12.35,12.570,0.764
45,1044,3762,13.02,12.570,0.783
46,1044,3805,12.46,12.571,0.799
47,1046,3840,13.46,12.570,0.806
48,1046,3874,13.89,12.575,0.798
49,1048,3908,13.76,12.573,0.814
50,1048,3942,15.00,12.567,0.803
51,1050,3968,15.43,12.558,0.790
52,1050,4002,15.33,12.560,0.804
53,1052,4028,16.05,12.561,0.793
54,1052,4062,16.20,12.569,0.808
55,1054,4088,16.21,12.583,0.797
56,1054,4114,15.88,12.572,0.821
57,1056,4140,16.10,12.570,0.814
58,1056,4165,16.80,12.564,0.794
59,1058,4191,16.75,12.558,0.825
60,1058,4225,17.13,12.563,0.780
61,1060,4251,17.32,12.566,0.818
62,1060,4277,16.69,12.565,0.816
63,1062,4302,16.75,12.569,0.820
64,1062,4337,17.75,12.567,0.802
65,1064,4362,17.57,12.561,0.813
66,1064,4397,17.48,12.560,0.826
67,1066,4431,17.64,12.563,0.810
68,1066,4465,17.38,12.566,0.843
69,1068,4500,17.56,12.568,0.851
70,1068,4542,17.99,12.569,0.849
71,1070,4577,17.93,12.569,0.843
72,1070,4611,18.11,12.567,0.833
73,1072,4645,19.09,12.562,0.847
74,1072,4688,18.88,12.566,0.837
75,1074,4722,19.36,12.566,0.849
76,1074,4757,20.22,12.567,0.870
77,1076,4800,20.04,12.570,0.844
78,1076,4834,20.12,12.567,0.858
79,1078,4851,20.30,12.562,0.836
80,1078,4885,19.76,12.555,0.830
81,1080,4911,19.72,12.571,0.852
82,1080,4937,20.26,12.571,0.879
83,1082,4962,20.13,12.568,0.862
84,1082,4988,20.56,12.573,0.869
85,1084,5022,20.41,12.553,0.871
86,1084,5048,20.93,12.561,0.863
87,1086,5082,21.46,12.566,0.870
88,1086,5117,21.25,12.566,0.864
89,1088,5142,21.72,12.568,0.881
90,1088,5168,21.72,12.569,0.871
91,1090,5194,21.81,12.567,0.897
92,1090,5228,21.96,12.560,0.905
93,1092,5254,22.15,12.561,0.900
94,1092,5288,22.53,12.555,0.870
95,1094,5314,22.44,12.558,0.896
96,1094,5340,22.26,12.564,0.897
97,1096,5365,22.43,12.574,0.898
98,1096,5391,22.29,12.571,0.887
99,1098,5417,22.56,12.561,0.887
100,1098,5442,22.96,12.559,0.875
101,1100,5468,22.64,12.562,0.872
102,1100,5494,22.62,12.564,0.906
103,1102,5520,22.51,12.563,0.907
104,1102,5545,23.27,12.564,0.912
105,1104,5580,23.06,12.556,0.912
106,1104,5605,23.32,12.567,0.920
107,1106,5631,23.80,12.557,0.912
108,1106,5657,23.03,12.557,0.899
109,1108,5674,23.09,12.555,0.900
110,1108,5691,23.67,12.572,0.920
111,1110,5717,23.91,12.569,0.933
112,1110,5734,23.64,12.571,0.921
113,1112,5760,23.60,12.568,0.909
114,1112,5777,23.56,12.568,0.930
115,1114,5811,23.97,12.567,0.934
116,1114,5828,24.16,12.567,0.952
117,1116,5862,24.20,12.577,0.936
118,1116,5888,25.36,12.560,0.923
119,1118,5922,25.70,12.563,0.951
