seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.53,0.65,8.10,0.000
2,1000,0,0.00,12.53,0.64,7.96,0.000
3,1002,0,0.00,12.53,0.64,8.01,0.000
4,1002,0,0.00,12.54,0.64,7.96,0.000
5,1004,0,0.00,12.54,0.64,8.06,0.000
6,1004,0,0.00,12.53,0.63,7.95,0.000
7,1006,0,0.00,12.53,0.63,7.92,0.000
8,1006,0,0.00,12.53,0.63,7.92,0.000
9,1008,0,0.00,12.53,0.63,7.87,0.000
10,1008,0,0.00,12.54,0.64,7.99,0.000
11,1010,0,0.00,12.53,0.63,7.88,0.000
12,1010,0,0.00,12.53,0.62,7.81,0.000
13,1012,0,0.00,12.53,0.63,7.93,0.000
14,1012,0,0.00,12.53,0.64,7.97,0.000
15,1014,0,0.00,12.53,0.66,8.32,0.000
16,1014,0,0.00,12.53,0.66,8.31,0.000
17,1016,0,0.00,12.53,0.66,8.24,0.000
18,1016,0,0.00,12.52,0.75,9.41,0.000
19,1018,0,0.00,12.52,0.93,11.65,0.000
20,1018,0,1.28,12.51,1.04,12.97,0.099
21,1020,0,1.43,12.51,1.08,13.55,0.106
22,1020,0,1.48,12.51,1.09,13.69,0.108
23,1022,0,1.51,12.51,1.09,13.61,0.111
24,1022,0,2.19,12.52,1.08,13.49,0.162
25,1024,0,3.11,12.51,1.05,13.10,0.237
26,1024,0,2.98,12.51,1.03,12.90,0.231
27,1026,0,3.23,12.52,0.99,12.37,0.261
28,1026,0,3.29,12.52,0.99,12.34,0.267
29,1028,0,3.62,12.52,0.96,12.05,0.300
30,1028,0,4.59,12.52,0.95,11.93,0.385
31,1030,0,5.41,12.52,0.94,11.73,0.461
32,1030,0,6.50,12.52,0.92,11.49,0.566
33,1032,0,7.29,12.52,0.90,11.30,0.645
34,1032,0,7.36,12.51,0.89,11.14,0.661
35,1034,0,7.69,12.53,0.89,11.08,0.693
36,1034,0,8.10,12.52,0.86,10.83,0.748
37,1036,0,8.38,12.52,0.88,11.06,0.758
38,1036,0,8.86,12.52,0.86,10.73,0.826
39,1038,0,9.00,12.52,0.87,10.91,0.825
40,1038,0,9.48,12.52,0.86,10.72,0.885
41,1040,0,10.14,12.52,0.87,10.93,0.928
42,1040,0,10.31,12.52,0.86,10.81,0.954
43,1042,0,10.37,12.52,0.86,10.77,0.962
44,1042,0,10.86,12.52,0.87,10.90,0.996
45,1044,0,11.75,12.52,0.87,10.87,1.081
46,1044,0,12.27,12.52,0.86,10.76,1.141
47,1046,0,13.38,12.52,0.85,10.64,1.257
48,1046,0,13.27,12.52,0.86,10.81,1.228
49,1048,0,13.55,12.52,0.86,10.80,1.256
50,1048,0,13.88,12.52,0.86,10.71,1.295
51,1050,0,14.11,12.53,0.86,10.77,1.310
52,1050,0,14.27,12.52,0.87,10.92,1.307
53,1052,0,14.04,12.53,0.86,10.82,1.298
54,1052,0,14.84,12.52,0.87,10.86,1.366
55,1054,0,15.31,12.52,0.85,10.70,1.431
56,1054,0,15.21,12.52,0.89,11.13,1.366
57,1056,0,15.30,12.53,0.87,10.90,1.403
58,1056,0,15.44,12.52,0.88,11.01,1.402
59,1058,0,15.69,12.52,0.87,10.89,1.441
60,1058,0,16.00,12.53,0.88,10.99,1.456
61,1060,3702,16.30,12.52,0.87,10.91,1.494
62,1060,3728,16.55,12.52,0.89,11.13,1.487
63,1062,3754,17.31,12.52,0.89,11.15,1.553
64,1062,3780,17.83,12.52,0.89,11.10,1.606
65,1064,3797,17.83,12.52,0.90,11.30,1.578
66,1064,3822,17.80,12.52,0.91,11.42,1.559
