seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.526,0.647
2,1000,0,0.00,12.526,0.637
3,1002,0,0.00,12.526,0.635
4,1002,0,0.00,12.533,0.635
5,1004,0,0.00,12.529,0.634
6,1004,0,0.00,12.532,0.636
7,1006,0,0.00,12.527,0.634
8,1006,0,0.00,12.527,0.638
9,1008,0,0.00,12.533,0.625
10,1008,0,0.00,12.530,0.627
11,1010,0,0.00,12.524,0.631
12,1010,0,0.00,12.528,0.619
13,1012,0,0.00,12.534,0.639
14,1012,0,0.00,12.525,0.636
15,1014,0,0.00,12.522,0.675
16,1014,0,0.00,12.527,0.666
17,1016,0,0.00,12.531,0.646
18,1016,0,0.00,12.510,0.771
19,1018,0,0.00,12.502,0.971
20,1018,0,2.57,12.511,1.062
21,1020,0,2.86,12.500,1.125
22,1020,0,2.95,12.507,1.124
23,1022,0,3.03,12.504,1.119
24,1022,0,2.63,12.506,1.121
25,1024,0,3.59,12.505,1.096
26,1024,0,3.34,12.507,1.095
27,1026,0,3.78,12.500,1.060
28,1026,0,3.83,12.515,1.029
29,1028,0,4.13,12.515,1.005
30,1028,0,5.31,12.511,0.993
31,1030,0,5.89,12.511,0.970
32,1030,0,7.11,12.505,0.950
33,1032,0,8.35,12.508,0.930
34,1032,0,8.20,12.504,0.907
35,1034,0,9.16,12.518,0.900
36,1034,0,9.20,12.518,0.876
37,1036,0,9.69,12.514,0.907
38,1036,0,9.77,12.516,0.878
39,1038,0,9.83,12.517,0.893
40,1038,0,9.96,12.514,0.861
41,1040,0,10.67,12.516,0.870
42,1040,0,10.93,12.515,0.869
43,1042,0,11.25,12.515,0.860
44,1042,0,11.85,12.516,0.881
45,1044,0,12.68,12.519,0.887
46,1044,0,13.62,12.518,0.869
47,1046,0,14.72,12.509,0.862
48,1046,0,14.73,12.521,0.871
49,1048,0,14.68,12.521,0.851
50,1048,0,15.21,12.520,0.847
51,1050,0,15.53,12.522,0.856
52,1050,0,15.53,12.517,0.880
53,1052,0,15.12,12.516,0.863
54,1052,0,15.74,12.517,0.859
55,1054,0,16.15,12.512,0.857
56,1054,0,15.98,12.511,0.873
57,1056,0,16.31,12.524,0.882
58,1056,0,16.51,12.510,0.880
59,1058,0,16.66,12.509,0.871
60,1058,0,17.02,12.521,0.883
61,1060,3677,17.76,12.517,0.861
62,1060,3702,18.30,12.518,0.870
63,1062,3728,19.43,12.518,0.882
64,1062,3754,20.06,12.511,0.875
65,1064,3780,20.01,12.522,0.893
66,1064,3805,19.93,12.519,0.915
67,1066,3831,20.07,12.516,0.911
68,1066,3857,20.05,12.509,0.918
69,1068,3882,20.49,12.510,0.905
70,1068,3900,21.03,12.518,0.925
71,1070,3925,20.66,12.518,0.900
72,1070,3951,20.95,12.524,0.916
73,1072,3977,21.68,12.518,0.930
74,1072,4002,21.74,12.513,0.916
75,1074,4020,22.32,12.515,0.923
76,1074,4045,22.86,12.510,0.942
77,1076,4071,23.69,12.517,0.942
78,1076,4097,24.80,12.506,0.925
79,1078,4114,24.76,12.506,0.934
80,1078,4140,23.93,12.515,0.958
81,1080,4165,23.78,12.516,0.949
82,1080,4191,24.55,12.510,0.918
83,1082,4208,24.62,12.504,0.951
84,1082,4234,24.88,12.516,0.954
85,1084,4260,25.38,12.513,0.964
86,1084,4277,25.16,12.514,0.963
87,1086,4302,25.26,12.507,0.975
88,1086,4328,25.46,12.512,0.979
89,1088,4354,25.77,12.504,0.997
90,1088,4380,25.97,12.506,0.975
91,1090,4414,26.13,12.507,0.988
92,1090,4440,25.87,12.516,1.005
93,1092,4465,26.30,12.511,0.995
94,1092,4491,26.74,12.516,1.002
95,1094,4525,26.98,12.510,1.012
96,1094,4551,27.38,12.513,1.008
97,1096,4577,27.30,12.509,0.993
98,1096,4602,27.09,12.508,1.038
99,1098,4620,27.24,12.507,1.026
100,1098,4645,27.94,12.511,1.042
101,1100,4671,27.92,12.511,1.052
102,1100,4697,27.79,12.510,1.050
103,1102,4722,28.40,12.507,1.028
104,1102,4748,28.52,12.500,1.033
105,1104,4782,28.65,12.495,1.053
106,1104,4808,28.53,12.502,1.042
107,1106,4825,28.66,12.507,1.048
108,1106,4851,29.37,12.498,1.067
109,1108,4877,29.93,12.508,1.073
110,1108,4902,30.99,12.512,1.072
111,1110,4920,31.91,12.512,1.062
112,1110,4945,32.13,12.509,1.079
113,1112,4971,32.42,12.508,1.070
114,1112,4988,33.08,12.508,1.068
115,1114,5005,33.20,12.503,1.109
116,1114,5031,33.24,12.506,1.100
117,1116,5048,33.57,12.510,1.066
118,1116,5065,33.90,12.504,1.070
119,1118,5091,33.95,12.505,1.085
120,1118,5117,33.65,12.506,1.098
121,1120,5134,33.57,12.508,1.112
122,1120,5151,33.65,12.499,1.119
123,1122,5177,34.45,12.504,1.105
124,1122,5194,34.94,12.500,1.125
125,1124,5211,34.65,12.499,1.132
126,1124,5228,34.78,12.501,1.125
127,1126,5245,34.69,12.505,1.117
128,1126,5262,35.33,12.503,1.105
129,1128,5288,35.75,12.505,1.106
130,1128,5297,36.12,12.504,1.122
131,1130,5322,35.86,12.501,1.129
132,1130,5340,35.69,12.503,1.172
133,1132,5365,35.73,12.500,1.143
134,1132,5382,35.90,12.495,1.158
135,1134,5400,35.91,12.504,1.155
136,1134,5425,36.08,12.499,1.168
137,1136,5442,36.47,12.508,1.196
138,1136,5460,36.33,12.502,1.154
139,1138,5477,37.13,12.503,1.184
140,1138,5494,37.22,12.498,1.184
141,1140,5520,37.38,12.492,1.205
142,1140,5537,37.35,12.493,1.205
143,1142,5554,37.76,12.497,1.205
144,1142,5571,38.66,12.496,1.192
145,1144,5597,38.57,12.492,1.199
146,1144,5614,39.45,12.489,1.225
147,1146,5631,39.99,12.490,1.221
148,1146,5657,40.02,12.491,1.223
149,1148,5665,39.90,12.499,1.224
150,1148,5691,40.33,12.500,1.238
151,1150,5708,40.76,12.496,1.219
152,1150,5717,41.11,12.489,1.234
153,1152,5742,41.08,12.497,1.257
154,1152,5760,41.34,12.511,1.232
155,1154,5777,41.43,12.504,1.240
156,1154,5785,42.52,12.497,1.252
157,1156,5802,42.79,12.484,1.250
158,1156,5811,42.97,12.491,1.259
159,1158,5837,43.15,12.487,1.253
160,1158,5854,42.96,12.494,1.272
161,1160,5871,43.85,12.489,1.278
162,1160,5888,44.20,12.490,1.267
163,1162,5905,43.90,12.490,1.281
164,1162,5914,44.46,12.487,1.300
165,1164,5940,44.97,12.491,1.315
166,1164,5948,44.71,12.496,1.292
167,1166,5974,45.01,12.494,1.292
168,1166,5982,45.40,12.497,1.301
169,1168,6000,45.38,12.499,1.287
170,1168,6008,45.47,12.499,1.299
171,1170,6025,45.55,12.491,1.291
172,1170,6051,45.81,12.505,1.303
173,1172,6060,46.28,12.502,1.330
174,1172,6068,46.48,12.499,1.323
175,1174,6094,46.95,12.488,1.340
176,1174,6120,47.96,12.489,1.359
177,1176,6128,48.42,12.481,1.342
178,1176,6162,48.21,12.494,1.367
179,1178,6171,48.20,12.494,1.370
180,1178,6197,47.97,12.490,1.357
181,1180,6205,48.58,12.493,1.362
182,1180,6222,48.67,12.498,1.342
183,1182,6248,48.84,12.503,1.349
184,1182,6257,49.39,12.498,1.380
185,1184,6282,50.34,12.498,1.385
186,1184,6300,50.72,12.489,1.391
187,1186,6308,50.75,12.486,1.399
188,1186,6334,50.98,12.486,1.417
189,1188,6342,51.47,12.474,1.442
190,1188,6368,51.39,12.495,1.445
191,1190,6385,51.91,12.493,1.393
192,1190,6394,52.20,12.502,1.392
193,1192,6411,52.34,12.490,1.400
194,1192,6437,53.04,12.489,1.428
195,1194,6445,53.39,12.484,1.433
196,1194,6471,53.71,12.471,1.430
197,1196,6488,53.75,12.484,1.439
198,1196,6505,53.58,12.480,1.435
199,1198,6522,54.40,12.483,1.489
200,1198,6531,55.06,12.478,1.466
201,1200,6548,55.62,12.479,1.475
202,1200,6574,55.92,12.477,1.499
203,1202,6582,56.16,12.477,1.479
204,1202,6617,56.05,12.476,1.500
205,1204,6634,56.39,12.487,1.521
206,1204,6651,57.10,12.485,1.536
207,1206,6685,57.84,12.482,1.527
208,1206,6685,58.05,12.483,1.503
209,1208,6702,58.39,12.485,1.497
210,1208,6728,58.88,12.482,1.483
211,1210,6745,59.39,12.488,1.523
212,1210,6762,59.77,12.474,1.541
213,1212,6788,60.35,12.477,1.564
214,1212,6805,60.36,12.477,1.563
215,1214,6831,60.21,12.481,1.573
216,1214,6848,61.51,12.474,1.598
217,1216,6865,61.35,12.475,1.563
218,1216,6891,61.48,12.467,1.551
219,1218,6900,61.72,12.474,1.591
220,1218,6917,62.04,12.480,1.562
221,1220,6934,62.68,12.473,1.551
222,1220,6951,62.83,12.473,1.586
223,1222,6977,63.99,12.483,1.585
224,1222,6994,63.89,12.488,1.577
225,1224,7011,64.80,12.487,1.605
226,1224,7028,64.87,12.473,1.587
227,1226,7045,64.80,12.483,1.599
228,1226,7071,65.14,12.478,1.611
229,1228,7088,65.68,12.485,1.646
230,1228,7114,67.94,12.470,1.619
231,1230,7131,68.07,12.485,1.617
232,1230,7140,69.13,12.474,1.628
233,1232,7165,70.29,12.465,1.637
234,1232,7191,71.77,12.481,1.662
235,1234,7208,73.03,12.472,1.659
236,1234,7225,73.94,12.474,1.692
237,1236,7251,76.05,12.477,1.666
238,1236,7260,77.66,12.472,1.692
239,1238,7285,78.88,12.483,1.681
240,1238,7302,79.22,12.481,1.698
241,1240,7311,80.22,12.479,1.693
242,1240,7337,80.26,12.477,1.735
243,1242,7354,80.17,12.474,1.716
244,1242,7371,81.17,12.471,1.694
245,1244,7397,81.79,12.475,1.716
246,1244,7405,81.49,12.476,1.742
247,1246,7422,81.44,12.471,1.732
248,1246,7457,80.82,12.471,1.745
249,1248,7465,81.13,12.461,1.766
250,1248,7491,81.75,12.472,1.777
251,1250,7508,81.47,12.469,1.776
252,1250,7534,81.22,12.480,1.770
253,1252,7551,81.94,12.476,1.771
254,1252,7568,82.10,12.478,1.798
255,1254,7585,82.15,12.481,1.783
256,1254,7594,81.89,12.469,1.803
257,1256,7620,82.04,12.469,1.806
258,1256,7645,82.79,12.479,1.821
259,1258,7662,82.72,12.477,1.809
260,1258,7688,83.28,12.474,1.818
261,1260,7697,83.05,12.468,1.824
262,1260,7714,83.24,12.464,1.874
263,1262,7731,83.84,12.467,1.865
264,1262,7748,83.83,12.477,1.837
265,1264,7757,83.65,12.474,1.869
266,1264,7782,84.34,12.466,1.861
267,1266,7800,84.96,12.460,1.883
268,1266,7817,84.75,12.460,1.887
269,1268,7834,84.63,12.457,1.900
270,1268,7851,85.23,12.457,1.935
271,1270,7868,85.51,12.455,1.938
272,1270,7885,85.60,12.456,1.954
273,1272,7902,86.69,12.466,1.913
274,1272,7920,86.38,12.473,1.949
275,1274,7937,86.50,12.460,1.933
276,1274,7962,87.24,12.456,1.971
277,1276,7971,87.67,12.440,1.983
278,1276,7988,88.17,12.464,2.019
279,1278,8022,88.48,12.455,1.982
280,1278,8040,88.55,12.463,1.995
281,1280,8057,89.58,12.451,1.975
282,1280,8048,89.86,12.450,1.991
283,1282,8057,89.54,12.457,1.994
284,1282,8082,89.48,12.462,2.010
285,1284,8108,90.04,12.450,2.011
286,1284,8125,90.37,12.449,2.015
287,1286,8151,91.10,12.453,2.039
288,1286,8168,91.27,12.452,2.046
289,1288,8185,91.95,12.452,2.046
290,1288,8202,92.77,12.467,2.038
291,1290,8228,93.54,12.468,2.069
292,1290,8237,93.29,12.465,2.052
293,1292,8262,93.22,12.458,2.079
294,1292,8280,94.05,12.471,2.083
295,1294,8297,93.93,12.467,2.090
296,1294,8314,94.32,12.465,2.091
297,1296,8331,94.96,12.462,2.120
298,1296,8348,95.25,12.459,2.125
299,1298,8374,94.88,12.453,2.130
300,1298,8391,95.16,12.456,2.139
301,1300,8400,96.32,12.455,2.156
302,1300,8417,96.91,12.448,2.171
303,1302,8434,97.22,12.448,2.178
304,1302,8460,97.28,12.447,2.175
305,1304,8477,96.63,12.464,2.178
306,1304,8494,96.91,12.454,2.164
307,1306,8511,97.98,12.439,2.192
308,1306,8528,99.31,12.444,2.210
309,1308,8545,99.91,12.436,2.205
310,1308,8571,99.44,12.432,2.219
311,1310,8580,99.72,12.438,2.240
312,1310,8588,99.95,12.438,2.242
313,1312,8605,100.20,12.428,2.239
314,1312,8622,100.65,12.435,2.253
315,1314,8648,100.78,12.433,2.258
316,1314,8657,101.49,12.435,2.286
317,1316,8700,102.43,12.432,2.325
318,1316,8674,102.45,12.450,2.299
319,1318,8674,102.61,12.442,2.269
320,1318,8717,102.44,12.454,2.279
321,1320,8734,103.10,12.444,2.303
322,1320,8794,103.01,12.439,2.310
323,1322,8794,103.41,12.440,2.327
324,1322,8794,104.09,12.434,2.350
325,1324,8828,104.19,12.439,2.343
326,1324,8837,104.16,12.435,2.363
327,1326,8871,104.71,12.441,2.394
328,1326,8871,104.97,12.438,2.420
329,1328,8888,104.81,12.439,2.419
330,1328,8897,105.23,12.439,2.427
331,1330,8922,105.73,12.440,2.391
332,1330,8914,105.75,12.438,2.434
333,1332,8965,105.69,12.437,2.431
334,1332,9000,106.21,12.431,2.438
335,1334,8982,106.29,12.419,2.476
336,1334,8991,107.04,12.430,2.496
337,1336,9000,107.86,12.433,2.516
338,1336,9060,108.56,12.442,2.505
339,1338,9077,109.01,12.426,2.526
340,1338,9094,108.33,12.435,2.487
341,1340,9102,108.76,12.439,2.489
