seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.563,0.621
2,1000,0,0.00,12.570,0.628
3,1002,0,0.00,12.568,0.632
4,1002,0,0.00,12.567,0.630
5,1004,0,0.00,12.565,0.631
6,1004,0,0.00,12.566,0.639
7,1006,0,0.00,12.571,0.620
8,1006,0,0.00,12.574,0.626
9,1008,0,0.00,12.568,0.642
10,1008,0,0.00,12.565,0.625
11,1010,0,0.00,12.569,0.643
12,1010,0,0.00,12.571,0.635
13,1012,0,0.00,12.569,0.630
14,1012,0,0.00,12.571,0.632
15,1014,0,0.00,12.569,0.649
16,1014,0,0.00,12.568,0.648
17,1016,0,0.00,12.568,0.675
18,1016,0,0.00,12.546,0.755
19,1018,0,1.16,12.553,0.957
20,1018,0,3.34,12.549,1.051
21,1020,0,4.59,12.542,1.138
22,1020,0,4.69,12.554,1.128
23,1022,0,4.37,12.549,1.145
24,1022,0,4.31,12.541,1.128
25,1024,0,3.48,12.550,1.091
26,1024,0,3.22,12.543,1.064
27,1026,0,4.02,12.549,1.011
28,1026,0,4.78,12.552,0.943
29,1028,0,4.87,12.566,0.893
30,1028,0,5.30,12.556,0.918
31,1030,0,5.84,12.553,0.881
32,1030,0,6.80,12.559,0.867
33,1032,0,6.51,12.556,0.859
34,1032,0,6.46,12.558,0.836
35,1034,0,7.47,12.552,0.819
36,1034,0,7.81,12.550,0.849
37,1036,0,8.34,12.565,0.826
38,1036,0,9.41,12.567,0.827
39,1038,0,11.01,12.554,0.807
40,1038,0,11.39,12.570,0.816
41,1040,0,12.24,12.561,0.802
42,1040,0,13.10,12.555,0.824
43,1042,0,13.46,12.566,0.808
44,1042,0,13.19,12.562,0.811
45,1044,0,13.33,12.565,0.811
46,1044,0,13.92,12.559,0.797
47,1046,0,14.16,12.561,0.828
48,1046,0,14.07,12.557,0.809
49,1048,3788,14.81,12.560,0.808
50,1048,3822,14.96,12.560,0.802
51,1050,3865,15.27,12.561,0.795
52,1050,3900,15.23,12.560,0.810
53,1052,3934,15.37,12.562,0.820
54,1052,3968,15.83,12.554,0.816
55,1054,4002,15.69,12.553,0.823
56,1054,4028,15.69,12.563,0.819
57,1056,4062,15.73,12.558,0.821
58,1056,4088,15.78,12.574,0.830
59,1058,4114,15.53,12.560,0.821
60,1058,4140,15.20,12.558,0.818
61,1060,4174,15.65,12.563,0.837
62,1060,4200,15.87,12.559,0.843
63,1062,4225,16.43,12.564,0.832
64,1062,4251,16.57,12.558,0.833
65,1064,4285,17.23,12.551,0.831
66,1064,4320,17.65,12.553,0.823
67,1066,4345,17.48,12.565,0.841
68,1066,4371,18.91,12.560,0.852
69,1068,4397,19.11,12.561,0.848
70,1068,4440,19.34,12.554,0.829
71,1070,4465,19.28,12.557,0.847
72,1070,4500,19.85,12.559,0.870
73,1072,4534,20.28,12.558,0.857
74,1072,4577,20.02,12.559,0.864
75,1074,4611,20.66,12.555,0.864
76,1074,4645,20.93,12.556,0.878
77,1076,4688,20.79,12.557,0.858
78,1076,4722,20.75,12.557,0.871
79,1078,4757,21.33,12.559,0.876
80,1078,4791,21.66,12.550,0.873
81,1080,4817,21.31,12.555,0.878
82,1080,4851,21.64,12.557,0.871
83,1082,4877,21.62,12.559,0.861
84,1082,4911,22.05,12.555,0.854
85,1084,4937,22.22,12.563,0.885
86,1084,4971,22.56,12.554,0.891
87,1086,4997,22.57,12.557,0.895
88,1086,5022,22.89,12.551,0.898
89,1088,5057,22.83,12.553,0.888
90,1088,5082,22.86,12.559,0.893
91,1090,5108,22.92,12.548,0.876
