seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.56,0.63,7.86,0.000
2,1000,0,0.00,12.57,0.63,7.95,0.000
3,1002,0,0.00,12.57,0.63,7.95,0.000
4,1002,0,0.00,12.57,0.64,8.00,0.000
5,1004,0,0.00,12.56,0.63,7.87,0.000
6,1004,0,0.00,12.56,0.63,7.95,0.000
7,1006,0,0.00,12.57,0.63,7.87,0.000
8,1006,0,0.00,12.57,0.63,7.97,0.000
9,1008,0,0.00,12.56,0.64,8.05,0.000
10,1008,0,0.00,12.56,0.63,7.91,0.000
11,1010,0,0.00,12.57,0.64,8.05,0.000
12,1010,0,0.00,12.57,0.63,7.94,0.000
13,1012,0,0.00,12.57,0.64,8.00,0.000
14,1012,0,0.00,12.57,0.64,8.00,0.000
15,1014,0,0.00,12.57,0.65,8.11,0.000
16,1014,0,0.00,12.57,0.65,8.21,0.000
17,1016,0,0.00,12.56,0.67,8.44,0.000
18,1016,0,0.00,12.55,0.74,9.23,0.000
19,1018,0,0.58,12.55,0.95,11.97,0.048
20,1018,0,1.67,12.55,1.04,13.05,0.128
21,1020,0,2.87,12.54,1.12,14.04,0.204
22,1020,0,2.35,12.55,1.14,14.25,0.165
23,1022,0,2.19,12.55,1.14,14.27,0.153
24,1022,0,2.15,12.54,1.13,14.19,0.152
25,1024,0,1.74,12.55,1.09,13.73,0.127
26,1024,0,1.61,12.55,1.05,13.18,0.122
27,1026,0,2.01,12.55,1.01,12.67,0.159
28,1026,0,2.39,12.55,0.95,11.92,0.200
29,1028,0,2.44,12.56,0.91,11.39,0.214
30,1028,0,2.65,12.55,0.92,11.55,0.229
31,1030,0,3.52,12.55,0.89,11.21,0.314
32,1030,0,4.14,12.55,0.87,10.88,0.381
33,1032,0,4.37,12.56,0.85,10.71,0.408
34,1032,0,4.23,12.55,0.84,10.54,0.401
35,1034,0,5.07,12.55,0.82,10.32,0.491
36,1034,0,5.62,12.55,0.83,10.45,0.538
37,1036,0,6.19,12.56,0.83,10.40,0.595
38,1036,0,6.59,12.56,0.82,10.29,0.640
39,1038,0,7.48,12.55,0.81,10.20,0.733
40,1038,0,7.76,12.56,0.81,10.18,0.762
41,1040,0,8.27,12.55,0.81,10.16,0.814
42,1040,0,8.51,12.55,0.81,10.20,0.834
43,1042,0,8.83,12.56,0.81,10.18,0.867
44,1042,0,8.79,12.56,0.81,10.14,0.868
45,1044,0,8.76,12.56,0.81,10.22,0.857
46,1044,0,9.10,12.56,0.79,9.90,0.919
47,1046,0,9.50,12.56,0.82,10.30,0.922
48,1046,0,9.56,12.55,0.82,10.36,0.924
49,1048,3788,10.05,12.55,0.81,10.23,0.983
50,1048,3822,10.22,12.56,0.81,10.13,1.009
51,1050,3865,10.34,12.56,0.80,10.01,1.034
52,1050,3900,10.36,12.55,0.82,10.27,1.008
53,1052,3934,10.31,12.55,0.82,10.31,1.001
54,1052,3977,10.81,12.56,0.82,10.31,1.049
55,1054,4011,10.74,12.55,0.82,10.27,1.046
56,1054,4037,10.95,12.56,0.81,10.21,1.072
57,1056,4071,10.89,12.56,0.82,10.34,1.053
58,1056,4097,11.11,12.56,0.82,10.31,1.077
59,1058,4131,11.05,12.55,0.82,10.36,1.067
60,1058,4157,11.11,12.55,0.82,10.34,1.074
61,1060,4182,11.47,12.56,0.83,10.47,1.096
62,1060,4208,11.53,12.56,0.84,10.52,1.096
63,1062,4242,11.53,12.56,0.82,10.35,1.114
64,1062,4268,11.77,12.56,0.83,10.47,1.124
65,1064,4294,12.41,12.55,0.84,10.49,1.183
66,1064,4320,12.64,12.55,0.84,10.52,1.202
67,1066,4354,12.54,12.56,0.84,10.61,1.183
68,1066,4388,13.41,12.56,0.85,10.62,1.262
69,1068,4414,13.38,12.56,0.85,10.73,1.246
70,1068,4448,13.41,12.55,0.85,10.63,1.263
71,1070,4491,13.67,12.56,0.84,10.55,1.296
72,1070,4517,14.10,12.56,0.86,10.75,1.311
73,1072,4551,14.39,12.55,0.85,10.68,1.347
74,1072,4585,14.47,12.55,0.87,10.90,1.328
75,1074,4620,14.83,12.55,0.87,10.90,1.360
76,1074,4654,14.96,12.55,0.87,10.89,1.374
77,1076,4688,15.02,12.55,0.86,10.80,1.391
78,1076,4722,14.93,12.55,0.86,10.80,1.382
79,1078,4757,15.20,12.56,0.87,10.93,1.391
80,1078,4791,15.52,12.55,0.87,10.89,1.425
81,1080,4817,15.51,12.55,0.87,10.95,1.416
82,1080,4851,15.79,12.56,0.87,10.97,1.439
83,1082,4877,15.87,12.55,0.87,10.89,1.457
84,1082,4911,16.05,12.55,0.86,10.85,1.479
85,1084,4937,15.98,12.56,0.89,11.17,1.431
86,1084,4971,15.99,12.55,0.89,11.22,1.425
87,1086,4997,16.21,12.55,0.89,11.19,1.449
88,1086,5022,16.48,12.55,0.90,11.30,1.458
89,1088,5057,16.56,12.55,0.89,11.14,1.486
90,1088,5082,16.43,12.55,0.89,11.17,1.470
91,1090,5108,16.57,12.55,0.88,11.08,1.495
92,1090,5142,16.66,12.56,0.90,11.32,1.472
93,1092,5168,16.64,12.56,0.90,11.34,1.468
94,1092,5202,16.86,12.56,0.89,11.21,1.504
95,1094,5228,17.04,12.55,0.91,11.36,1.499
96,1094,5254,17.04,12.55,0.91,11.38,1.497
97,1096,5280,16.99,12.55,0.91,11.45,1.485
98,1096,5305,17.32,12.55,0.91,11.44,1.515
99,1098,5331,17.62,12.55,0.92,11.50,1.532
100,1098,5348,17.45,12.54,0.91,11.45,1.524
101,1100,5374,17.46,12.55,0.92,11.54,1.513
102,1100,5400,17.63,12.55,0.92,11.59,1.521
103,1102,5425,17.68,12.56,0.93,11.63,1.519
104,1102,5451,17.59,12.55,0.92,11.57,1.521
105,1104,5485,17.82,12.55,0.91,11.46,1.555
106,1104,5502,17.94,12.55,0.92,11.53,1.555
107,1106,5528,18.11,12.55,0.92,11.50,1.575
108,1106,5554,18.37,12.55,0.93,11.63,1.580
109,1108,5580,18.29,12.55,0.93,11.67,1.567
110,1108,5605,18.24,12.55,0.94,11.81,1.544
111,1110,5622,18.18,12.55,0.96,12.01,1.513
112,1110,5648,18.28,12.55,0.96,12.02,1.520
113,1112,5674,18.29,12.55,0.95,11.90,1.536
114,1112,5691,18.11,12.54,0.95,11.87,1.525
115,1114,5717,18.05,12.54,0.95,11.95,1.510
116,1114,5742,18.52,12.54,0.94,11.83,1.565
117,1116,5760,18.53,12.54,0.96,12.04,1.539
118,1116,5785,18.71,12.55,0.99,12.41,1.508
119,1118,5811,19.03,12.55,0.97,12.22,1.557
120,1118,5837,18.98,12.55,0.98,12.35,1.537
121,1120,5862,19.53,12.54,0.98,12.34,1.583
122,1120,5888,19.64,12.54,0.97,12.21,1.609
123,1122,5914,19.78,12.55,0.96,12.11,1.633
124,1122,5931,20.18,12.54,0.97,12.20,1.654
125,1124,5957,20.32,12.54,0.96,12.06,1.684
126,1124,5982,20.38,12.55,0.97,12.21,1.668
127,1126,6008,20.68,12.54,0.99,12.38,1.670
128,1126,6025,20.73,12.55,0.99,12.42,1.670
129,1128,6051,20.79,12.55,0.98,12.26,1.696
130,1128,6068,21.51,12.55,0.98,12.29,1.750
131,1130,6094,21.71,12.55,0.98,12.30,1.766
132,1130,6120,21.91,12.54,0.98,12.30,1.781
133,1132,6145,21.95,12.55,0.99,12.40,1.770
134,1132,6154,21.75,12.55,0.99,12.40,1.754
