seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.556,0.631
2,1000,0,0.00,12.561,0.637
3,1002,0,0.00,12.564,0.634
4,1002,0,0.00,12.566,0.643
5,1004,0,0.00,12.563,0.621
6,1004,0,0.00,12.560,0.626
7,1006,0,0.00,12.561,0.632
8,1006,0,0.00,12.561,0.642
9,1008,0,0.00,12.561,0.640
10,1008,0,0.00,12.564,0.634
11,1010,0,0.00,12.562,0.638
12,1010,0,0.00,12.568,0.629
13,1012,0,0.00,12.564,0.643
14,1012,0,0.00,12.560,0.642
15,1014,0,0.00,12.561,0.642
16,1014,0,0.00,12.563,0.659
17,1016,0,0.00,12.561,0.668
18,1016,0,0.00,12.550,0.716
19,1018,0,0.00,12.537,0.952
20,1018,0,0.00,12.544,1.030
21,1020,0,1.15,12.534,1.101
22,1020,0,0.00,12.544,1.143
23,1022,0,0.00,12.546,1.130
24,1022,0,0.00,12.537,1.135
25,1024,0,0.00,12.545,1.098
26,1024,0,0.00,12.553,1.036
27,1026,0,0.00,12.543,1.009
28,1026,0,0.00,12.546,0.957
29,1028,0,0.00,12.553,0.921
30,1028,0,0.00,12.546,0.922
31,1030,0,1.20,12.547,0.906
32,1030,0,1.49,12.550,0.867
33,1032,0,2.23,12.556,0.847
34,1032,0,2.00,12.547,0.843
35,1034,0,2.67,12.553,0.826
36,1034,0,3.43,12.549,0.816
37,1036,0,4.04,12.556,0.830
38,1036,0,3.77,12.562,0.811
39,1038,0,3.95,12.554,0.818
40,1038,0,4.13,12.553,0.805
41,1040,0,4.30,12.545,0.817
42,1040,0,3.92,12.551,0.801
43,1042,0,4.19,12.555,0.813
44,1042,0,4.40,12.559,0.803
45,1044,0,4.19,12.554,0.817
46,1044,0,4.28,12.560,0.779
47,1046,0,4.83,12.558,0.812
48,1046,0,5.06,12.550,0.841
49,1048,3780,5.29,12.550,0.821
50,1048,3822,5.48,12.555,0.811
51,1050,3857,5.42,12.550,0.799
52,1050,3900,5.48,12.544,0.827
53,1052,3934,5.26,12.548,0.822
54,1052,3977,5.79,12.557,0.826
