seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.606,0.803
2,1000,0,0.00,12.608,0.803
3,1002,0,0.00,12.614,0.816
4,1002,0,0.00,12.613,0.809
5,1004,0,0.00,12.607,0.810
6,1004,0,0.00,12.610,0.809
7,1006,0,0.00,12.615,0.814
8,1006,0,0.00,12.612,0.802
9,1008,0,0.00,12.606,0.809
10,1008,0,0.00,12.610,0.805
11,1010,0,0.00,12.612,0.802
12,1010,0,0.00,12.615,0.811
13,1012,0,0.00,12.612,0.806
14,1012,0,0.00,12.610,0.813
15,1014,0,0.00,12.603,0.822
16,1014,0,0.00,12.607,0.827
17,1016,0,0.00,12.606,0.828
18,1016,0,0.00,12.589,1.020
19,1018,0,0.00,12.596,1.218
20,1018,0,6.13,12.598,1.211
21,1020,0,7.99,12.601,1.163
22,1020,0,9.51,12.602,1.087
23,1022,0,10.35,12.593,1.034
24,1022,0,10.11,12.604,1.040
25,1024,0,10.26,12.607,1.022
26,1024,0,11.17,12.600,1.014
27,1026,0,12.39,12.599,1.010
28,1026,0,12.35,12.598,1.000
29,1028,0,12.24,12.600,0.985
30,1028,0,12.94,12.602,0.979
31,1030,0,13.27,12.603,0.968
32,1030,0,12.98,12.602,0.963
33,1032,0,13.03,12.603,0.966
34,1032,0,13.29,12.606,0.956
35,1034,0,13.30,12.596,0.959
36,1034,0,13.35,12.603,0.953
37,1036,0,13.28,12.598,0.963
38,1036,0,13.66,12.602,0.965
39,1038,0,13.93,12.604,0.969
40,1038,0,13.85,12.603,0.974
41,1040,0,14.05,12.603,0.964
42,1040,0,14.20,12.605,0.983
43,1042,0,14.45,12.599,0.982
44,1042,0,14.43,12.598,0.972
45,1044,0,13.83,12.600,0.975
46,1044,0,14.13,12.603,0.979
47,1046,0,14.68,12.604,0.970
48,1046,0,14.47,12.599,0.979
49,1048,0,14.45,12.601,0.981
50,1048,0,14.18,12.605,0.987
51,1050,0,14.65,12.596,0.981
52,1050,0,14.45,12.601,0.998
53,1052,3677,14.01,12.601,0.982
54,1052,3702,14.75,12.598,0.994
55,1054,3728,14.79,12.602,1.005
56,1054,3754,15.05,12.601,0.998
57,1056,3788,15.69,12.601,0.995
58,1056,3814,15.73,12.600,1.004
59,1058,3840,15.99,12.603,0.998
60,1058,3865,16.35,12.601,1.005
61,1060,3891,16.39,12.599,1.019
62,1060,3917,16.97,12.599,1.020
63,1062,3942,16.68,12.598,1.011
64,1062,3968,16.85,12.602,1.012
65,1064,3985,16.42,12.600,1.018
66,1064,4011,16.71,12.606,1.036
67,1066,4037,17.35,12.604,1.029
68,1066,4062,17.17,12.596,1.019
69,1068,4080,17.09,12.603,1.024
70,1068,4088,17.33,12.603,1.028
71,1070,4114,17.26,12.603,1.024
72,1070,4131,17.60,12.605,1.028
73,1072,4148,17.41,12.600,1.022
74,1072,4165,17.50,12.597,1.037
75,1074,4191,17.98,12.603,1.035
76,1074,4217,17.71,12.600,1.048
77,1076,4260,17.51,12.603,1.046
78,1076,4294,17.37,12.601,1.037
79,1078,4328,17.64,12.601,1.043
80,1078,4362,18.36,12.603,1.050
81,1080,4388,18.70,12.601,1.056
82,1080,4414,18.60,12.602,1.068
83,1082,4440,18.68,12.596,1.047
84,1082,4474,18.34,12.603,1.061
85,1084,4500,19.07,12.601,1.069
86,1084,4534,19.22,12.600,1.076
87,1086,4568,19.65,12.596,1.080
88,1086,4602,20.34,12.599,1.086
89,1088,4637,20.50,12.599,1.068
90,1088,4662,20.68,12.606,1.074
91,1090,4688,20.95,12.601,1.080
92,1090,4722,21.03,12.600,1.079
93,1092,4748,21.87,12.602,1.084
94,1092,4765,22.06,12.604,1.083
95,1094,4791,22.41,12.598,1.091
96,1094,4817,22.22,12.600,1.090
97,1096,4842,21.53,12.599,1.090
98,1096,4860,22.00,12.605,1.095
99,1098,4885,22.20,12.596,1.097
100,1098,4920,22.92,12.606,1.118
101,1100,4945,22.93,12.602,1.115
102,1100,4980,22.81,12.601,1.109
103,1102,5005,23.17,12.602,1.110
104,1102,5040,23.20,12.603,1.107
105,1104,5057,23.63,12.605,1.108
106,1104,5091,23.80,12.601,1.118
107,1106,5108,23.48,12.604,1.136
108,1106,5142,24.38,12.599,1.128
109,1108,5168,24.66,12.600,1.138
110,1108,5194,24.47,12.602,1.121
111,1110,5220,24.98,12.601,1.124
112,1110,5245,24.86,12.599,1.127
113,1112,5262,24.94,12.604,1.133
