seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.78,0.81,13.65,0.000
2,1000,0,0.00,16.79,0.83,13.87,0.000
3,1002,0,0.00,16.79,0.82,13.78,0.000
4,1002,0,0.00,16.79,0.82,13.81,0.000
5,1004,0,0.00,16.79,0.82,13.77,0.000
6,1004,0,0.00,16.79,0.82,13.71,0.000
7,1006,0,0.00,16.79,0.82,13.78,0.000
8,1006,0,0.00,16.79,0.82,13.78,0.000
9,1008,0,0.00,16.79,0.82,13.80,0.000
10,1008,0,0.00,16.79,0.82,13.84,0.000
11,1010,0,0.00,16.79,0.82,13.75,0.000
12,1010,0,0.00,16.79,0.82,13.78,0.000
13,1012,0,0.00,16.79,0.83,13.93,0.000
14,1012,0,0.00,16.78,0.82,13.77,0.000
15,1014,0,0.00,16.78,0.83,13.98,0.000
16,1014,0,0.00,16.78,0.84,14.12,0.000
17,1016,0,0.00,16.78,0.84,14.14,0.000
18,1016,0,0.00,16.77,1.10,18.48,0.000
19,1018,0,1.10,16.77,1.55,25.95,0.042
20,1018,0,5.53,16.77,1.57,26.32,0.210
21,1020,0,8.36,16.77,1.43,24.05,0.348
22,1020,0,11.53,16.77,1.30,21.77,0.530
23,1022,0,13.00,16.77,1.19,19.98,0.650
24,1022,0,14.09,16.77,1.18,19.80,0.712
25,1024,0,14.84,16.77,1.14,19.05,0.779
26,1024,0,17.17,16.77,1.11,18.58,0.924
27,1026,0,18.78,16.78,1.08,18.17,1.034
28,1026,0,19.84,16.78,1.06,17.73,1.119
29,1028,0,20.80,16.77,1.04,17.38,1.197
30,1028,0,21.02,16.78,1.03,17.27,1.217
31,1030,0,21.34,16.78,1.02,17.08,1.249
32,1030,4002,21.91,16.78,1.02,17.12,1.280
33,1032,4071,21.61,16.78,1.02,17.13,1.262
34,1032,4148,21.84,16.77,1.02,17.08,1.279
35,1034,4225,22.17,16.78,1.01,17.00,1.304
36,1034,4277,22.21,16.78,1.02,17.20,1.292
37,1036,4337,22.13,16.78,1.03,17.21,1.286
38,1036,4380,22.48,16.78,1.04,17.39,1.292
39,1038,4431,22.84,16.78,1.03,17.31,1.319
40,1038,4474,23.41,16.77,1.02,17.15,1.365
41,1040,4508,23.05,16.77,1.03,17.28,1.334
42,1040,4551,23.22,16.77,1.03,17.32,1.341
43,1042,4594,23.41,16.78,1.04,17.41,1.344
44,1042,4637,23.53,16.77,1.05,17.55,1.341
45,1044,4680,23.87,16.78,1.05,17.55,1.360
46,1044,4722,23.85,16.78,1.05,17.66,1.351
47,1046,4765,24.30,16.77,1.05,17.56,1.384
48,1046,4800,24.51,16.77,1.05,17.66,1.388
49,1048,4851,24.64,16.78,1.06,17.86,1.380
50,1048,4877,24.90,16.78,1.06,17.72,1.405
51,1050,4920,25.13,16.77,1.06,17.74,1.417
52,1050,4954,25.30,16.77,1.06,17.82,1.420
53,1052,4988,25.52,16.78,1.08,18.08,1.412
54,1052,5022,25.69,16.78,1.08,18.06,1.422
55,1054,5057,26.34,16.77,1.07,17.89,1.472
56,1054,5091,26.76,16.78,1.07,17.97,1.489
57,1056,5125,26.84,16.78,1.07,17.98,1.493
58,1056,5160,27.00,16.78,1.08,18.11,1.491
59,1058,5194,27.32,16.77,1.07,18.01,1.517
60,1058,5220,27.80,16.77,1.08,18.14,1.532
61,1060,5245,28.15,16.77,1.07,18.01,1.563
62,1060,5288,28.37,16.77,1.09,18.31,1.550
63,1062,5314,29.03,16.77,1.08,18.19,1.596
64,1062,5357,29.30,16.78,1.10,18.52,1.582
65,1064,5382,29.47,16.78,1.09,18.25,1.615
66,1064,5408,29.34,16.78,1.11,18.55,1.581
67,1066,5434,29.24,16.77,1.11,18.62,1.570
68,1066,5468,29.44,16.77,1.11,18.57,1.585
69,1068,5494,29.95,16.77,1.11,18.64,1.606
70,1068,5537,30.33,16.78,1.12,18.77,1.615
71,1070,5571,30.63,16.78,1.12,18.79,1.630
72,1070,5605,31.30,16.77,1.12,18.81,1.664
73,1072,5640,31.82,16.77,1.13,18.90,1.683
74,1072,5665,31.77,16.77,1.12,18.86,1.684
75,1074,5700,31.86,16.78,1.14,19.07,1.671
76,1074,5734,32.72,16.78,1.14,19.15,1.708
77,1076,5777,33.09,16.78,1.13,19.02,1.739
78,1076,5802,33.41,16.77,1.14,19.05,1.753
79,1078,5837,33.83,16.78,1.14,19.20,1.761
80,1078,5862,34.30,16.78,1.16,19.45,1.763
81,1080,5888,34.78,16.77,1.15,19.33,1.799
82,1080,5940,35.04,16.77,1.16,19.41,1.805
83,1082,5965,35.29,16.77,1.15,19.34,1.825
84,1082,6000,36.11,16.77,1.16,19.41,1.861
85,1084,6025,36.20,16.77,1.17,19.58,1.850
86,1084,6060,36.44,16.77,1.17,19.70,1.850
87,1086,6085,36.90,16.77,1.17,19.70,1.873
88,1086,6111,37.48,16.77,1.17,19.58,1.914
89,1088,6137,37.81,16.77,1.17,19.68,1.922
90,1088,6171,37.80,16.78,1.20,20.06,1.884
91,1090,6214,38.06,16.77,1.19,19.93,1.910
92,1090,6240,38.72,16.77,1.19,20.04,1.932
93,1092,6274,38.80,16.77,1.20,20.04,1.936
94,1092,6308,38.91,16.77,1.19,20.03,1.943
95,1094,6342,39.34,16.77,1.21,20.23,1.945
96,1094,6377,39.83,16.77,1.21,20.35,1.957
97,1096,6411,39.92,16.77,1.21,20.25,1.972
98,1096,6428,39.81,16.77,1.22,20.53,1.939
99,1098,6480,40.56,16.77,1.22,20.46,1.982
100,1098,6505,41.08,16.77,1.21,20.37,2.017
101,1100,6531,41.31,16.77,1.20,20.19,2.046
102,1100,6565,41.37,16.78,1.23,20.68,2.001
103,1102,6582,41.75,16.78,1.23,20.64,2.023
104,1102,6608,41.84,16.77,1.23,20.70,2.021
105,1104,6642,42.35,16.77,1.23,20.64,2.052
106,1104,6668,42.33,16.77,1.24,20.76,2.039
107,1106,6694,42.83,16.77,1.24,20.84,2.054
108,1106,6720,43.08,16.77,1.25,20.92,2.060
109,1108,6745,44.09,16.77,1.24,20.80,2.120
110,1108,6771,44.55,16.77,1.24,20.84,2.138
111,1110,6797,44.31,16.77,1.25,20.99,2.111
112,1110,6822,44.66,16.77,1.25,21.03,2.124
113,1112,6857,44.96,16.77,1.25,20.98,2.143
114,1112,6891,45.17,16.77,1.28,21.41,2.109
115,1114,6925,45.80,16.77,1.28,21.40,2.140
116,1114,6960,46.44,16.77,1.26,21.20,2.191
117,1116,6985,46.78,16.77,1.27,21.26,2.200
118,1116,7020,47.10,16.77,1.28,21.46,2.195
119,1118,7045,47.33,16.78,1.28,21.49,2.202
120,1118,7054,47.70,16.78,1.29,21.68,2.200
121,1120,7088,48.24,16.77,1.29,21.64,2.229
122,1120,7114,48.51,16.77,1.30,21.86,2.220
123,1122,7148,48.56,16.77,1.30,21.77,2.230
124,1122,7182,48.92,16.77,1.29,21.67,2.257
125,1124,7208,49.49,16.77,1.30,21.83,2.267
