seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.62,0.85,10.70,0.000
2,1000,0,0.00,12.62,0.85,10.71,0.000
3,1002,0,0.00,12.62,0.85,10.77,0.000
4,1002,0,0.00,12.62,0.85,10.71,0.000
5,1004,0,0.00,12.62,0.84,10.61,0.000
6,1004,0,0.00,12.62,0.85,10.73,0.000
7,1006,0,0.00,12.62,0.85,10.70,0.000
8,1006,0,0.00,12.62,0.84,10.65,0.000
9,1008,0,0.00,12.62,0.85,10.71,0.000
10,1008,0,0.00,12.62,0.85,10.70,0.000
11,1010,0,0.00,12.63,0.85,10.73,0.000
12,1010,0,0.00,12.62,0.85,10.74,0.000
13,1012,0,0.00,12.62,0.84,10.64,0.000
14,1012,0,0.00,12.62,0.84,10.65,0.000
15,1014,0,0.00,12.62,0.86,10.91,0.000
16,1014,0,0.00,12.62,0.87,10.96,0.000
17,1016,0,0.00,12.62,0.86,10.86,0.000
18,1016,0,0.00,12.61,1.01,12.71,0.000
19,1018,0,0.00,12.61,1.31,16.49,0.000
20,1018,0,0.00,12.61,1.37,17.32,0.000
21,1020,0,3.20,12.61,1.33,16.70,0.192
22,1020,0,5.87,12.61,1.26,15.87,0.370
23,1022,0,6.54,12.61,1.19,15.05,0.435
24,1022,0,6.95,12.61,1.15,14.46,0.480
25,1024,0,7.25,12.61,1.13,14.29,0.507
26,1024,0,7.51,12.61,1.14,14.39,0.522
27,1026,0,7.62,12.61,1.12,14.16,0.538
28,1026,0,8.35,12.61,1.10,13.89,0.601
29,1028,0,8.38,12.61,1.10,13.81,0.607
30,1028,0,9.19,12.61,1.08,13.61,0.675
31,1030,0,9.84,12.62,1.07,13.53,0.727
32,1030,0,10.28,12.61,1.07,13.47,0.763
33,1032,0,10.57,12.61,1.05,13.28,0.796
34,1032,0,10.71,12.61,1.04,13.13,0.816
35,1034,0,11.25,12.61,1.05,13.18,0.854
36,1034,0,11.44,12.61,1.04,13.10,0.874
37,1036,0,11.34,12.61,1.05,13.21,0.858
38,1036,0,12.13,12.62,1.05,13.23,0.917
39,1038,0,12.55,12.61,1.05,13.26,0.947
40,1038,0,12.96,12.61,1.03,13.03,0.994
41,1040,0,13.44,12.62,1.04,13.13,1.023
42,1040,0,14.02,12.61,1.04,13.13,1.068
43,1042,0,14.66,12.61,1.05,13.21,1.110
44,1042,0,14.46,12.61,1.06,13.35,1.084
45,1044,0,14.76,12.61,1.06,13.34,1.107
46,1044,0,15.01,12.61,1.05,13.19,1.138
47,1046,0,14.95,12.61,1.04,13.17,1.135
48,1046,0,15.07,12.61,1.05,13.31,1.133
49,1048,0,15.09,12.61,1.05,13.27,1.137
50,1048,0,15.27,12.61,1.06,13.32,1.146
51,1050,0,15.48,12.61,1.06,13.37,1.158
52,1050,0,15.58,12.61,1.06,13.34,1.168
53,1052,0,15.79,12.61,1.07,13.44,1.175
54,1052,0,16.05,12.61,1.06,13.40,1.197
55,1054,0,16.09,12.61,1.07,13.48,1.193
56,1054,0,16.39,12.61,1.07,13.51,1.213
57,1056,0,16.49,12.61,1.06,13.43,1.228
58,1056,3677,16.71,12.61,1.08,13.57,1.232
59,1058,3702,17.05,12.61,1.07,13.52,1.262
60,1058,3720,17.41,12.61,1.08,13.59,1.281
61,1060,3745,17.83,12.62,1.08,13.66,1.306
62,1060,3762,17.93,12.62,1.08,13.64,1.314
63,1062,3788,17.90,12.61,1.08,13.64,1.312
64,1062,3814,18.30,12.61,1.10,13.84,1.323
65,1064,3840,18.66,12.61,1.09,13.73,1.359
66,1064,3865,19.13,12.61,1.11,13.95,1.371
67,1066,3891,19.36,12.61,1.11,14.01,1.382
68,1066,3917,19.70,12.61,1.10,13.89,1.418
69,1068,3934,19.95,12.61,1.11,13.94,1.431
70,1068,3960,20.39,12.61,1.11,13.96,1.460
71,1070,3985,20.67,12.61,1.12,14.08,1.468
72,1070,4011,20.73,12.61,1.12,14.13,1.467
73,1072,4037,21.26,12.61,1.12,14.18,1.499
74,1072,4062,21.74,12.62,1.12,14.12,1.539
75,1074,4088,21.98,12.61,1.13,14.24,1.544
76,1074,4114,22.09,12.62,1.13,14.29,1.545
77,1076,4140,22.16,12.61,1.13,14.22,1.558
78,1076,4157,22.68,12.61,1.13,14.23,1.594
79,1078,4174,22.95,12.61,1.13,14.23,1.613
80,1078,4200,23.41,12.61,1.14,14.32,1.635
81,1080,4208,23.56,12.61,1.13,14.28,1.650
82,1080,4234,23.69,12.61,1.15,14.46,1.638
83,1082,4251,23.94,12.61,1.15,14.53,1.648
84,1082,4277,24.37,12.61,1.15,14.51,1.679
85,1084,4302,24.68,12.62,1.15,14.48,1.705
