seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.844,0.852
2,1000,0,0.00,16.851,0.857
3,1002,0,0.00,16.842,0.861
4,1002,0,0.00,16.840,0.851
5,1004,0,0.00,16.843,0.859
6,1004,0,0.00,16.845,0.853
7,1006,0,0.00,16.844,0.862
8,1006,0,0.00,16.846,0.863
9,1008,0,0.00,16.847,0.862
10,1008,0,0.00,16.844,0.842
11,1010,0,0.00,16.849,0.859
12,1010,0,0.00,16.847,0.846
13,1012,0,0.00,16.845,0.847
14,1012,0,0.00,16.844,0.859
15,1014,0,0.00,16.837,0.869
16,1014,0,0.00,16.844,0.891
17,1016,0,0.00,16.838,0.886
18,1016,0,0.00,16.823,1.166
19,1018,0,0.00,16.826,1.675
20,1018,0,3.69,16.821,1.801
21,1020,0,4.99,16.822,1.728
22,1020,0,6.12,16.822,1.586
23,1022,0,7.97,16.830,1.440
24,1022,0,9.21,16.831,1.338
25,1024,0,9.79,16.827,1.325
26,1024,0,10.91,16.825,1.300
27,1026,0,13.35,16.832,1.270
28,1026,0,15.31,16.820,1.232
29,1028,0,17.27,16.825,1.194
30,1028,0,18.50,16.832,1.171
31,1030,0,19.70,16.828,1.150
32,1030,0,20.31,16.828,1.143
33,1032,0,20.44,16.834,1.127
34,1032,0,22.85,16.828,1.130
35,1034,0,23.48,16.832,1.120
36,1034,3968,24.61,16.828,1.112
37,1036,4045,25.09,16.827,1.103
38,1036,4114,24.81,16.833,1.117
39,1038,4165,25.84,16.833,1.121
40,1038,4217,25.70,16.825,1.114
41,1040,4260,27.18,16.837,1.106
42,1040,4302,27.08,16.835,1.123
43,1042,4345,27.10,16.830,1.131
44,1042,4380,28.21,16.824,1.151
45,1044,4431,28.29,16.830,1.146
46,1044,4474,28.42,16.832,1.134
47,1046,4517,29.76,16.830,1.141
48,1046,4551,30.28,16.833,1.143
49,1048,4594,31.34,16.833,1.145
50,1048,4637,31.88,16.833,1.154
51,1050,4671,32.49,16.831,1.148
52,1050,4697,33.62,16.833,1.148
53,1052,4740,33.29,16.832,1.161
54,1052,4782,33.28,16.830,1.167
55,1054,4825,34.19,16.828,1.164
56,1054,4860,34.67,16.826,1.171
57,1056,4894,36.42,16.828,1.175
58,1056,4928,36.20,16.832,1.179
59,1058,4954,36.31,16.828,1.186
60,1058,4988,37.33,16.827,1.184
61,1060,5014,37.11,16.824,1.189
62,1060,5048,37.48,16.834,1.190
63,1062,5082,38.24,16.832,1.199
64,1062,5108,38.79,16.831,1.192
65,1064,5134,39.17,16.830,1.193
66,1064,5160,38.73,16.833,1.189
67,1066,5185,39.00,16.828,1.199
68,1066,5202,40.29,16.829,1.207
69,1068,5237,40.44,16.830,1.209
70,1068,5271,40.88,16.836,1.219
71,1070,5297,40.68,16.833,1.223
72,1070,5331,41.36,16.831,1.210
73,1072,5365,42.38,16.827,1.226
74,1072,5391,42.65,16.832,1.240
75,1074,5417,42.85,16.831,1.246
76,1074,5451,42.60,16.834,1.251
77,1076,5485,43.59,16.829,1.254
78,1076,5511,44.18,16.826,1.258
79,1078,5545,43.93,16.829,1.262
80,1078,5571,44.71,16.830,1.263
81,1080,5605,45.17,16.831,1.249
82,1080,5631,45.06,16.832,1.258
83,1082,5657,45.52,16.821,1.276
84,1082,5682,45.53,16.830,1.277
85,1084,5708,46.73,16.828,1.276
86,1084,5734,47.48,16.826,1.290
87,1086,5768,47.81,16.828,1.286
88,1086,5794,48.81,16.830,1.304
89,1088,5811,48.98,16.834,1.291
90,1088,5845,48.97,16.828,1.302
91,1090,5880,50.48,16.829,1.303
92,1090,5905,51.07,16.829,1.313
93,1092,5931,51.37,16.826,1.326
94,1092,5957,51.72,16.830,1.319
95,1094,5982,52.04,16.829,1.325
96,1094,6017,53.10,16.823,1.332
97,1096,6042,53.40,16.827,1.353
98,1096,6077,53.45,16.822,1.352
99,1098,6102,54.10,16.825,1.352
100,1098,6128,54.41,16.820,1.354
101,1100,6154,55.68,16.822,1.361
102,1100,6180,55.67,16.829,1.365
103,1102,6205,56.07,16.824,1.356
104,1102,6231,57.02,16.828,1.375
