seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.642,0.830
2,1000,0,0.00,12.641,0.842
3,1002,0,0.00,12.639,0.838
4,1002,0,0.00,12.640,0.846
5,1004,0,0.00,12.643,0.846
6,1004,0,0.00,12.639,0.844
7,1006,0,0.00,12.640,0.833
8,1006,0,0.00,12.640,0.844
9,1008,0,0.00,12.639,0.836
10,1008,0,0.00,12.641,0.846
11,1010,0,0.00,12.639,0.837
12,1010,0,0.00,12.640,0.841
13,1012,0,0.00,12.642,0.846
14,1012,0,0.00,12.639,0.832
15,1014,0,0.00,12.633,0.842
16,1014,0,0.00,12.637,0.856
17,1016,0,0.00,12.630,0.866
18,1016,0,0.00,12.627,0.990
19,1018,0,0.00,12.626,1.253
20,1018,0,0.00,12.628,1.288
21,1020,0,5.09,12.626,1.228
22,1020,0,6.23,12.627,1.162
23,1022,0,7.88,12.626,1.119
24,1022,0,7.41,12.628,1.083
25,1024,0,7.03,12.632,1.095
26,1024,0,8.08,12.633,1.082
27,1026,0,7.91,12.630,1.077
28,1026,0,9.48,12.630,1.059
29,1028,0,9.81,12.632,1.030
30,1028,0,10.24,12.630,1.034
31,1030,0,10.70,12.634,1.027
32,1030,0,10.45,12.633,1.035
33,1032,0,11.47,12.631,1.021
34,1032,0,11.59,12.637,1.014
35,1034,0,11.76,12.629,1.012
36,1034,0,12.16,12.624,1.012
37,1036,0,11.82,12.629,1.004
38,1036,0,12.43,12.630,1.010
39,1038,0,12.40,12.636,1.012
40,1038,0,12.26,12.632,1.011
41,1040,0,12.77,12.627,1.015
42,1040,0,13.11,12.629,1.021
43,1042,0,13.29,12.625,1.021
44,1042,0,13.31,12.629,1.033
45,1044,0,12.94,12.630,1.033
46,1044,0,13.45,12.633,1.024
47,1046,0,13.53,12.626,1.026
48,1046,0,13.75,12.630,1.043
49,1048,0,14.11,12.634,1.028
50,1048,0,14.05,12.629,1.040
51,1050,0,14.40,12.632,1.040
52,1050,0,14.32,12.634,1.036
53,1052,0,14.44,12.632,1.042
54,1052,0,14.65,12.630,1.060
55,1054,0,14.57,12.632,1.051
56,1054,3694,14.85,12.628,1.030
57,1056,3711,15.73,12.631,1.042
58,1056,3737,15.55,12.630,1.041
59,1058,3762,16.03,12.628,1.067
60,1058,3780,15.84,12.635,1.056
61,1060,3805,15.61,12.635,1.057
62,1060,3831,16.20,12.629,1.059
63,1062,3857,16.42,12.633,1.056
64,1062,3874,17.26,12.631,1.058
65,1064,3891,17.45,12.631,1.068
66,1064,3925,17.60,12.626,1.079
67,1066,3942,18.19,12.627,1.082
68,1066,3968,18.29,12.630,1.078
69,1068,4002,18.09,12.631,1.085
70,1068,4028,18.68,12.627,1.070
71,1070,4037,18.70,12.633,1.074
72,1070,4062,20.05,12.628,1.078
73,1072,4080,20.39,12.633,1.086
74,1072,4105,20.62,12.632,1.110
75,1074,4140,21.15,12.631,1.102
76,1074,4157,20.83,12.627,1.101
77,1076,4191,20.85,12.630,1.103
78,1076,4217,21.20,12.636,1.102
79,1078,4234,21.40,12.625,1.104
80,1078,4260,21.88,12.631,1.106
81,1080,4294,22.02,12.630,1.109
82,1080,4320,22.27,12.626,1.113
83,1082,4345,22.58,12.626,1.126
84,1082,4371,22.28,12.627,1.134
85,1084,4397,22.53,12.631,1.117
86,1084,4422,22.72,12.627,1.108
87,1086,4448,22.97,12.630,1.101
88,1086,4465,23.36,12.627,1.121
89,1088,4491,22.91,12.633,1.130
90,1088,4517,23.36,12.633,1.145
91,1090,4534,24.14,12.629,1.147
92,1090,4560,23.98,12.629,1.131
93,1092,4577,24.80,12.627,1.141
94,1092,4611,25.00,12.633,1.153
95,1094,4645,25.55,12.628,1.175
96,1094,4680,25.34,12.632,1.172
97,1096,4705,25.36,12.629,1.172
98,1096,4731,26.28,12.636,1.168
99,1098,4765,26.70,12.630,1.181
100,1098,4800,27.98,12.626,1.188
101,1100,4834,28.33,12.626,1.178
102,1100,4860,28.20,12.628,1.198
103,1102,4885,28.91,12.627,1.187
104,1102,4911,29.21,12.631,1.188
105,1104,4945,29.33,12.632,1.189
106,1104,4971,30.06,12.632,1.194
107,1106,4997,30.76,12.626,1.190
108,1106,5022,30.96,12.627,1.189
109,1108,5048,31.35,12.629,1.206
110,1108,5074,31.12,12.628,1.201
111,1110,5091,31.57,12.625,1.202
112,1110,5117,31.71,12.631,1.204
113,1112,5134,32.56,12.633,1.217
114,1112,5160,33.65,12.631,1.227
115,1114,5185,32.77,12.630,1.212
116,1114,5202,33.27,12.627,1.216
117,1116,5228,33.56,12.628,1.239
118,1116,5254,33.70,12.626,1.235
119,1118,5280,34.36,12.626,1.236
120,1118,5297,34.23,12.627,1.233
121,1120,5322,34.18,12.630,1.230
122,1120,5348,34.83,12.625,1.225
123,1122,5357,35.29,12.629,1.231
124,1122,5374,35.90,12.627,1.246
125,1124,5391,35.98,12.632,1.255
126,1124,5417,36.11,12.631,1.281
127,1126,5442,36.17,12.627,1.256
128,1126,5460,36.31,12.627,1.252
129,1128,5494,37.34,12.623,1.235
130,1128,5511,37.22,12.630,1.277
131,1130,5537,37.23,12.623,1.265
132,1130,5554,37.54,12.629,1.277
133,1132,5571,37.27,12.629,1.270
134,1132,5597,37.97,12.626,1.282
135,1134,5622,38.23,12.621,1.280
