seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.636,0.806
2,1000,0,0.00,12.647,0.822
3,1002,0,0.00,12.642,0.810
4,1002,0,0.00,12.646,0.810
5,1004,0,0.00,12.642,0.801
6,1004,0,0.00,12.643,0.806
7,1006,0,0.00,12.642,0.821
8,1006,0,0.00,12.650,0.813
9,1008,0,0.00,12.638,0.803
10,1008,0,0.00,12.641,0.816
11,1010,0,0.00,12.640,0.819
12,1010,0,0.00,12.638,0.816
13,1012,0,0.00,12.635,0.807
14,1012,0,0.00,12.637,0.798
15,1014,0,0.00,12.642,0.824
16,1014,0,0.00,12.639,0.831
17,1016,0,0.00,12.639,0.834
18,1016,0,0.00,12.630,0.986
19,1018,0,0.00,12.626,1.283
20,1018,0,3.51,12.634,1.307
21,1020,0,5.12,12.635,1.203
22,1020,0,6.99,12.640,1.139
23,1022,0,8.42,12.628,1.074
24,1022,0,9.06,12.632,1.049
25,1024,0,9.79,12.632,1.031
26,1024,0,9.89,12.633,1.024
27,1026,0,10.75,12.631,1.020
28,1026,0,10.78,12.636,1.000
29,1028,0,11.53,12.635,1.001
30,1028,0,11.48,12.632,0.982
31,1030,0,11.54,12.636,0.982
32,1030,0,12.30,12.634,0.980
33,1032,0,12.51,12.631,0.976
34,1032,0,13.10,12.637,0.960
35,1034,0,13.36,12.637,0.975
36,1034,0,13.29,12.636,0.976
37,1036,0,13.40,12.635,0.975
38,1036,0,13.66,12.626,0.987
39,1038,0,13.74,12.633,0.991
40,1038,0,14.04,12.639,0.982
41,1040,0,14.13,12.631,0.976
42,1040,0,13.91,12.631,0.989
43,1042,0,14.45,12.630,0.997
44,1042,0,14.73,12.634,0.992
45,1044,0,14.60,12.638,1.001
46,1044,0,14.70,12.634,0.979
47,1046,0,15.14,12.636,0.980
48,1046,0,15.72,12.632,0.990
49,1048,0,15.83,12.636,0.992
50,1048,0,15.88,12.632,0.998
51,1050,0,16.32,12.636,1.004
52,1050,0,15.90,12.632,1.012
53,1052,0,16.27,12.631,1.017
54,1052,0,16.55,12.633,1.001
55,1054,3694,16.49,12.636,1.015
56,1054,3720,16.66,12.631,1.008
57,1056,3728,16.57,12.630,1.007
58,1056,3762,16.69,12.629,1.005
59,1058,3788,17.08,12.638,1.028
60,1058,3814,17.31,12.637,1.019
61,1060,3840,17.97,12.636,1.033
62,1060,3865,18.66,12.627,1.033
63,1062,3891,18.75,12.633,1.025
64,1062,3925,18.84,12.641,1.038
65,1064,3951,18.79,12.636,1.046
66,1064,3985,19.44,12.637,1.052
67,1066,4011,19.76,12.634,1.040
68,1066,4037,19.96,12.633,1.045
69,1068,4054,20.19,12.635,1.041
70,1068,4080,19.96,12.630,1.035
71,1070,4097,20.18,12.633,1.040
72,1070,4114,20.59,12.634,1.052
