seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.82,0.82,13.72,0.000
2,1000,0,0.00,16.82,0.82,13.80,0.000
3,1002,0,0.00,16.83,0.83,13.93,0.000
4,1002,0,0.00,16.83,0.82,13.82,0.000
5,1004,0,0.00,16.83,0.81,13.65,0.000
6,1004,0,0.00,16.83,0.82,13.86,0.000
7,1006,0,0.00,16.83,0.82,13.79,0.000
8,1006,0,0.00,16.83,0.83,13.96,0.000
9,1008,0,0.00,16.83,0.83,13.92,0.000
10,1008,0,0.00,16.83,0.82,13.87,0.000
11,1010,0,0.00,16.83,0.82,13.85,0.000
12,1010,0,0.00,16.83,0.83,13.91,0.000
13,1012,0,0.00,16.83,0.82,13.76,0.000
14,1012,0,0.00,16.82,0.82,13.77,0.000
15,1014,0,0.00,16.82,0.83,14.02,0.000
16,1014,0,0.00,16.82,0.84,14.20,0.000
17,1016,0,0.00,16.82,0.84,14.13,0.000
18,1016,0,0.00,16.81,1.10,18.57,0.000
19,1018,0,0.00,16.81,1.61,27.12,0.000
20,1018,0,2.42,16.80,1.81,30.43,0.080
21,1020,0,4.54,16.80,1.78,29.85,0.152
22,1020,0,5.75,16.80,1.66,27.84,0.207
23,1022,0,7.07,16.81,1.51,25.38,0.279
24,1022,0,9.12,16.81,1.39,23.32,0.391
25,1024,0,11.26,16.80,1.32,22.12,0.509
26,1024,0,12.14,16.80,1.32,22.14,0.548
27,1026,0,14.21,16.81,1.29,21.68,0.655
28,1026,0,15.14,16.81,1.26,21.25,0.713
29,1028,0,18.91,16.81,1.22,20.52,0.922
30,1028,0,20.21,16.81,1.18,19.83,1.019
31,1030,0,22.17,16.81,1.16,19.53,1.135
32,1030,0,23.05,16.81,1.14,19.19,1.201
33,1032,0,24.06,16.81,1.13,18.92,1.272
34,1032,0,25.53,16.81,1.12,18.76,1.361
35,1034,0,26.70,16.81,1.11,18.60,1.436
36,1034,0,27.68,16.81,1.11,18.61,1.487
37,1036,3917,28.45,16.81,1.10,18.48,1.539
38,1036,3985,29.31,16.81,1.10,18.53,1.582
39,1038,4045,30.05,16.81,1.11,18.59,1.617
40,1038,4097,31.23,16.82,1.10,18.41,1.696
41,1040,4157,31.46,16.81,1.09,18.36,1.714
42,1040,4200,32.02,16.81,1.10,18.53,1.727
43,1042,4242,33.16,16.81,1.11,18.68,1.776
44,1042,4285,33.58,16.81,1.12,18.77,1.789
45,1044,4328,34.04,16.81,1.12,18.78,1.813
46,1044,4371,34.71,16.81,1.12,18.85,1.841
47,1046,4414,35.67,16.81,1.13,18.97,1.880
48,1046,4448,35.89,16.81,1.13,19.04,1.885
49,1048,4491,35.91,16.81,1.13,19.03,1.887
50,1048,4525,37.20,16.81,1.13,19.01,1.958
51,1050,4568,37.80,16.81,1.13,19.05,1.985
52,1050,4602,38.03,16.81,1.14,19.21,1.980
53,1052,4645,38.67,16.81,1.14,19.15,2.019
54,1052,4680,39.17,16.81,1.15,19.27,2.032
55,1054,4714,40.00,16.81,1.15,19.28,2.074
56,1054,4748,40.15,16.81,1.15,19.38,2.072
57,1056,4782,41.30,16.81,1.16,19.43,2.126
58,1056,4817,41.86,16.81,1.17,19.71,2.124
59,1058,4851,42.44,16.81,1.17,19.58,2.168
60,1058,4877,42.84,16.81,1.18,19.83,2.160
61,1060,4911,43.69,16.81,1.18,19.84,2.202
62,1060,4945,44.14,16.81,1.17,19.72,2.238
63,1062,4980,44.72,16.81,1.18,19.84,2.254
64,1062,5005,45.27,16.81,1.19,20.04,2.259
65,1064,5031,45.79,16.81,1.19,20.06,2.283
66,1064,5065,46.42,16.81,1.20,20.25,2.293
67,1066,5100,46.78,16.81,1.20,20.25,2.310
68,1066,5134,47.84,16.81,1.21,20.26,2.362
69,1068,5160,48.09,16.81,1.20,20.20,2.381
70,1068,5194,48.41,16.81,1.21,20.38,2.375
71,1070,5228,49.33,16.81,1.20,20.22,2.439
72,1070,5245,49.63,16.81,1.21,20.38,2.435
73,1072,5280,49.91,16.81,1.22,20.47,2.438
74,1072,5297,50.61,16.81,1.23,20.59,2.457
75,1074,5322,50.63,16.81,1.24,20.77,2.438
76,1074,5340,51.64,16.81,1.24,20.77,2.486
77,1076,5374,51.80,16.81,1.24,20.85,2.484
78,1076,5400,52.44,16.81,1.25,21.00,2.497
79,1078,5425,53.03,16.81,1.25,21.10,2.514
80,1078,5460,53.55,16.81,1.26,21.18,2.528
81,1080,5485,53.75,16.81,1.25,21.06,2.551
82,1080,5520,54.23,16.81,1.27,21.42,2.532
83,1082,5545,54.88,16.81,1.28,21.49,2.554
84,1082,5571,55.55,16.81,1.28,21.50,2.584
85,1084,5597,55.30,16.81,1.28,21.55,2.566
86,1084,5622,55.78,16.81,1.30,21.78,2.561
87,1086,5648,56.50,16.81,1.29,21.70,2.603
88,1086,5674,57.13,16.81,1.30,21.78,2.623
89,1088,5700,57.58,16.81,1.30,21.81,2.640
90,1088,5725,57.99,16.81,1.31,21.98,2.638
91,1090,5751,58.59,16.81,1.31,22.02,2.660
92,1090,5777,59.23,16.81,1.32,22.17,2.672
93,1092,5794,59.92,16.81,1.32,22.18,2.702
94,1092,5828,60.63,16.81,1.34,22.50,2.695
