seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.832,0.816
2,1000,0,0.00,16.834,0.823
3,1002,0,0.00,16.837,0.830
4,1002,0,0.00,16.836,0.823
5,1004,0,0.00,16.832,0.815
6,1004,0,0.00,16.833,0.826
7,1006,0,0.00,16.837,0.825
8,1006,0,0.00,16.836,0.827
9,1008,0,0.00,16.835,0.829
10,1008,0,0.00,16.833,0.827
11,1010,0,0.00,16.840,0.828
12,1010,0,0.00,16.841,0.834
13,1012,0,0.00,16.837,0.822
14,1012,0,0.00,16.826,0.822
15,1014,0,0.00,16.829,0.840
16,1014,0,0.00,16.828,0.852
17,1016,0,0.00,16.827,0.843
18,1016,0,0.00,16.816,1.177
19,1018,0,0.00,16.817,1.656
20,1018,0,3.15,16.815,1.798
21,1020,0,4.20,16.814,1.744
22,1020,0,6.09,16.812,1.633
23,1022,0,7.13,16.819,1.477
24,1022,0,9.24,16.825,1.370
25,1024,0,12.08,16.811,1.311
26,1024,0,12.56,16.814,1.318
27,1026,0,15.45,16.816,1.277
28,1026,0,16.11,16.819,1.259
29,1028,0,19.04,16.818,1.208
30,1028,0,20.23,16.820,1.175
31,1030,0,21.88,16.821,1.164
32,1030,0,22.83,16.820,1.134
33,1032,0,23.90,16.814,1.124
34,1032,0,25.03,16.819,1.123
35,1034,0,26.52,16.819,1.104
36,1034,0,26.98,16.820,1.113
37,1036,3917,27.94,16.822,1.100
38,1036,3985,28.96,16.819,1.096
39,1038,4045,29.39,16.824,1.100
40,1038,4097,31.81,16.823,1.094
41,1040,4157,31.72,16.825,1.095
42,1040,4200,32.42,16.813,1.098
43,1042,4242,33.14,16.819,1.115
44,1042,4285,33.11,16.824,1.118
45,1044,4328,33.91,16.822,1.112
46,1044,4371,34.46,16.817,1.121
47,1046,4414,35.59,16.824,1.131
48,1046,4448,35.97,16.816,1.135
49,1048,4491,35.83,16.820,1.139
50,1048,4525,36.61,16.817,1.128
51,1050,4568,37.31,16.821,1.138
52,1050,4602,37.01,16.819,1.141
53,1052,4645,38.68,16.823,1.139
54,1052,4671,39.28,16.818,1.146
55,1054,4697,40.18,16.818,1.142
56,1054,4740,40.44,16.820,1.156
57,1056,4765,40.53,16.825,1.155
58,1056,4800,41.56,16.817,1.171
59,1058,4834,41.98,16.817,1.162
60,1058,4868,41.86,16.817,1.186
61,1060,4894,43.46,16.820,1.184
62,1060,4920,43.74,16.825,1.178
63,1062,4954,44.54,16.821,1.186
64,1062,4988,44.81,16.818,1.201
65,1064,5022,45.24,16.821,1.192
66,1064,5065,46.31,16.817,1.208
67,1066,5100,46.32,16.822,1.202
68,1066,5134,47.94,16.822,1.210
69,1068,5160,48.22,16.823,1.205
70,1068,5194,48.18,16.825,1.218
71,1070,5228,49.40,16.818,1.213
72,1070,5245,49.50,16.814,1.219
73,1072,5280,49.56,16.820,1.220
74,1072,5297,50.87,16.816,1.225
75,1074,5322,50.71,16.815,1.231
76,1074,5340,52.02,16.816,1.242
77,1076,5374,51.94,16.821,1.245
78,1076,5400,52.41,16.824,1.261
79,1078,5425,53.26,16.821,1.261
80,1078,5460,53.46,16.822,1.265
81,1080,5485,53.64,16.820,1.256
82,1080,5520,54.44,16.824,1.275
83,1082,5545,55.15,16.820,1.281
84,1082,5571,55.97,16.820,1.290
85,1084,5597,55.53,16.819,1.285
86,1084,5622,55.76,16.817,1.302
87,1086,5648,56.52,16.815,1.283
88,1086,5674,56.59,16.822,1.301
