seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.62,0.81,10.22,0.000
2,1000,0,0.00,12.62,0.81,10.18,0.000
3,1002,0,0.00,12.62,0.81,10.16,0.000
4,1002,0,0.00,12.62,0.81,10.19,0.000
5,1004,0,0.00,12.62,0.81,10.16,0.000
6,1004,0,0.00,12.62,0.81,10.22,0.000
7,1006,0,0.00,12.62,0.80,10.13,0.000
8,1006,0,0.00,12.62,0.80,10.13,0.000
9,1008,0,0.00,12.62,0.81,10.16,0.000
10,1008,0,0.00,12.62,0.81,10.23,0.000
11,1010,0,0.00,12.62,0.81,10.17,0.000
12,1010,0,0.00,12.62,0.81,10.21,0.000
13,1012,0,0.00,12.62,0.81,10.16,0.000
14,1012,0,0.00,12.61,0.80,10.10,0.000
15,1014,0,0.00,12.61,0.81,10.26,0.000
16,1014,0,0.00,12.62,0.82,10.40,0.000
17,1016,0,0.00,12.62,0.82,10.40,0.000
18,1016,0,0.00,12.61,0.96,12.10,0.000
19,1018,0,0.00,12.61,1.28,16.10,0.000
20,1018,0,3.11,12.61,1.33,16.73,0.186
21,1020,0,4.04,12.61,1.26,15.87,0.255
22,1020,0,4.81,12.61,1.17,14.79,0.325
23,1022,0,5.78,12.61,1.11,14.05,0.411
24,1022,0,6.44,12.61,1.07,13.50,0.477
25,1024,0,6.61,12.60,1.06,13.38,0.493
26,1024,0,6.80,12.61,1.05,13.27,0.513
27,1026,0,7.72,12.61,1.04,13.16,0.587
28,1026,0,7.63,12.61,1.02,12.87,0.593
29,1028,0,8.18,12.61,1.01,12.73,0.643
30,1028,0,8.80,12.61,1.01,12.74,0.691
31,1030,0,9.45,12.61,1.01,12.69,0.745
32,1030,0,9.73,12.61,0.99,12.54,0.776
33,1032,0,10.61,12.61,0.98,12.36,0.859
34,1032,0,11.21,12.61,0.98,12.36,0.906
35,1034,0,11.54,12.61,0.98,12.36,0.933
36,1034,0,11.93,12.61,0.98,12.33,0.967
37,1036,0,11.86,12.61,0.98,12.35,0.960
38,1036,0,12.14,12.61,0.99,12.44,0.976
39,1038,0,12.37,12.61,0.99,12.46,0.993
40,1038,0,12.48,12.61,0.98,12.34,1.011
41,1040,0,13.19,12.61,0.98,12.31,1.071
42,1040,0,13.09,12.61,0.99,12.47,1.049
43,1042,0,13.84,12.61,0.98,12.39,1.117
44,1042,0,13.77,12.61,0.99,12.53,1.099
45,1044,0,13.21,12.61,1.00,12.55,1.053
46,1044,0,13.61,12.61,1.00,12.57,1.083
47,1046,0,13.56,12.61,0.99,12.50,1.085
48,1046,0,13.96,12.61,1.00,12.60,1.108
49,1048,0,13.82,12.61,1.00,12.61,1.096
50,1048,0,13.64,12.61,1.00,12.67,1.077
51,1050,0,14.25,12.61,1.00,12.60,1.131
52,1050,0,14.11,12.61,1.00,12.67,1.113
53,1052,0,14.15,12.61,1.01,12.68,1.116
54,1052,0,14.42,12.61,1.01,12.72,1.133
