seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.619,0.811
2,1000,0,0.00,12.625,0.813
3,1002,0,0.00,12.622,0.803
4,1002,0,0.00,12.621,0.804
5,1004,0,0.00,12.625,0.807
6,1004,0,0.00,12.623,0.817
7,1006,0,0.00,12.625,0.805
8,1006,0,0.00,12.624,0.805
9,1008,0,0.00,12.616,0.811
10,1008,0,0.00,12.627,0.810
11,1010,0,0.00,12.620,0.806
12,1010,0,0.00,12.624,0.803
13,1012,0,0.00,12.622,0.802
14,1012,0,0.00,12.616,0.798
15,1014,0,0.00,12.617,0.812
16,1014,0,0.00,12.617,0.825
17,1016,0,0.00,12.624,0.818
18,1016,0,0.00,12.611,0.978
19,1018,0,0.00,12.614,1.339
20,1018,0,3.07,12.616,1.404
21,1020,0,4.21,12.613,1.326
22,1020,0,4.86,12.609,1.228
23,1022,0,5.84,12.613,1.153
24,1022,0,7.25,12.613,1.090
25,1024,0,7.39,12.607,1.072
26,1024,0,7.24,12.608,1.062
27,1026,0,8.00,12.609,1.053
28,1026,0,7.94,12.613,1.034
29,1028,0,8.25,12.613,1.014
30,1028,0,9.08,12.613,1.013
31,1030,0,9.46,12.611,1.012
32,1030,0,10.34,12.616,0.996
33,1032,0,10.91,12.610,0.986
34,1032,0,11.43,12.618,0.984
35,1034,0,11.81,12.619,0.986
36,1034,0,12.25,12.607,0.975
37,1036,0,12.24,12.611,0.982
38,1036,0,12.76,12.614,0.985
39,1038,0,12.80,12.612,0.981
40,1038,0,13.19,12.609,0.981
41,1040,0,13.66,12.621,0.975
42,1040,0,13.53,12.611,0.994
43,1042,0,14.12,12.611,0.984
44,1042,0,13.76,12.612,0.998
45,1044,0,13.51,12.613,0.994
46,1044,0,13.93,12.612,0.994
47,1046,0,13.96,12.612,0.992
48,1046,0,14.47,12.611,0.997
49,1048,0,14.63,12.616,0.994
50,1048,0,14.26,12.614,1.004
51,1050,0,14.38,12.614,0.999
52,1050,0,14.31,12.615,1.003
53,1052,0,14.69,12.613,1.003
54,1052,0,14.73,12.612,1.009
55,1054,3668,14.68,12.619,1.006
56,1054,3694,14.85,12.616,1.008
57,1056,3711,15.10,12.615,1.015
58,1056,3728,15.11,12.616,1.030
59,1058,3754,15.35,12.618,1.026
60,1058,3780,15.33,12.611,1.039
61,1060,3814,15.50,12.616,1.032
62,1060,3831,15.49,12.613,1.031
63,1062,3857,16.28,12.608,1.028
64,1062,3882,16.78,12.614,1.035
65,1064,3917,16.21,12.610,1.036
66,1064,3942,16.35,12.611,1.035
67,1066,3968,16.75,12.614,1.037
68,1066,3985,16.94,12.608,1.039
69,1068,4011,17.04,12.613,1.051
70,1068,4037,17.00,12.610,1.046
71,1070,4062,17.19,12.609,1.057
72,1070,4088,17.81,12.613,1.064
73,1072,4105,17.95,12.615,1.068
74,1072,4131,18.13,12.609,1.060
75,1074,4148,17.79,12.611,1.065
76,1074,4165,18.07,12.609,1.067
77,1076,4182,18.55,12.615,1.075
78,1076,4200,18.85,12.612,1.072
79,1078,4217,19.23,12.614,1.076
80,1078,4234,19.81,12.611,1.071
81,1080,4277,20.20,12.616,1.060
82,1080,4311,20.49,12.608,1.082
83,1082,4345,19.82,12.613,1.083
84,1082,4380,20.44,12.612,1.089
85,1084,4397,20.53,12.612,1.117
86,1084,4422,20.57,12.612,1.113
87,1086,4448,21.31,12.617,1.110
88,1086,4482,21.71,12.616,1.097
89,1088,4517,22.27,12.619,1.111
90,1088,4551,22.06,12.611,1.115
91,1090,4585,21.90,12.613,1.119
92,1090,4620,22.51,12.614,1.114
93,1092,4645,22.92,12.614,1.120
94,1092,4671,22.61,12.615,1.122
