seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.80,0.82,13.76,0.000
2,1000,0,0.00,16.80,0.82,13.79,0.000
3,1002,0,0.00,16.80,0.82,13.83,0.000
4,1002,0,0.00,16.80,0.81,13.67,0.000
5,1004,0,0.00,16.80,0.82,13.73,0.000
6,1004,0,0.00,16.80,0.81,13.63,0.000
7,1006,0,0.00,16.80,0.81,13.63,0.000
8,1006,0,0.00,16.80,0.81,13.65,0.000
9,1008,0,0.00,16.80,0.81,13.69,0.000
10,1008,0,0.00,16.80,0.81,13.68,0.000
11,1010,0,0.00,16.80,0.81,13.69,0.000
12,1010,0,0.00,16.80,0.82,13.76,0.000
13,1012,0,0.00,16.80,0.82,13.70,0.000
14,1012,0,0.00,16.80,0.82,13.75,0.000
15,1014,0,0.00,16.79,0.83,13.93,0.000
16,1014,0,0.00,16.79,0.83,13.95,0.000
17,1016,0,0.00,16.80,0.84,14.19,0.000
18,1016,0,0.00,16.78,1.12,18.77,0.000
19,1018,0,0.00,16.78,1.48,24.89,0.000
20,1018,0,3.86,16.78,1.47,24.75,0.156
21,1020,0,5.67,16.78,1.34,22.50,0.252
22,1020,0,7.63,16.79,1.23,20.63,0.370
23,1022,0,8.17,16.79,1.18,19.86,0.411
24,1022,0,9.23,16.79,1.17,19.66,0.470
25,1024,0,10.09,16.79,1.13,19.03,0.530
26,1024,0,11.40,16.79,1.10,18.38,0.620
27,1026,0,12.63,16.79,1.08,18.14,0.696
28,1026,0,13.21,16.79,1.05,17.60,0.751
29,1028,0,13.60,16.79,1.04,17.38,0.782
30,1028,0,14.43,16.79,1.03,17.34,0.832
31,1030,0,14.90,16.79,1.02,17.07,0.873
32,1030,4062,15.46,16.79,1.03,17.28,0.895
33,1032,4148,15.64,16.79,1.01,17.03,0.918
34,1032,4225,16.13,16.79,1.01,16.97,0.951
35,1034,4277,16.65,16.79,1.01,16.96,0.981
36,1034,4337,16.92,16.79,1.01,16.88,1.002
37,1036,4380,17.28,16.79,1.01,16.94,1.020
38,1036,4422,17.76,16.79,1.02,17.14,1.036
39,1038,4465,17.66,16.79,1.02,17.10,1.032
40,1038,4500,18.01,16.79,1.03,17.24,1.044
41,1040,4551,18.73,16.79,1.03,17.31,1.082
42,1040,4594,19.17,16.79,1.04,17.45,1.098
43,1042,4645,19.61,16.79,1.03,17.27,1.136
44,1042,4688,19.46,16.79,1.04,17.55,1.109
45,1044,4731,19.45,16.79,1.04,17.40,1.118
46,1044,4774,20.29,16.79,1.04,17.45,1.163
47,1046,4808,20.56,16.79,1.04,17.39,1.183
48,1046,4834,21.00,16.79,1.04,17.47,1.202
49,1048,4860,21.29,16.79,1.04,17.38,1.225
50,1048,4894,21.23,16.78,1.04,17.50,1.213
51,1050,4928,21.43,16.79,1.06,17.71,1.210
52,1050,4971,21.73,16.79,1.05,17.66,1.230
53,1052,5014,22.56,16.79,1.05,17.69,1.276
54,1052,5065,22.89,16.79,1.06,17.84,1.283
55,1054,5100,23.13,16.79,1.05,17.65,1.311
56,1054,5134,23.63,16.79,1.05,17.68,1.337
57,1056,5168,23.71,16.79,1.05,17.60,1.347
58,1056,5194,24.14,16.79,1.06,17.86,1.352
59,1058,5228,24.43,16.79,1.06,17.84,1.369
60,1058,5254,24.55,16.79,1.08,18.14,1.353
61,1060,5288,25.18,16.79,1.08,18.18,1.385
62,1060,5322,25.03,16.79,1.08,18.11,1.382
63,1062,5357,25.23,16.79,1.08,18.12,1.393
64,1062,5391,25.88,16.79,1.10,18.43,1.404
65,1064,5425,26.13,16.79,1.09,18.37,1.422
66,1064,5468,26.77,16.79,1.10,18.46,1.450
67,1066,5502,27.07,16.79,1.09,18.25,1.483
68,1066,5545,27.14,16.79,1.10,18.41,1.475
69,1068,5571,27.24,16.79,1.09,18.26,1.491
70,1068,5614,27.43,16.79,1.10,18.48,1.484
71,1070,5640,27.64,16.79,1.10,18.53,1.491
72,1070,5665,27.91,16.79,1.10,18.44,1.514
73,1072,5691,27.98,16.79,1.11,18.56,1.508
74,1072,5725,28.32,16.78,1.11,18.69,1.516
75,1074,5760,28.60,16.79,1.12,18.79,1.522
76,1074,5794,29.09,16.79,1.12,18.79,1.548
77,1076,5828,29.25,16.79,1.12,18.85,1.552
78,1076,5871,29.52,16.79,1.12,18.73,1.576
79,1078,5897,30.12,16.79,1.13,18.89,1.595
80,1078,5940,30.45,16.79,1.13,18.98,1.604
81,1080,5957,31.49,16.78,1.13,18.92,1.664
82,1080,5991,32.11,16.79,1.14,19.12,1.680
83,1082,6025,32.34,16.79,1.15,19.25,1.680
84,1082,6060,32.27,16.78,1.16,19.44,1.659
85,1084,6094,32.91,16.79,1.15,19.31,1.704
86,1084,6137,33.42,16.79,1.16,19.46,1.717
87,1086,6171,34.00,16.79,1.17,19.57,1.737
88,1086,6197,33.85,16.78,1.16,19.39,1.745
89,1088,6231,33.94,16.78,1.16,19.39,1.750
90,1088,6257,34.30,16.78,1.16,19.53,1.756
91,1090,6300,34.89,16.78,1.16,19.50,1.790
92,1090,6325,35.33,16.78,1.18,19.82,1.782
93,1092,6368,35.17,16.79,1.19,19.91,1.767
94,1092,6402,35.30,16.78,1.18,19.84,1.780
95,1094,6428,35.92,16.78,1.18,19.80,1.814
96,1094,6462,36.28,16.78,1.18,19.81,1.831
97,1096,6497,36.42,16.79,1.20,20.11,1.811
98,1096,6531,36.73,16.79,1.20,20.08,1.829
99,1098,6557,37.02,16.78,1.19,20.05,1.847
100,1098,6582,37.64,16.79,1.20,20.15,1.868
101,1100,6617,37.81,16.79,1.19,20.05,1.886
102,1100,6642,37.67,16.79,1.19,20.00,1.883
103,1102,6677,38.09,16.78,1.21,20.31,1.876
104,1102,6702,38.55,16.78,1.21,20.24,1.905
105,1104,6737,38.80,16.78,1.21,20.36,1.906
106,1104,6762,39.34,16.79,1.20,20.19,1.949
107,1106,6788,39.59,16.79,1.21,20.29,1.951
108,1106,6814,39.95,16.78,1.23,20.59,1.941
109,1108,6840,39.96,16.78,1.23,20.59,1.940
110,1108,6865,40.86,16.78,1.24,20.79,1.966
111,1110,6900,41.15,16.79,1.21,20.24,2.033
112,1110,6917,41.28,16.78,1.23,20.60,2.004
113,1112,6951,41.84,16.79,1.24,20.78,2.013
114,1112,6985,42.06,16.79,1.25,20.95,2.008
115,1114,7011,42.42,16.78,1.25,20.97,2.023
116,1114,7062,42.83,16.79,1.26,21.14,2.025
117,1116,7080,42.87,16.78,1.25,20.92,2.049
118,1116,7114,43.22,16.79,1.26,21.10,2.048
119,1118,7148,43.65,16.79,1.26,21.24,2.055
120,1118,7182,44.24,16.78,1.26,21.11,2.096
121,1120,7217,44.94,16.79,1.27,21.34,2.106
122,1120,7242,45.34,16.78,1.28,21.41,2.118
123,1122,7277,45.68,16.79,1.27,21.25,2.150
124,1122,7320,45.98,16.78,1.27,21.37,2.151
125,1124,7337,46.34,16.79,1.28,21.48,2.158
126,1124,7371,46.36,16.78,1.28,21.42,2.164
127,1126,7405,46.69,16.78,1.27,21.34,2.187
128,1126,7431,47.37,16.78,1.29,21.60,2.193
129,1128,7457,48.03,16.78,1.29,21.64,2.220
130,1128,7491,48.31,16.78,1.30,21.85,2.211
131,1130,7525,48.64,16.79,1.31,21.94,2.217
132,1130,7560,49.16,16.79,1.30,21.90,2.245
133,1132,7611,49.32,16.78,1.32,22.15,2.227
134,1132,7637,49.77,16.78,1.33,22.39,2.223
135,1134,7671,50.91,16.79,1.33,22.39,2.274
136,1134,7714,51.20,16.78,1.34,22.43,2.283
137,1136,7748,51.53,16.78,1.33,22.26,2.315
138,1136,7782,52.70,16.78,1.33,22.37,2.356
139,1138,7817,52.94,16.78,1.33,22.39,2.364
140,1138,7851,53.27,16.78,1.35,22.61,2.356
141,1140,7877,53.99,16.78,1.35,22.74,2.374
142,1140,7928,54.83,16.79,1.37,22.92,2.392
143,1142,7954,55.00,16.78,1.35,22.71,2.422
144,1142,8014,55.36,16.78,1.37,22.97,2.411
145,1144,8022,55.99,16.78,1.35,22.69,2.467
146,1144,8065,56.81,16.78,1.39,23.25,2.443
147,1146,8091,56.85,16.78,1.40,23.45,2.425
148,1146,8142,57.01,16.78,1.41,23.65,2.410
149,1148,8211,58.24,16.78,1.41,23.62,2.466
150,1148,8237,58.97,16.78,1.40,23.48,2.512
151,1150,8262,59.00,16.78,1.40,23.42,2.520
