seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.602,0.808
2,1000,0,0.00,12.601,0.801
3,1002,0,0.00,12.604,0.809
4,1002,0,0.00,12.601,0.806
5,1004,0,0.00,12.602,0.810
6,1004,0,0.00,12.599,0.805
7,1006,0,0.00,12.601,0.814
8,1006,0,0.00,12.605,0.816
9,1008,0,0.00,12.601,0.812
10,1008,0,0.00,12.602,0.814
11,1010,0,0.00,12.596,0.807
12,1010,0,0.00,12.604,0.816
13,1012,0,0.00,12.599,0.811
14,1012,0,0.00,12.597,0.800
15,1014,0,0.00,12.597,0.813
16,1014,0,0.00,12.599,0.823
17,1016,0,0.00,12.597,0.832
18,1016,0,0.00,12.595,0.968
19,1018,0,0.00,12.592,1.353
20,1018,0,5.10,12.588,1.570
21,1020,0,5.90,12.586,1.679
22,1020,0,6.04,12.585,1.712
23,1022,0,6.13,12.586,1.562
24,1022,0,5.64,12.589,1.378
25,1024,0,6.98,12.589,1.215
26,1024,0,9.16,12.591,1.123
27,1026,0,10.75,12.586,1.049
28,1026,0,11.40,12.591,1.062
29,1028,0,11.35,12.588,1.043
30,1028,0,12.30,12.586,1.018
31,1030,0,13.13,12.587,1.008
32,1030,0,13.11,12.588,0.997
33,1032,0,13.22,12.592,0.983
34,1032,0,13.48,12.589,0.977
35,1034,0,14.18,12.592,0.974
36,1034,0,14.69,12.588,0.982
37,1036,0,14.53,12.590,0.979
38,1036,0,14.77,12.590,0.981
39,1038,0,15.21,12.588,0.977
40,1038,0,15.12,12.592,0.990
41,1040,0,15.57,12.584,0.991
42,1040,0,15.53,12.589,0.985
43,1042,0,15.69,12.592,0.994
44,1042,0,16.19,12.592,0.997
45,1044,0,16.07,12.596,0.990
46,1044,0,16.66,12.594,1.002
47,1046,0,16.68,12.593,0.988
48,1046,0,16.49,12.596,1.003
49,1048,0,16.80,12.589,1.005
50,1048,0,16.95,12.593,1.009
51,1050,0,17.30,12.592,1.015
52,1050,0,17.32,12.589,1.009
53,1052,0,17.18,12.591,1.024
54,1052,0,17.42,12.590,1.013
55,1054,0,17.66,12.593,1.013
56,1054,3685,18.19,12.593,1.016
57,1056,3702,18.49,12.590,1.012
58,1056,3720,18.04,12.588,1.019
59,1058,3745,18.12,12.591,1.038
60,1058,3762,18.45,12.592,1.028
61,1060,3788,19.16,12.588,1.033
62,1060,3822,19.53,12.591,1.026
63,1062,3840,19.15,12.597,1.035
64,1062,3865,19.90,12.590,1.035
65,1064,3900,20.13,12.589,1.041
66,1064,3925,20.04,12.589,1.040
67,1066,3960,20.57,12.589,1.041
68,1066,3977,21.15,12.594,1.052
69,1068,4002,21.26,12.590,1.052
70,1068,4028,22.23,12.594,1.047
71,1070,4054,22.64,12.592,1.064
72,1070,4071,23.07,12.587,1.059
73,1072,4088,22.81,12.585,1.054
74,1072,4105,22.66,12.594,1.067
75,1074,4114,22.95,12.593,1.072
76,1074,4131,23.00,12.591,1.072
77,1076,4148,24.20,12.583,1.065
78,1076,4174,24.33,12.592,1.067
79,1078,4208,24.48,12.589,1.079
80,1078,4217,24.88,12.591,1.086
81,1080,4242,24.93,12.589,1.078
82,1080,4277,24.86,12.588,1.077
83,1082,4320,24.98,12.591,1.081
84,1082,4337,24.70,12.585,1.087
85,1084,4362,25.03,12.590,1.104
86,1084,4397,25.09,12.591,1.093
