seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.83,0.84,14.20,0.000
2,1000,0,0.00,16.84,0.85,14.33,0.000
3,1002,0,0.00,16.84,0.85,14.34,0.000
4,1002,0,0.00,16.83,0.85,14.26,0.000
5,1004,0,0.00,16.84,0.84,14.23,0.000
6,1004,0,0.00,16.83,0.85,14.25,0.000
7,1006,0,0.00,16.83,0.84,14.19,0.000
8,1006,0,0.00,16.84,0.85,14.24,0.000
9,1008,0,0.00,16.83,0.85,14.28,0.000
10,1008,0,0.00,16.84,0.85,14.37,0.000
11,1010,0,0.00,16.84,0.85,14.27,0.000
12,1010,0,0.00,16.84,0.85,14.36,0.000
13,1012,0,0.00,16.83,0.85,14.37,0.000
14,1012,0,0.00,16.83,0.85,14.29,0.000
15,1014,0,0.00,16.83,0.87,14.61,0.000
16,1014,0,0.00,16.83,0.88,14.73,0.000
17,1016,0,0.00,16.83,0.87,14.68,0.000
18,1016,0,0.00,16.82,1.10,18.54,0.000
19,1018,0,0.00,16.82,1.60,26.95,0.000
20,1018,0,3.70,16.81,1.76,29.52,0.125
21,1020,0,5.06,16.81,1.75,29.36,0.173
22,1020,0,5.66,16.81,1.71,28.77,0.197
23,1022,0,6.02,16.81,1.58,26.60,0.226
24,1022,0,7.29,16.82,1.43,24.06,0.303
25,1024,0,8.87,16.82,1.30,21.85,0.406
26,1024,0,9.98,16.82,1.21,20.37,0.490
27,1026,0,11.72,16.82,1.18,19.80,0.592
28,1026,0,12.98,16.82,1.14,19.23,0.675
29,1028,0,14.21,16.82,1.12,18.80,0.756
30,1028,0,15.47,16.82,1.10,18.58,0.833
31,1030,0,16.24,16.82,1.08,18.19,0.893
32,1030,3994,17.48,16.82,1.08,18.13,0.964
33,1032,4080,17.88,16.82,1.07,18.01,0.993
34,1032,4140,18.04,16.82,1.07,17.97,1.004
35,1034,4200,19.17,16.82,1.06,17.88,1.072
36,1034,4242,19.54,16.82,1.07,17.93,1.089
37,1036,4294,19.55,16.82,1.07,17.94,1.089
38,1036,4328,19.87,16.82,1.07,17.97,1.105
39,1038,4362,20.40,16.82,1.07,18.08,1.128
40,1038,4405,20.94,16.82,1.07,18.08,1.158
41,1040,4448,21.22,16.82,1.07,18.05,1.176
42,1040,4482,21.54,16.82,1.09,18.36,1.173
43,1042,4525,21.83,16.82,1.09,18.36,1.189
44,1042,4568,22.23,16.82,1.10,18.47,1.204
45,1044,4611,22.46,16.82,1.10,18.47,1.216
46,1044,4654,23.06,16.82,1.09,18.41,1.253
47,1046,4697,23.33,16.82,1.10,18.47,1.263
48,1046,4740,24.11,16.82,1.11,18.61,1.295
49,1048,4774,24.27,16.82,1.10,18.56,1.307
50,1048,4808,24.41,16.82,1.11,18.67,1.307
51,1050,4851,24.82,16.82,1.12,18.77,1.322
52,1050,4885,25.17,16.82,1.11,18.74,1.344
53,1052,4920,26.12,16.82,1.11,18.74,1.394
54,1052,4954,26.20,16.82,1.13,18.95,1.382
55,1054,4988,26.39,16.82,1.11,18.74,1.409
56,1054,5014,26.82,16.82,1.11,18.65,1.438
57,1056,5040,26.94,16.81,1.12,18.91,1.425
58,1056,5074,27.07,16.82,1.13,18.94,1.429
59,1058,5100,27.48,16.82,1.13,19.03,1.444
60,1058,5134,27.94,16.82,1.14,19.16,1.458
61,1060,5168,28.65,16.82,1.15,19.26,1.488
62,1060,5202,28.77,16.82,1.15,19.38,1.485
63,1062,5237,29.34,16.82,1.15,19.26,1.524
64,1062,5271,29.70,16.82,1.15,19.33,1.537
65,1064,5314,29.98,16.82,1.15,19.39,1.546
66,1064,5340,30.19,16.81,1.15,19.35,1.560
67,1066,5365,30.37,16.82,1.16,19.47,1.559
68,1066,5391,30.79,16.82,1.15,19.31,1.594
69,1068,5417,31.36,16.82,1.16,19.58,1.602
70,1068,5442,31.30,16.82,1.17,19.68,1.591
71,1070,5468,31.70,16.82,1.18,19.89,1.594
72,1070,5494,31.89,16.82,1.18,19.83,1.608
73,1072,5528,32.00,16.82,1.17,19.76,1.619
74,1072,5562,32.48,16.82,1.19,19.95,1.628
75,1074,5597,32.42,16.82,1.19,20.03,1.619
76,1074,5622,32.80,16.82,1.19,20.07,1.635
77,1076,5657,33.35,16.82,1.20,20.11,1.658
78,1076,5691,33.24,16.82,1.20,20.11,1.653
79,1078,5717,33.69,16.82,1.19,20.08,1.678
80,1078,5751,34.14,16.82,1.21,20.32,1.680
81,1080,5777,34.43,16.82,1.22,20.43,1.685
82,1080,5811,34.96,16.82,1.22,20.59,1.698
83,1082,5845,35.28,16.82,1.23,20.65,1.708
84,1082,5880,36.19,16.82,1.23,20.64,1.753
85,1084,5914,36.61,16.81,1.23,20.65,1.773
86,1084,5940,36.84,16.82,1.23,20.70,1.779
87,1086,5974,37.48,16.82,1.24,20.82,1.800
88,1086,6000,37.95,16.81,1.23,20.72,1.832
89,1088,6034,38.36,16.82,1.23,20.75,1.848
90,1088,6051,38.68,16.81,1.24,20.88,1.853
91,1090,6077,38.84,16.82,1.24,20.91,1.858
92,1090,6102,39.57,16.82,1.26,21.20,1.867
93,1092,6137,39.88,16.82,1.26,21.27,1.875
94,1092,6162,40.28,16.81,1.26,21.17,1.903
95,1094,6188,40.56,16.82,1.27,21.34,1.900
96,1094,6222,40.46,16.82,1.27,21.35,1.895
97,1096,6240,41.42,16.81,1.28,21.56,1.921
98,1096,6274,41.71,16.81,1.29,21.61,1.930
99,1098,6308,42.16,16.82,1.29,21.77,1.937
100,1098,6342,42.55,16.81,1.29,21.70,1.961
101,1100,6368,42.78,16.82,1.29,21.75,1.966
102,1100,6402,43.19,16.82,1.30,21.87,1.975
103,1102,6428,43.62,16.82,1.30,21.93,1.989
104,1102,6454,43.94,16.81,1.31,22.03,1.994
105,1104,6480,44.42,16.81,1.30,21.90,2.028
106,1104,6505,44.22,16.81,1.31,21.96,2.013
107,1106,6531,44.69,16.81,1.32,22.14,2.019
108,1106,6565,44.79,16.81,1.33,22.36,2.004
109,1108,6591,45.05,16.82,1.32,22.28,2.022
110,1108,6617,45.77,16.81,1.34,22.48,2.036
111,1110,6642,46.06,16.81,1.33,22.34,2.062
112,1110,6660,46.33,16.82,1.34,22.48,2.061
113,1112,6677,46.79,16.81,1.33,22.41,2.087
114,1112,6711,47.07,16.82,1.35,22.73,2.071
115,1114,6737,47.54,16.81,1.35,22.67,2.097
116,1114,6762,48.04,16.82,1.35,22.69,2.118
117,1116,6788,48.45,16.81,1.36,22.92,2.114
118,1116,6814,48.86,16.82,1.36,22.84,2.140
119,1118,6840,48.89,16.82,1.36,22.85,2.140
120,1118,6865,49.56,16.81,1.37,22.99,2.156
121,1120,6900,50.01,16.82,1.38,23.22,2.153
122,1120,6925,50.26,16.81,1.38,23.20,2.166
123,1122,6951,50.77,16.82,1.38,23.16,2.192
124,1122,6977,51.12,16.81,1.38,23.26,2.198
125,1124,7002,51.40,16.82,1.40,23.52,2.186
126,1124,7020,52.09,16.82,1.39,23.29,2.237
127,1126,7054,52.37,16.81,1.39,23.29,2.249
128,1126,7080,53.03,16.81,1.40,23.54,2.253
129,1128,7105,52.83,16.81,1.41,23.68,2.231
130,1128,7148,53.28,16.81,1.41,23.76,2.243
131,1130,7182,53.91,16.81,1.41,23.78,2.267
132,1130,7208,54.31,16.82,1.41,23.79,2.283
133,1132,7225,54.88,16.81,1.42,23.95,2.291
134,1132,7260,55.04,16.81,1.43,23.99,2.294
135,1134,7285,55.48,16.81,1.44,24.24,2.288
136,1134,7320,56.07,16.81,1.46,24.47,2.291
137,1136,7354,56.16,16.81,1.46,24.59,2.284
138,1136,7397,56.35,16.81,1.46,24.56,2.294
139,1138,7431,57.15,16.82,1.47,24.74,2.310
140,1138,7457,57.23,16.81,1.48,24.83,2.305
141,1140,7491,57.80,16.81,1.48,24.91,2.321
142,1140,7517,58.00,16.82,1.47,24.80,2.338
143,1142,7542,58.55,16.81,1.46,24.59,2.381
144,1142,7577,58.92,16.81,1.49,25.00,2.357
145,1144,7611,59.06,16.81,1.50,25.16,2.348
146,1144,7637,60.33,16.81,1.51,25.31,2.384
147,1146,7671,61.03,16.81,1.51,25.38,2.405
148,1146,7705,60.93,16.81,1.53,25.65,2.375
149,1148,7748,62.20,16.81,1.53,25.78,2.413
