seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.847,0.841
2,1000,0,0.00,16.850,0.855
3,1002,0,0.00,16.847,0.854
4,1002,0,0.00,16.844,0.847
5,1004,0,0.00,16.847,0.850
6,1004,0,0.00,16.849,0.850
7,1006,0,0.00,16.846,0.848
8,1006,0,0.00,16.843,0.852
9,1008,0,0.00,16.852,0.858
10,1008,0,0.00,16.852,0.860
11,1010,0,0.00,16.845,0.844
12,1010,0,0.00,16.843,0.857
13,1012,0,0.00,16.848,0.854
14,1012,0,0.00,16.845,0.840
15,1014,0,0.00,16.846,0.871
16,1014,0,0.00,16.844,0.876
17,1016,0,0.00,16.841,0.871
18,1016,0,0.00,16.832,1.038
19,1018,0,0.00,16.827,1.618
20,1018,0,3.75,16.820,1.930
21,1020,0,4.88,16.820,2.068
22,1020,0,4.99,16.821,2.128
23,1022,0,5.10,16.824,1.943
24,1022,0,6.19,16.826,1.662
25,1024,0,8.02,16.830,1.438
26,1024,0,9.02,16.834,1.290
27,1026,0,9.92,16.828,1.245
28,1026,0,11.39,16.828,1.213
29,1028,0,12.80,16.833,1.158
30,1028,0,14.91,16.834,1.135
31,1030,0,16.31,16.832,1.113
32,1030,0,18.28,16.826,1.091
33,1032,0,18.86,16.834,1.086
34,1032,0,18.95,16.833,1.084
35,1034,4088,19.78,16.829,1.064
36,1034,4174,20.46,16.835,1.069
37,1036,4242,20.33,16.835,1.071
38,1036,4294,21.04,16.831,1.082
39,1038,4354,21.75,16.830,1.067
40,1038,4397,22.41,16.830,1.075
41,1040,4440,22.82,16.830,1.075
42,1040,4482,23.01,16.834,1.091
43,1042,4525,23.50,16.835,1.098
44,1042,4568,24.01,16.829,1.106
45,1044,4611,23.88,16.831,1.107
46,1044,4654,24.59,16.839,1.099
47,1046,4697,24.51,16.833,1.090
48,1046,4740,25.23,16.836,1.109
49,1048,4774,25.58,16.836,1.101
50,1048,4808,25.54,16.829,1.112
51,1050,4851,26.26,16.830,1.121
52,1050,4877,26.70,16.829,1.111
53,1052,4911,27.64,16.835,1.119
54,1052,4945,27.65,16.835,1.127
55,1054,4980,27.66,16.833,1.122
56,1054,5014,28.20,16.828,1.103
57,1056,5040,28.32,16.828,1.131
58,1056,5074,28.44,16.834,1.125
59,1058,5100,29.37,16.831,1.127
60,1058,5134,29.48,16.833,1.145
61,1060,5168,30.25,16.831,1.150
62,1060,5202,30.43,16.836,1.149
63,1062,5237,30.82,16.831,1.144
64,1062,5271,31.54,16.841,1.156
65,1064,5305,31.52,16.832,1.150
66,1064,5331,31.38,16.826,1.160
67,1066,5357,32.17,16.825,1.165
68,1066,5382,32.54,16.831,1.155
69,1068,5408,33.26,16.827,1.173
70,1068,5434,32.78,16.829,1.181
71,1070,5468,33.06,16.830,1.190
72,1070,5494,33.66,16.836,1.179
73,1072,5528,33.89,16.831,1.184
74,1072,5562,34.45,16.832,1.183
75,1074,5597,34.33,16.824,1.199
76,1074,5622,34.53,16.833,1.192
77,1076,5657,34.76,16.831,1.203
78,1076,5691,34.55,16.832,1.198
79,1078,5717,35.27,16.829,1.204
80,1078,5751,36.11,16.830,1.211
81,1080,5777,36.17,16.832,1.219
82,1080,5811,36.98,16.830,1.235
83,1082,5845,37.34,16.832,1.231
84,1082,5880,38.29,16.831,1.222
85,1084,5914,38.59,16.826,1.221
86,1084,5940,38.68,16.826,1.231
87,1086,5965,39.46,16.828,1.243
88,1086,5991,39.97,16.830,1.227
89,1088,6017,40.05,16.832,1.239
90,1088,6042,40.68,16.821,1.241
91,1090,6060,40.76,16.831,1.243
92,1090,6085,41.38,16.831,1.262
93,1092,6120,41.47,16.831,1.273
94,1092,6145,41.65,16.825,1.264
95,1094,6180,42.45,16.828,1.268
96,1094,6205,42.12,16.833,1.270
97,1096,6231,42.91,16.824,1.288
98,1096,6265,43.38,16.828,1.298
99,1098,6291,43.87,16.824,1.292
100,1098,6325,44.61,16.825,1.276
101,1100,6351,44.81,16.831,1.286
102,1100,6377,44.69,16.835,1.300
103,1102,6402,45.31,16.831,1.310
104,1102,6428,45.56,16.832,1.319
105,1104,6462,46.18,16.827,1.299
106,1104,6480,45.99,16.832,1.312
