seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.66,0.85,10.71,0.000
2,1000,0,0.00,12.66,0.84,10.69,0.000
3,1002,0,0.00,12.66,0.85,10.75,0.000
4,1002,0,0.00,12.66,0.85,10.73,0.000
5,1004,0,0.00,12.66,0.85,10.76,0.000
6,1004,0,0.00,12.65,0.85,10.73,0.000
7,1006,0,0.00,12.66,0.84,10.69,0.000
8,1006,0,0.00,12.66,0.84,10.66,0.000
9,1008,0,0.00,12.66,0.84,10.68,0.000
10,1008,0,0.00,12.66,0.84,10.67,0.000
11,1010,0,0.00,12.66,0.84,10.69,0.000
12,1010,0,0.00,12.66,0.85,10.74,0.000
13,1012,0,0.00,12.66,0.85,10.74,0.000
14,1012,0,0.00,12.65,0.84,10.66,0.000
15,1014,0,0.00,12.66,0.86,10.86,0.000
16,1014,0,0.00,12.65,0.86,10.84,0.000
17,1016,0,0.00,12.65,0.86,10.89,0.000
18,1016,0,0.00,12.64,1.01,12.81,0.000
19,1018,0,0.00,12.64,1.34,16.96,0.000
20,1018,0,2.76,12.64,1.46,18.39,0.150
21,1020,0,4.32,12.64,1.47,18.53,0.233
22,1020,0,5.09,12.64,1.47,18.58,0.274
23,1022,0,5.01,12.64,1.39,17.63,0.284
24,1022,0,6.23,12.64,1.31,16.57,0.376
25,1024,0,7.34,12.65,1.23,15.55,0.472
26,1024,0,9.11,12.65,1.17,14.76,0.617
27,1026,0,10.22,12.64,1.13,14.25,0.717
28,1026,0,9.83,12.65,1.11,13.98,0.703
29,1028,0,11.22,12.65,1.10,13.92,0.806
30,1028,0,12.15,12.65,1.08,13.65,0.890
31,1030,0,12.59,12.65,1.06,13.47,0.934
32,1030,0,14.20,12.65,1.06,13.44,1.056
33,1032,0,14.50,12.65,1.05,13.29,1.090
34,1032,0,15.70,12.65,1.04,13.21,1.188
35,1034,0,16.27,12.64,1.04,13.18,1.235
36,1034,0,16.42,12.64,1.04,13.11,1.252
37,1036,0,16.70,12.64,1.04,13.13,1.272
38,1036,0,17.20,12.64,1.04,13.19,1.304
39,1038,0,17.38,12.65,1.04,13.14,1.322
40,1038,0,18.37,12.65,1.04,13.11,1.401
41,1040,0,18.27,12.65,1.04,13.20,1.384
42,1040,0,18.73,12.65,1.04,13.22,1.418
43,1042,0,18.99,12.65,1.05,13.30,1.428
44,1042,0,18.61,12.65,1.06,13.37,1.392
45,1044,0,19.12,12.65,1.05,13.26,1.442
46,1044,0,19.25,12.65,1.06,13.42,1.434
47,1046,0,19.71,12.65,1.05,13.26,1.487
48,1046,0,19.58,12.65,1.06,13.44,1.457
49,1048,0,19.63,12.65,1.06,13.39,1.466
50,1048,0,20.41,12.65,1.07,13.54,1.507
51,1050,0,20.74,12.64,1.07,13.53,1.533
52,1050,0,20.64,12.65,1.08,13.60,1.518
53,1052,0,21.24,12.65,1.07,13.51,1.573
54,1052,0,21.41,12.65,1.08,13.65,1.568
55,1054,0,22.15,12.64,1.07,13.50,1.640
56,1054,0,22.70,12.65,1.08,13.64,1.664
57,1056,0,22.70,12.65,1.08,13.62,1.667
58,1056,0,23.22,12.65,1.08,13.67,1.698
59,1058,3711,23.28,12.65,1.09,13.81,1.685
60,1058,3694,23.50,12.64,1.10,13.91,1.689
61,1060,3720,23.75,12.65,1.09,13.75,1.726
62,1060,3745,23.71,12.65,1.11,14.01,1.692
63,1062,3762,24.41,12.65,1.10,13.87,1.760
64,1062,3797,24.55,12.65,1.10,13.90,1.766
65,1064,3822,25.01,12.64,1.10,13.96,1.792
66,1064,3840,26.17,12.64,1.11,14.10,1.857
67,1066,3874,26.43,12.64,1.11,14.07,1.878
68,1066,3891,26.96,12.65,1.12,14.12,1.910
69,1068,3925,27.12,12.65,1.12,14.10,1.923
70,1068,3942,26.77,12.64,1.13,14.25,1.879
71,1070,3968,27.02,12.65,1.13,14.27,1.894
72,1070,3994,27.08,12.64,1.13,14.27,1.898
73,1072,4020,27.70,12.64,1.13,14.30,1.937
74,1072,4037,28.77,12.64,1.14,14.41,1.997
75,1074,4062,28.92,12.64,1.14,14.44,2.003
76,1074,4080,29.68,12.65,1.14,14.40,2.061
77,1076,4105,29.34,12.64,1.13,14.29,2.053
78,1076,4122,29.45,12.64,1.14,14.40,2.045
79,1078,4148,29.84,12.65,1.14,14.39,2.075
80,1078,4165,29.51,12.65,1.14,14.46,2.041
81,1080,4182,29.81,12.65,1.15,14.57,2.046
82,1080,4208,30.85,12.65,1.17,14.76,2.091
83,1082,4225,31.01,12.65,1.16,14.65,2.117
84,1082,4242,31.73,12.65,1.17,14.77,2.149
85,1084,4251,31.80,12.65,1.17,14.84,2.144
86,1084,4268,32.09,12.65,1.18,14.88,2.156
87,1086,4294,32.27,12.65,1.18,14.88,2.169
88,1086,4311,32.17,12.65,1.18,14.91,2.157
89,1088,4345,33.14,12.64,1.18,14.88,2.228
90,1088,4371,33.02,12.65,1.19,15.03,2.197
91,1090,4397,33.36,12.64,1.19,15.04,2.218
92,1090,4422,33.87,12.65,1.20,15.14,2.237
93,1092,4457,34.07,12.65,1.19,15.07,2.261
94,1092,4500,34.94,12.65,1.20,15.23,2.293
95,1094,4534,35.49,12.65,1.22,15.40,2.304
96,1094,4551,35.45,12.64,1.22,15.40,2.302
97,1096,4585,35.89,12.64,1.22,15.46,2.322
98,1096,4611,36.30,12.64,1.23,15.55,2.335
99,1098,4637,36.89,12.64,1.23,15.56,2.371
100,1098,4662,36.85,12.64,1.23,15.58,2.365
101,1100,4688,37.03,12.65,1.24,15.62,2.371
102,1100,4714,38.30,12.64,1.23,15.52,2.468
103,1102,4731,38.65,12.64,1.24,15.63,2.473
104,1102,4757,38.97,12.64,1.25,15.81,2.465
105,1104,4782,39.29,12.64,1.24,15.70,2.503
106,1104,4808,39.37,12.64,1.27,16.00,2.461
107,1106,4825,40.41,12.65,1.26,15.98,2.530
108,1106,4851,41.13,12.64,1.26,15.94,2.580
109,1108,4868,41.48,12.64,1.26,15.97,2.597
110,1108,4885,42.09,12.65,1.26,15.92,2.644
111,1110,4911,42.03,12.65,1.27,16.12,2.607
112,1110,4937,42.56,12.64,1.27,16.05,2.652
113,1112,4962,42.80,12.65,1.28,16.23,2.636
114,1112,4997,43.17,12.64,1.29,16.25,2.656
115,1114,5014,44.23,12.65,1.29,16.36,2.703
116,1114,5040,44.30,12.64,1.29,16.33,2.713
117,1116,5057,44.81,12.65,1.29,16.35,2.741
118,1116,5074,45.08,12.64,1.30,16.38,2.752
119,1118,5091,45.24,12.65,1.31,16.55,2.734
120,1118,5117,46.34,12.64,1.32,16.63,2.786
121,1120,5142,46.53,12.64,1.31,16.58,2.807
122,1120,5160,46.73,12.64,1.31,16.58,2.819
123,1122,5185,47.38,12.64,1.32,16.69,2.839
124,1122,5202,47.33,12.64,1.32,16.74,2.828
125,1124,5220,47.66,12.64,1.33,16.76,2.844
126,1124,5245,48.20,12.64,1.34,16.90,2.851
127,1126,5271,48.69,12.65,1.34,16.94,2.874
128,1126,5288,49.42,12.64,1.34,16.89,2.926
129,1128,5314,49.14,12.64,1.34,16.99,2.893
130,1128,5331,49.33,12.64,1.36,17.13,2.879
131,1130,5357,49.86,12.64,1.35,17.07,2.921
132,1130,5365,50.09,12.64,1.35,17.09,2.931
133,1132,5391,50.69,12.64,1.35,17.10,2.964
134,1132,5400,50.77,12.64,1.36,17.14,2.962
135,1134,5425,51.08,12.64,1.38,17.50,2.919
136,1134,5442,51.59,12.64,1.38,17.45,2.956
137,1136,5460,51.80,12.64,1.37,17.30,2.995
138,1136,5485,52.45,12.64,1.38,17.40,3.014
139,1138,5511,52.65,12.64,1.38,17.45,3.017
140,1138,5528,52.76,12.64,1.39,17.59,2.999
141,1140,5545,53.33,12.64,1.40,17.68,3.016
142,1140,5571,53.01,12.64,1.40,17.67,3.000
143,1142,5588,53.38,12.64,1.40,17.76,3.006
144,1142,5605,53.57,12.64,1.42,17.91,2.991
145,1144,5622,53.39,12.64,1.41,17.86,2.990
146,1144,5648,54.64,12.64,1.42,17.89,3.055
147,1146,5665,54.62,12.64,1.42,17.98,3.038
148,1146,5682,55.46,12.64,1.43,18.02,3.077
149,1148,5708,55.70,12.64,1.43,18.05,3.086
150,1148,5725,55.78,12.64,1.44,18.21,3.064
151,1150,5742,56.53,12.64,1.44,18.19,3.108
152,1150,5760,56.61,12.64,1.45,18.30,3.093
153,1152,5777,57.20,12.64,1.45,18.30,3.125
154,1152,5802,57.86,12.64,1.45,18.31,3.160
155,1154,5811,58.01,12.64,1.45,18.37,3.158
156,1154,5828,58.62,12.64,1.45,18.37,3.192
157,1156,5854,58.78,12.64,1.47,18.61,3.159
158,1156,5871,58.84,12.64,1.49,18.85,3.121
159,1158,5888,59.75,12.64,1.49,18.81,3.176
160,1158,5914,60.16,12.64,1.49,18.78,3.204
161,1160,5931,60.47,12.64,1.48,18.76,3.223
162,1160,5957,61.03,12.64,1.50,18.90,3.230
163,1162,5974,60.94,12.64,1.50,19.01,3.205
