seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.663,0.845
2,1000,0,0.00,12.667,0.841
3,1002,0,0.00,12.666,0.859
4,1002,0,0.00,12.661,0.841
5,1004,0,0.00,12.661,0.846
6,1004,0,0.00,12.659,0.845
7,1006,0,0.00,12.661,0.844
8,1006,0,0.00,12.661,0.838
9,1008,0,0.00,12.662,0.838
10,1008,0,0.00,12.665,0.847
11,1010,0,0.00,12.666,0.847
12,1010,0,0.00,12.667,0.851
13,1012,0,0.00,12.660,0.852
14,1012,0,0.00,12.660,0.842
15,1014,0,0.00,12.663,0.864
16,1014,0,0.00,12.661,0.861
17,1016,0,0.00,12.658,0.863
18,1016,0,0.00,12.651,1.052
19,1018,0,0.00,12.651,1.419
20,1018,0,2.33,12.653,1.611
21,1020,0,3.13,12.645,1.691
22,1020,0,2.60,12.649,1.756
23,1022,0,2.07,12.647,1.674
24,1022,0,2.92,12.647,1.509
25,1024,0,4.78,12.654,1.356
26,1024,0,7.35,12.651,1.242
27,1026,0,8.22,12.649,1.178
28,1026,0,7.70,12.653,1.142
29,1028,0,8.86,12.652,1.134
30,1028,0,9.87,12.651,1.101
31,1030,0,10.04,12.652,1.089
32,1030,0,11.77,12.651,1.084
33,1032,0,12.78,12.655,1.066
34,1032,0,14.47,12.652,1.058
35,1034,0,15.55,12.648,1.059
36,1034,0,15.31,12.651,1.040
37,1036,0,15.80,12.650,1.049
38,1036,0,15.88,12.651,1.043
39,1038,0,15.88,12.651,1.043
40,1038,0,17.25,12.653,1.043
41,1040,0,17.49,12.649,1.049
42,1040,0,17.99,12.650,1.053
43,1042,0,18.02,12.651,1.059
44,1042,0,17.39,12.656,1.072
45,1044,0,18.12,12.651,1.054
46,1044,0,18.19,12.655,1.056
47,1046,0,18.76,12.652,1.051
48,1046,0,18.50,12.653,1.077
49,1048,0,18.71,12.649,1.060
50,1048,0,19.55,12.654,1.069
51,1050,0,19.70,12.649,1.062
52,1050,0,19.29,12.650,1.079
53,1052,0,19.86,12.656,1.073
54,1052,0,20.31,12.655,1.087
55,1054,0,21.13,12.647,1.073
56,1054,0,21.83,12.652,1.079
57,1056,0,22.02,12.650,1.080
58,1056,0,22.65,12.660,1.081
59,1058,3677,22.54,12.655,1.098
60,1058,3694,22.17,12.650,1.109
61,1060,3720,22.73,12.654,1.088
62,1060,3745,22.69,12.651,1.107
63,1062,3762,23.45,12.657,1.092
64,1062,3797,23.53,12.653,1.099
