seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.83,0.82,13.76,0.000
2,1000,0,0.00,16.84,0.82,13.87,0.000
3,1002,0,0.00,16.84,0.82,13.73,0.000
4,1002,0,0.00,16.84,0.82,13.81,0.000
5,1004,0,0.00,16.84,0.82,13.77,0.000
6,1004,0,0.00,16.84,0.82,13.87,0.000
7,1006,0,0.00,16.84,0.82,13.74,0.000
8,1006,0,0.00,16.84,0.82,13.81,0.000
9,1008,0,0.00,16.84,0.82,13.81,0.000
10,1008,0,0.00,16.84,0.82,13.87,0.000
11,1010,0,0.00,16.84,0.82,13.74,0.000
12,1010,0,0.00,16.83,0.82,13.75,0.000
13,1012,0,0.00,16.84,0.82,13.83,0.000
14,1012,0,0.00,16.83,0.82,13.77,0.000
15,1014,0,0.00,16.83,0.83,13.95,0.000
16,1014,0,0.00,16.83,0.84,14.12,0.000
17,1016,0,0.00,16.83,0.84,14.12,0.000
18,1016,0,0.00,16.82,1.08,18.16,0.000
19,1018,0,0.00,16.81,1.49,24.98,0.000
20,1018,0,5.48,16.81,1.57,26.46,0.207
21,1020,0,9.28,16.81,1.50,25.26,0.367
22,1020,0,11.86,16.82,1.40,23.56,0.503
23,1022,0,12.94,16.82,1.31,22.12,0.585
24,1022,0,14.35,16.81,1.27,21.41,0.670
25,1024,0,15.60,16.82,1.28,21.55,0.724
26,1024,0,16.64,16.82,1.26,21.14,0.787
27,1026,0,18.12,16.82,1.23,20.70,0.875
28,1026,0,20.19,16.82,1.20,20.14,1.002
29,1028,0,21.27,16.82,1.17,19.61,1.085
30,1028,0,22.98,16.82,1.15,19.30,1.191
31,1030,0,24.62,16.82,1.13,19.08,1.291
32,1030,0,26.17,16.82,1.12,18.89,1.385
33,1032,0,27.70,16.82,1.13,18.97,1.461
34,1032,0,29.25,16.82,1.13,18.97,1.542
35,1034,0,29.67,16.82,1.12,18.80,1.579
36,1034,0,30.12,16.82,1.11,18.72,1.609
37,1036,3874,30.33,16.82,1.12,18.80,1.614
38,1036,3925,30.74,16.82,1.11,18.73,1.641
39,1038,3977,31.03,16.82,1.12,18.77,1.653
40,1038,4020,31.34,16.82,1.11,18.69,1.677
41,1040,4071,32.28,16.82,1.11,18.70,1.726
42,1040,4114,32.34,16.82,1.12,18.82,1.718
43,1042,4157,33.52,16.82,1.12,18.88,1.775
44,1042,4191,33.53,16.82,1.13,19.08,1.758
45,1044,4225,33.70,16.82,1.14,19.25,1.751
46,1044,4268,34.02,16.82,1.15,19.27,1.766
47,1046,4311,34.44,16.82,1.14,19.16,1.797
48,1046,4345,35.48,16.82,1.14,19.25,1.843
49,1048,4380,36.02,16.82,1.16,19.56,1.841
50,1048,4414,36.95,16.82,1.16,19.44,1.901
51,1050,4448,37.88,16.83,1.17,19.64,1.928
52,1050,4491,38.16,16.82,1.17,19.61,1.945
53,1052,4517,38.49,16.82,1.17,19.63,1.961
54,1052,4542,38.46,16.83,1.18,19.91,1.931
55,1054,4568,39.02,16.82,1.18,19.84,1.967
56,1054,4611,39.77,16.82,1.18,19.81,2.008
