seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.831,0.812
2,1000,0,0.00,16.831,0.821
3,1002,0,0.00,16.833,0.812
4,1002,0,0.00,16.830,0.823
5,1004,0,0.00,16.829,0.820
6,1004,0,0.00,16.829,0.824
7,1006,0,0.00,16.834,0.814
8,1006,0,0.00,16.832,0.827
9,1008,0,0.00,16.830,0.825
10,1008,0,0.00,16.828,0.826
11,1010,0,0.00,16.831,0.822
12,1010,0,0.00,16.828,0.816
13,1012,0,0.00,16.830,0.818
14,1012,0,0.00,16.822,0.822
15,1014,0,0.00,16.827,0.832
16,1014,0,0.00,16.823,0.839
17,1016,0,0.00,16.821,0.834
18,1016,0,0.00,16.810,1.103
19,1018,0,0.00,16.807,1.544
20,1018,0,6.77,16.805,1.640
21,1020,0,8.55,16.801,1.550
22,1020,0,10.86,16.816,1.434
23,1022,0,12.16,16.815,1.342
24,1022,0,13.79,16.807,1.285
25,1024,0,14.99,16.812,1.290
26,1024,0,16.91,16.812,1.257
27,1026,0,18.77,16.808,1.233
28,1026,0,19.97,16.810,1.201
29,1028,0,21.46,16.815,1.171
30,1028,0,22.49,16.815,1.150
31,1030,0,23.84,16.822,1.142
32,1030,0,25.62,16.818,1.126
33,1032,0,26.96,16.815,1.129
34,1032,0,29.20,16.814,1.136
35,1034,0,29.81,16.813,1.121
36,1034,0,29.79,16.812,1.110
37,1036,3874,30.13,16.812,1.110
38,1036,3925,30.66,16.816,1.117
39,1038,3977,30.78,16.809,1.119
40,1038,4020,31.26,16.813,1.113
41,1040,4062,32.50,16.814,1.108
42,1040,4097,33.01,16.811,1.115
43,1042,4131,33.52,16.815,1.117
44,1042,4174,33.58,16.813,1.132
45,1044,4200,33.66,16.811,1.148
46,1044,4234,33.51,16.813,1.150
47,1046,4277,33.87,16.816,1.143
48,1046,4311,35.27,16.817,1.150
49,1048,4345,35.90,16.813,1.161
50,1048,4380,36.75,16.808,1.161
51,1050,4422,37.81,16.824,1.174
52,1050,4457,38.43,16.812,1.164
53,1052,4491,38.18,16.810,1.161
54,1052,4525,37.71,16.822,1.188
55,1054,4560,38.93,16.813,1.184
56,1054,4594,39.43,16.817,1.180
57,1056,4611,39.68,16.816,1.190
58,1056,4645,39.91,16.813,1.204
59,1058,4680,40.11,16.817,1.198
60,1058,4714,40.58,16.812,1.183
61,1060,4740,41.04,16.811,1.219
62,1060,4774,41.31,16.814,1.229
63,1062,4800,42.58,16.813,1.211
64,1062,4825,42.89,16.810,1.222
65,1064,4860,43.00,16.814,1.229
66,1064,4894,43.38,16.814,1.238
67,1066,4920,43.57,16.821,1.254
68,1066,4945,44.31,16.809,1.241
69,1068,4988,44.64,16.813,1.247
70,1068,5014,44.96,16.808,1.254
71,1070,5040,45.37,16.815,1.275
72,1070,5065,45.91,16.813,1.274
73,1072,5100,46.99,16.812,1.278
74,1072,5125,47.63,16.817,1.279
75,1074,5160,48.23,16.818,1.286
76,1074,5185,48.53,16.813,1.281
77,1076,5220,49.49,16.809,1.290
78,1076,5245,49.43,16.810,1.289
79,1078,5262,49.76,16.813,1.288
80,1078,5297,50.08,16.810,1.298
81,1080,5322,49.95,16.808,1.307
82,1080,5348,50.07,16.810,1.316
83,1082,5374,50.40,16.809,1.307
84,1082,5408,51.58,16.813,1.327
85,1084,5434,52.04,16.809,1.336
86,1084,5460,52.73,16.809,1.333
87,1086,5477,53.52,16.809,1.330
88,1086,5502,54.19,16.805,1.340
89,1088,5528,54.44,16.811,1.346
90,1088,5554,54.73,16.808,1.350
91,1090,5571,55.26,16.803,1.345
92,1090,5597,55.71,16.806,1.361
93,1092,5622,56.59,16.808,1.375
94,1092,5648,57.26,16.806,1.371
95,1094,5674,57.96,16.803,1.371
96,1094,5691,58.86,16.809,1.398
97,1096,5725,59.05,16.807,1.396
98,1096,5742,59.49,16.808,1.406
99,1098,5768,60.53,16.805,1.386
100,1098,5794,61.07,16.807,1.406
101,1100,5811,61.56,16.810,1.401
102,1100,5837,61.90,16.810,1.419
103,1102,5854,62.54,16.812,1.433
104,1102,5880,63.31,16.809,1.438
105,1104,5905,63.72,16.807,1.444
106,1104,5931,64.24,16.806,1.451
107,1106,5957,65.07,16.805,1.453
108,1106,5982,65.57,16.799,1.466
109,1108,6008,65.99,16.814,1.473
110,1108,6034,66.40,16.807,1.473
111,1110,6051,66.43,16.810,1.485
112,1110,6077,67.08,16.810,1.476
113,1112,6102,67.57,16.808,1.495
114,1112,6128,67.64,16.805,1.498
115,1114,6154,67.58,16.806,1.505
