seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.64,0.81,10.27,0.000
2,1000,0,0.00,12.64,0.82,10.31,0.000
3,1002,0,0.00,12.64,0.82,10.33,0.000
4,1002,0,0.00,12.64,0.81,10.28,0.000
5,1004,0,0.00,12.64,0.81,10.25,0.000
6,1004,0,0.00,12.64,0.81,10.24,0.000
7,1006,0,0.00,12.64,0.81,10.29,0.000
8,1006,0,0.00,12.64,0.81,10.24,0.000
9,1008,0,0.00,12.64,0.81,10.30,0.000
10,1008,0,0.00,12.64,0.82,10.36,0.000
11,1010,0,0.00,12.64,0.81,10.28,0.000
12,1010,0,0.00,12.64,0.81,10.26,0.000
13,1012,0,0.00,12.64,0.81,10.24,0.000
14,1012,0,0.00,12.64,0.80,10.16,0.000
15,1014,0,0.00,12.64,0.82,10.41,0.000
16,1014,0,0.00,12.64,0.83,10.47,0.000
17,1016,0,0.00,12.64,0.83,10.47,0.000
18,1016,0,0.00,12.63,0.99,12.50,0.000
19,1018,0,1.56,12.62,1.29,16.25,0.096
20,1018,0,4.15,12.63,1.37,17.30,0.240
21,1020,0,4.99,12.63,1.32,16.71,0.299
22,1020,0,5.76,12.63,1.26,15.95,0.361
23,1022,0,6.62,12.63,1.19,14.99,0.442
24,1022,0,7.29,12.63,1.15,14.48,0.504
25,1024,0,7.85,12.63,1.12,14.12,0.556
26,1024,0,8.95,12.63,1.12,14.14,0.632
27,1026,0,9.62,12.63,1.12,14.14,0.680
28,1026,0,10.44,12.63,1.10,13.88,0.752
29,1028,0,10.64,12.63,1.08,13.62,0.782
30,1028,0,12.21,12.63,1.07,13.51,0.904
31,1030,0,13.02,12.63,1.05,13.32,0.977
32,1030,0,14.13,12.63,1.05,13.27,1.065
33,1032,0,14.50,12.63,1.04,13.16,1.102
34,1032,0,14.92,12.63,1.04,13.14,1.136
35,1034,0,15.27,12.63,1.04,13.11,1.164
36,1034,0,15.30,12.63,1.03,13.06,1.172
37,1036,0,15.78,12.63,1.03,13.05,1.209
38,1036,0,16.04,12.63,1.03,13.06,1.228
39,1038,0,16.87,12.63,1.04,13.09,1.289
40,1038,0,16.97,12.63,1.03,13.05,1.300
41,1040,0,17.68,12.63,1.03,13.03,1.357
42,1040,0,18.35,12.63,1.04,13.12,1.399
43,1042,0,18.63,12.63,1.04,13.12,1.420
44,1042,0,18.73,12.63,1.05,13.25,1.413
45,1044,0,19.19,12.63,1.04,13.16,1.458
46,1044,0,19.36,12.63,1.05,13.21,1.465
47,1046,0,19.27,12.63,1.04,13.19,1.461
48,1046,0,19.82,12.63,1.05,13.21,1.500
49,1048,0,20.12,12.63,1.05,13.25,1.518
50,1048,0,20.34,12.63,1.05,13.22,1.538
51,1050,0,20.80,12.63,1.05,13.26,1.568
52,1050,0,20.98,12.63,1.06,13.40,1.566
53,1052,0,21.09,12.63,1.05,13.27,1.590
54,1052,0,21.26,12.63,1.07,13.53,1.571
55,1054,0,21.72,12.63,1.06,13.44,1.616
56,1054,0,22.21,12.63,1.07,13.50,1.646
57,1056,0,22.66,12.63,1.07,13.50,1.678
58,1056,0,23.09,12.63,1.07,13.57,1.701
59,1058,0,23.55,12.63,1.08,13.58,1.734
60,1058,0,23.91,12.63,1.08,13.61,1.757
61,1060,0,24.05,12.63,1.09,13.82,1.741
62,1060,0,24.49,12.63,1.09,13.73,1.784
63,1062,3660,24.70,12.63,1.09,13.80,1.790
64,1062,3685,24.84,12.63,1.10,13.83,1.796
65,1064,3702,24.83,12.63,1.09,13.77,1.803
66,1064,3728,25.29,12.62,1.10,13.87,1.823
67,1066,3745,25.89,12.63,1.09,13.77,1.880
68,1066,3771,26.11,12.63,1.10,13.84,1.887
69,1068,3788,26.31,12.63,1.10,13.93,1.889
70,1068,3814,26.49,12.63,1.11,14.07,1.883
71,1070,3831,26.53,12.63,1.12,14.13,1.878
72,1070,3857,26.73,12.63,1.12,14.14,1.890
73,1072,3882,27.16,12.63,1.12,14.19,1.915
74,1072,3900,27.44,12.63,1.13,14.32,1.917
75,1074,3925,27.98,12.63,1.14,14.46,1.936
76,1074,3951,28.55,12.63,1.14,14.37,1.987
77,1076,3977,29.29,12.63,1.15,14.46,2.025
78,1076,4002,29.54,12.63,1.15,14.49,2.039
79,1078,4028,29.65,12.63,1.15,14.53,2.041
80,1078,4045,29.95,12.63,1.15,14.52,2.064
81,1080,4071,30.05,12.63,1.15,14.58,2.060
82,1080,4097,30.36,12.63,1.16,14.66,2.070
83,1082,4122,30.77,12.63,1.16,14.66,2.099
84,1082,4140,31.85,12.62,1.17,14.77,2.156
85,1084,4165,31.85,12.63,1.18,14.84,2.146
86,1084,4191,32.03,12.63,1.18,14.90,2.149
87,1086,4217,32.34,12.63,1.18,14.90,2.170
88,1086,4242,32.62,12.63,1.18,14.91,2.188
89,1088,4260,32.77,12.63,1.18,14.95,2.192
90,1088,4285,33.07,12.63,1.19,15.01,2.203
91,1090,4294,33.88,12.63,1.20,15.09,2.245
92,1090,4320,34.15,12.63,1.21,15.24,2.241
93,1092,4345,34.27,12.63,1.20,15.18,2.258
94,1092,4371,34.42,12.63,1.22,15.39,2.236
95,1094,4405,34.83,12.63,1.21,15.27,2.280
96,1094,4431,35.19,12.63,1.22,15.42,2.283
97,1096,4457,35.38,12.63,1.23,15.50,2.282
98,1096,4474,36.15,12.63,1.24,15.61,2.316
99,1098,4500,36.60,12.63,1.24,15.62,2.343
100,1098,4525,36.90,12.63,1.24,15.71,2.350
101,1100,4542,37.33,12.63,1.24,15.65,2.385
