seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.770,0.815
2,1000,0,0.00,16.771,0.818
3,1002,0,0.00,16.773,0.820
4,1002,0,0.00,16.770,0.820
5,1004,0,0.00,16.771,0.816
6,1004,0,0.00,16.771,0.825
7,1006,0,0.00,16.771,0.819
8,1006,0,0.00,16.769,0.836
9,1008,0,0.00,16.770,0.820
10,1008,0,0.00,16.769,0.813
11,1010,0,0.00,16.769,0.821
12,1010,0,0.00,16.773,0.820
13,1012,0,0.00,16.772,0.820
14,1012,0,0.00,16.764,0.815
15,1014,0,0.00,16.767,0.837
16,1014,0,0.00,16.758,0.838
17,1016,0,0.00,16.768,0.844
18,1016,0,0.00,16.747,1.177
19,1018,0,2.47,16.739,1.638
20,1018,0,6.12,16.740,1.738
21,1020,0,7.51,16.747,1.650
22,1020,0,8.34,16.745,1.536
23,1022,0,10.19,16.748,1.397
24,1022,0,11.51,16.745,1.299
25,1024,0,12.35,16.751,1.302
26,1024,0,15.59,16.747,1.277
27,1026,0,17.77,16.748,1.263
28,1026,0,18.58,16.751,1.226
29,1028,0,20.44,16.754,1.184
30,1028,0,22.46,16.749,1.149
31,1030,0,23.89,16.750,1.130
32,1030,0,24.68,16.753,1.124
33,1032,0,26.75,16.755,1.119
34,1032,0,27.18,16.752,1.127
35,1034,0,27.73,16.749,1.109
36,1034,0,28.70,16.755,1.110
37,1036,3857,29.32,16.752,1.113
38,1036,3908,30.03,16.755,1.109
39,1038,3968,30.47,16.756,1.106
40,1038,4020,30.83,16.752,1.118
41,1040,4062,31.93,16.750,1.121
42,1040,4105,32.09,16.752,1.117
43,1042,4148,32.33,16.751,1.128
44,1042,4182,33.47,16.754,1.129
45,1044,4225,34.40,16.752,1.130
46,1044,4260,34.93,16.751,1.135
47,1046,4285,35.39,16.759,1.130
48,1046,4328,35.51,16.750,1.156
49,1048,4362,36.37,16.759,1.151
50,1048,4397,37.19,16.751,1.159
51,1050,4431,37.87,16.755,1.166
52,1050,4474,38.42,16.755,1.154
53,1052,4508,38.35,16.756,1.169
54,1052,4542,38.53,16.756,1.175
55,1054,4577,39.00,16.751,1.171
56,1054,4602,39.58,16.750,1.177
57,1056,4628,40.01,16.753,1.184
58,1056,4662,40.40,16.750,1.192
59,1058,4688,40.94,16.750,1.191
60,1058,4705,41.49,16.753,1.197
61,1060,4748,41.74,16.751,1.211
62,1060,4774,42.08,16.751,1.207
63,1062,4817,42.83,16.753,1.210
64,1062,4842,43.55,16.753,1.215
65,1064,4877,44.33,16.752,1.226
66,1064,4920,44.54,16.747,1.242
67,1066,4945,44.83,16.761,1.245
68,1066,4971,45.27,16.751,1.229
69,1068,5005,45.82,16.751,1.236
70,1068,5031,46.43,16.746,1.247
71,1070,5057,47.16,16.753,1.246
72,1070,5091,47.60,16.752,1.261
73,1072,5117,48.26,16.752,1.251
74,1072,5142,48.56,16.754,1.251
75,1074,5168,48.77,16.746,1.270
76,1074,5194,49.96,16.752,1.273
77,1076,5211,50.73,16.748,1.266
78,1076,5245,51.02,16.753,1.277
79,1078,5271,51.13,16.745,1.279
80,1078,5297,51.61,16.752,1.303
81,1080,5314,51.95,16.749,1.303
82,1080,5348,52.29,16.751,1.313
83,1082,5365,52.93,16.755,1.314
84,1082,5400,53.37,16.753,1.329
85,1084,5425,54.15,16.747,1.332
86,1084,5460,54.41,16.751,1.330
87,1086,5494,54.57,16.749,1.328
88,1086,5520,55.60,16.743,1.328
89,1088,5537,55.79,16.747,1.325
90,1088,5562,56.05,16.752,1.354
91,1090,5588,56.57,16.749,1.353
92,1090,5614,56.89,16.749,1.354
93,1092,5631,57.25,16.747,1.354
94,1092,5657,57.19,16.748,1.359
95,1094,5682,57.19,16.749,1.352
96,1094,5700,58.01,16.750,1.376
97,1096,5717,59.03,16.751,1.400
98,1096,5751,59.74,16.750,1.400
99,1098,5777,60.71,16.745,1.404
100,1098,5802,61.43,16.751,1.408
101,1100,5837,62.19,16.748,1.398
102,1100,5862,62.52,16.750,1.422
103,1102,5880,63.09,16.745,1.420
104,1102,5897,63.57,16.749,1.421
105,1104,5922,64.85,16.752,1.409
106,1104,5948,65.00,16.752,1.431
107,1106,5965,65.53,16.742,1.435
108,1106,5991,65.79,16.751,1.451
109,1108,6017,66.11,16.746,1.454
110,1108,6042,66.79,16.745,1.459
111,1110,6068,67.02,16.747,1.471
112,1110,6094,67.84,16.747,1.494
113,1112,6111,68.35,16.748,1.490
114,1112,6137,68.73,16.745,1.494
115,1114,6162,69.54,16.747,1.485
116,1114,6188,70.06,16.751,1.507
117,1116,6214,70.43,16.743,1.509
118,1116,6231,70.77,16.742,1.507
119,1118,6257,71.52,16.746,1.515
120,1118,6282,71.91,16.745,1.531
121,1120,6300,71.99,16.742,1.525
122,1120,6325,72.71,16.738,1.537
123,1122,6351,73.45,16.744,1.536
124,1122,6368,73.83,16.750,1.543
125,1124,6394,74.06,16.743,1.531
126,1124,6402,74.75,16.746,1.542
127,1126,6420,75.00,16.749,1.538
128,1126,6445,75.65,16.744,1.557
129,1128,6462,76.24,16.746,1.557
130,1128,6480,76.54,16.740,1.573
131,1130,6505,76.97,16.747,1.577
132,1130,6522,76.91,16.744,1.582
133,1132,6548,78.05,16.740,1.586
134,1132,6565,78.68,16.745,1.595
135,1134,6600,79.16,16.740,1.610
136,1134,6625,79.13,16.740,1.618
137,1136,6651,79.62,16.744,1.616
138,1136,6668,79.88,16.749,1.606
139,1138,6685,80.33,16.744,1.617
140,1138,6720,81.27,16.741,1.634
141,1140,6737,81.55,16.746,1.637
142,1140,6762,82.22,16.744,1.644
143,1142,6788,83.03,16.745,1.643
144,1142,6805,83.76,16.744,1.664
145,1144,6840,84.22,16.740,1.659
146,1144,6857,84.30,16.741,1.679
147,1146,6891,85.69,16.741,1.678
148,1146,6917,86.30,16.740,1.706
149,1148,6942,86.49,16.750,1.702
150,1148,6977,86.86,16.743,1.720
151,1150,6994,87.38,16.744,1.711
152,1150,7028,87.96,16.741,1.732
153,1152,7062,88.32,16.744,1.758
154,1152,7097,88.97,16.747,1.758
155,1154,7131,90.62,16.744,1.755
156,1154,7165,91.67,16.742,1.777
157,1156,7200,92.36,16.741,1.794
158,1156,7225,92.58,16.737,1.797
159,1158,7268,93.09,16.741,1.807
160,1158,7302,93.79,16.740,1.818
161,1160,7337,94.58,16.738,1.822
162,1160,7371,95.70,16.742,1.838
163,1162,7405,96.38,16.737,1.842
164,1162,7440,97.52,16.738,1.850
165,1164,7474,97.83,16.748,1.860
166,1164,7508,98.31,16.742,1.868
167,1166,7542,99.09,16.740,1.895
168,1166,7568,99.86,16.741,1.902
169,1168,7594,101.77,16.740,1.911
170,1168,7628,102.33,16.734,1.903
171,1170,7671,102.77,16.739,1.914
172,1170,7714,103.48,16.737,1.938
173,1172,7748,104.56,16.735,1.936
174,1172,7774,105.09,16.733,1.947
175,1174,7808,105.06,16.743,1.959
176,1174,7834,106.86,16.731,1.969
177,1176,7860,107.48,16.737,1.983
178,1176,7877,108.26,16.741,1.977
179,1178,7894,108.99,16.738,1.972
180,1178,7937,110.32,16.738,1.985
181,1180,7954,110.96,16.735,2.018
182,1180,7954,111.46,16.734,2.033
183,1182,7997,113.56,16.739,2.040
184,1182,8031,114.55,16.734,2.065
185,1184,8074,115.08,16.734,2.060
186,1184,8125,115.90,16.736,2.076
187,1186,8151,116.76,16.737,2.075
188,1186,8185,117.76,16.735,2.094
189,1188,8211,118.59,16.734,2.114
190,1188,8245,119.40,16.738,2.119
191,1190,8280,120.48,16.736,2.129
192,1190,8280,121.43,16.737,2.136
193,1192,8305,122.11,16.737,2.154
194,1192,8340,122.73,16.733,2.160
195,1194,8374,124.19,16.734,2.174
196,1194,8425,124.92,16.730,2.181
197,1196,8425,126.08,16.734,2.171
198,1196,8442,126.95,16.735,2.167
199,1198,8460,127.50,16.732,2.194
200,1198,8502,127.56,16.733,2.230
201,1200,8528,128.21,16.736,2.243
202,1200,8545,129.20,16.734,2.251
203,1202,8597,130.45,16.730,2.256
204,1202,8640,131.10,16.734,2.272
205,1204,8674,131.89,16.730,2.289
206,1204,8708,132.55,16.729,2.310
207,1206,8742,133.52,16.734,2.318
208,1206,8777,134.55,16.734,2.327
209,1208,8794,135.41,16.729,2.348
210,1208,8837,136.61,16.729,2.365
211,1210,8871,137.84,16.727,2.375
212,1210,8897,138.77,16.731,2.399
213,1212,8905,139.95,16.731,2.418
214,1212,8905,140.71,16.726,2.430
215,1214,8940,141.22,16.731,2.420
216,1214,8974,141.92,16.729,2.460
217,1216,9025,142.59,16.724,2.455
218,1216,9077,144.53,16.727,2.463
219,1218,9120,145.86,16.727,2.478
220,1218,9154,145.99,16.724,2.502
221,1220,9171,146.59,16.727,2.517
222,1220,9197,147.85,16.731,2.541
223,1222,9214,148.68,16.729,2.546
224,1222,9248,149.55,16.723,2.543
225,1224,9291,151.08,16.726,2.562
226,1224,9334,151.66,16.723,2.586
227,1226,9368,152.21,16.720,2.597
228,1226,9394,153.21,16.724,2.616
229,1228,9428,154.22,16.724,2.626
230,1228,9462,155.16,16.726,2.633
231,1230,9505,155.97,16.722,2.638
232,1230,9497,157.38,16.720,2.662
233,1232,9522,158.40,16.722,2.690
234,1232,9557,159.13,16.724,2.695
235,1234,9600,159.58,16.724,2.718
236,1234,9625,160.32,16.722,2.728
237,1236,9660,161.26,16.720,2.724
238,1236,9694,162.48,16.720,2.738
239,1238,9702,163.83,16.722,2.756
240,1238,9737,164.66,16.717,2.767
241,1240,9754,165.36,16.720,2.771
242,1240,9788,166.03,16.719,2.805
243,1242,9814,166.71,16.722,2.821
244,1242,9840,167.33,16.718,2.816
245,1244,9865,168.49,16.713,2.820
246,1244,9874,169.75,16.718,2.862
247,1246,9908,170.46,16.715,2.863
248,1246,9934,171.33,16.718,2.894
249,1248,9968,172.07,16.717,2.905
250,1248,10002,172.58,16.718,2.921
251,1250,10028,173.56,16.714,2.945
252,1250,10054,174.79,16.714,2.940
253,1252,10062,175.38,16.718,2.937
254,1252,10097,176.66,16.717,2.959
255,1254,10114,177.49,16.714,2.980
256,1254,10148,178.21,16.719,2.966
257,1256,10165,179.10,16.719,2.974
258,1256,10191,179.60,16.717,3.011
259,1258,10200,180.32,16.714,3.019
260,1258,10225,180.92,16.721,3.055
261,1260,10260,181.84,16.713,3.062
262,1260,10294,183.04,16.716,3.075
263,1262,10311,183.88,16.715,3.088
264,1262,10328,184.47,16.718,3.104
265,1264,10345,185.41,16.710,3.114
266,1264,10380,186.10,16.711,3.144
267,1266,10422,186.74,16.711,3.164
268,1266,10448,188.33,16.707,3.171
269,1268,10465,189.55,16.716,3.184
270,1268,10491,190.45,16.713,3.195
271,1270,10508,191.18,16.717,3.208
272,1270,10534,191.89,16.713,3.218
273,1272,10560,192.06,16.709,3.227
274,1272,10585,193.09,16.708,3.259
275,1274,10602,194.50,16.706,3.267
276,1274,10637,195.21,16.710,3.311
277,1276,10662,195.95,16.702,3.308
278,1276,10680,197.06,16.707,3.326
279,1278,10705,197.61,16.712,3.336
280,1278,10731,198.56,16.707,3.347
281,1280,10748,199.43,16.709,3.363
282,1280,10774,200.55,16.711,3.403
283,1282,10791,201.33,16.708,3.403
284,1282,10817,202.30,16.710,3.407
285,1284,10834,202.96,16.708,3.412
286,1284,10851,203.73,16.709,3.443
287,1286,10877,204.28,16.709,3.440
288,1286,10902,204.93,16.704,3.471
289,1288,10911,206.84,16.706,3.491
290,1288,10945,207.20,16.705,3.505
291,1290,10962,207.85,16.701,3.526
292,1290,10988,208.83,16.701,3.548
293,1292,11005,209.65,16.705,3.547
294,1292,11031,210.32,16.709,3.541
295,1294,11048,210.97,16.709,3.549
296,1294,11065,212.05,16.706,3.580
297,1296,11082,212.61,16.705,3.594
298,1296,11082,213.37,16.702,3.614
299,1298,11082,214.27,16.701,3.625
300,1298,11134,215.14,16.705,3.644
301,1300,11168,215.62,16.705,3.643
302,1300,11185,215.95,16.702,3.671
303,1302,11202,217.04,16.696,3.675
304,1302,11228,217.80,16.703,3.714
305,1304,11245,218.68,16.702,3.720
306,1304,11297,219.29,16.694,3.737
307,1306,11314,220.09,16.697,3.760
308,1306,11314,220.91,16.700,3.774
309,1308,11305,221.62,16.700,3.773
310,1308,11340,223.12,16.702,3.802
311,1310,11331,223.58,16.696,3.811
312,1310,11357,224.37,16.702,3.818
313,1312,11365,224.93,16.697,3.827
314,1312,11400,225.38,16.702,3.842
315,1314,11417,226.08,16.694,3.845
316,1314,11451,226.40,16.706,3.864
317,1316,11460,227.76,16.698,3.884
318,1316,11451,228.05,16.697,3.892
319,1318,11460,229.27,16.695,3.915
320,1318,11434,229.96,16.698,3.935
321,1320,11442,230.61,16.696,3.936
322,1320,11451,231.52,16.696,3.956
323,1322,11485,231.95,16.697,3.968
324,1322,11528,233.29,16.694,3.986
325,1324,11554,233.60,16.699,3.995
326,1324,11580,233.77,16.694,4.030
327,1326,11614,234.81,16.695,4.030
328,1326,11648,235.43,16.695,4.062
329,1328,11665,235.43,16.694,4.051
330,1328,11708,236.25,16.694,4.074
331,1330,11708,237.82,16.695,4.069
332,1330,11708,238.42,16.694,4.073
333,1332,11734,239.06,16.693,4.112
334,1332,11742,239.29,16.695,4.132
335,1334,11785,240.12,16.693,4.148
336,1334,11802,240.84,16.691,4.164
337,1336,11845,241.64,16.695,4.189
338,1336,11837,243.14,16.693,4.204
339,1338,11862,243.32,16.691,4.203
340,1338,11854,243.70,16.693,4.229
341,1340,11880,244.36,16.692,4.201
342,1340,11897,245.19,16.689,4.256
343,1342,11888,245.63,16.693,4.258
344,1342,11931,246.45,16.690,4.249
345,1344,11957,247.42,16.688,4.266
346,1344,11974,247.56,16.689,4.300
347,1346,11982,248.32,16.693,4.308
348,1346,12017,249.21,16.686,4.321
349,1348,12042,250.17,16.689,4.344
350,1348,12042,250.72,16.687,4.355
351,1350,12077,251.03,16.689,4.368
352,1350,12077,252.69,16.692,4.408
353,1352,12085,253.45,16.685,4.401
354,1352,12128,253.79,16.689,4.418
355,1354,12128,254.38,16.684,4.418
356,1354,12137,254.67,16.685,4.443
357,1356,12180,255.75,16.683,4.471
358,1356,12222,256.48,16.688,4.492
359,1358,12214,256.72,16.693,4.503
360,1358,12222,258.44,16.689,4.514
361,1360,12231,259.09,16.689,4.516
362,1360,12248,259.21,16.684,4.527
363,1362,12265,259.71,16.684,4.534
364,1362,12274,260.26,16.682,4.565
365,1364,12282,261.12,16.682,4.569
366,1364,12300,261.65,16.688,4.587
367,1366,12308,263.06,16.686,4.613
368,1366,12308,263.69,16.684,4.651
369,1368,12342,264.14,16.679,4.633
370,1368,12360,265.01,16.680,4.657
