seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.649,0.808
2,1000,0,0.00,12.653,0.812
3,1002,0,0.00,12.649,0.818
4,1002,0,0.00,12.649,0.815
5,1004,0,0.00,12.652,0.812
6,1004,0,0.00,12.654,0.827
7,1006,0,0.00,12.652,0.816
8,1006,0,0.00,12.651,0.818
9,1008,0,0.00,12.650,0.813
10,1008,0,0.00,12.648,0.810
11,1010,0,0.00,12.656,0.817
12,1010,0,0.00,12.654,0.809
13,1012,0,0.00,12.655,0.817
14,1012,0,0.00,12.642,0.805
15,1014,0,0.00,12.647,0.828
16,1014,0,0.00,12.646,0.829
17,1016,0,0.00,12.643,0.837
18,1016,0,0.00,12.635,0.982
19,1018,0,0.00,12.638,1.374
20,1018,0,4.34,12.639,1.585
21,1020,0,7.89,12.639,1.669
22,1020,0,8.36,12.635,1.738
23,1022,0,8.19,12.640,1.652
24,1022,0,7.82,12.634,1.546
25,1024,0,9.17,12.636,1.433
26,1024,0,10.19,12.635,1.320
27,1026,0,10.41,12.637,1.238
28,1026,0,11.36,12.639,1.187
29,1028,0,11.54,12.641,1.169
30,1028,0,12.51,12.640,1.171
31,1030,0,12.78,12.640,1.154
32,1030,0,13.22,12.645,1.138
33,1032,0,13.93,12.642,1.111
34,1032,0,14.25,12.640,1.095
35,1034,0,14.41,12.641,1.077
36,1034,0,14.85,12.641,1.063
37,1036,0,15.16,12.638,1.068
38,1036,0,16.18,12.641,1.056
39,1038,0,16.04,12.640,1.061
40,1038,0,16.60,12.644,1.042
41,1040,0,17.67,12.643,1.044
42,1040,0,17.48,12.639,1.041
43,1042,0,17.42,12.639,1.053
44,1042,0,18.10,12.642,1.055
45,1044,0,18.40,12.643,1.054
46,1044,0,19.10,12.639,1.040
47,1046,0,18.57,12.642,1.045
48,1046,0,18.58,12.642,1.037
49,1048,0,19.00,12.638,1.045
50,1048,0,18.93,12.641,1.062
51,1050,0,19.66,12.639,1.055
52,1050,0,19.45,12.641,1.065
53,1052,0,19.71,12.641,1.060
54,1052,0,20.28,12.638,1.066
55,1054,0,20.20,12.640,1.081
56,1054,0,20.71,12.646,1.075
57,1056,0,21.31,12.644,1.078
58,1056,0,21.39,12.643,1.072
59,1058,0,22.30,12.644,1.075
60,1058,0,22.20,12.641,1.066
61,1060,0,22.88,12.639,1.085
62,1060,3685,23.52,12.636,1.089
63,1062,3702,23.16,12.644,1.083
64,1062,3728,23.31,12.642,1.086
65,1064,3745,24.05,12.645,1.103
66,1064,3771,24.45,12.639,1.108
67,1066,3797,25.03,12.643,1.103
68,1066,3822,24.93,12.639,1.102
69,1068,3848,25.56,12.644,1.100
70,1068,3874,26.21,12.642,1.100
71,1070,3900,26.28,12.639,1.103
72,1070,3925,26.53,12.639,1.114
73,1072,3942,26.72,12.644,1.113
74,1072,3960,27.30,12.643,1.125
75,1074,3985,27.86,12.635,1.126
76,1074,4011,27.76,12.640,1.126
77,1076,4028,28.46,12.640,1.126
78,1076,4054,29.26,12.642,1.130
79,1078,4071,29.76,12.633,1.144
80,1078,4097,30.03,12.640,1.139
81,1080,4122,29.47,12.636,1.143
82,1080,4140,30.25,12.640,1.140
83,1082,4157,31.06,12.639,1.150
84,1082,4174,31.09,12.641,1.154
85,1084,4191,31.34,12.639,1.179
86,1084,4200,31.38,12.641,1.165
87,1086,4217,32.14,12.639,1.169
88,1086,4251,31.87,12.645,1.187
89,1088,4260,31.61,12.636,1.186
90,1088,4285,32.15,12.639,1.188
91,1090,4311,32.33,12.640,1.181
92,1090,4354,32.09,12.642,1.179
93,1092,4388,32.71,12.637,1.184
94,1092,4405,32.97,12.641,1.216
95,1094,4431,34.18,12.640,1.211
96,1094,4457,34.82,12.637,1.210
97,1096,4482,34.90,12.644,1.203
98,1096,4517,35.93,12.639,1.210
99,1098,4534,36.21,12.638,1.223
100,1098,4560,35.84,12.643,1.226
101,1100,4594,36.38,12.634,1.226
102,1100,4620,37.02,12.640,1.228
103,1102,4654,37.84,12.639,1.238
104,1102,4680,38.22,12.641,1.238
105,1104,4705,38.40,12.642,1.236
106,1104,4714,39.47,12.636,1.249
107,1106,4731,39.61,12.641,1.261
108,1106,4757,39.46,12.640,1.265
109,1108,4782,40.42,12.641,1.275
110,1108,4817,41.02,12.640,1.270
